Compound.Name,Emperical.Formula,Column,m.z,z,C,N,this.N,possibilities,names.isotopes,iso.mz,Compound.and.Iso.name
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-0 15N-0,893.5426,Chlorophyll_13C-0 15N-0
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-1 15N-0,894.5459539999999,Chlorophyll_13C-1 15N-0
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-2 15N-0,895.549308,Chlorophyll_13C-2 15N-0
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-3 15N-0,896.5526619999999,Chlorophyll_13C-3 15N-0
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-4 15N-0,897.556016,Chlorophyll_13C-4 15N-0
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-5 15N-0,898.55937,Chlorophyll_13C-5 15N-0
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-6 15N-0,899.562724,Chlorophyll_13C-6 15N-0
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-7 15N-0,900.566078,Chlorophyll_13C-7 15N-0
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-8 15N-0,901.569432,Chlorophyll_13C-8 15N-0
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-9 15N-0,902.572786,Chlorophyll_13C-9 15N-0
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-10 15N-0,903.57614,Chlorophyll_13C-10 15N-0
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-11 15N-0,904.579494,Chlorophyll_13C-11 15N-0
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-12 15N-0,905.582848,Chlorophyll_13C-12 15N-0
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-13 15N-0,906.586202,Chlorophyll_13C-13 15N-0
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-14 15N-0,907.589556,Chlorophyll_13C-14 15N-0
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-15 15N-0,908.59291,Chlorophyll_13C-15 15N-0
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-16 15N-0,909.596264,Chlorophyll_13C-16 15N-0
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-17 15N-0,910.599618,Chlorophyll_13C-17 15N-0
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-18 15N-0,911.602972,Chlorophyll_13C-18 15N-0
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-19 15N-0,912.606326,Chlorophyll_13C-19 15N-0
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-20 15N-0,913.60968,Chlorophyll_13C-20 15N-0
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-21 15N-0,914.613034,Chlorophyll_13C-21 15N-0
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-22 15N-0,915.616388,Chlorophyll_13C-22 15N-0
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-23 15N-0,916.619742,Chlorophyll_13C-23 15N-0
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-24 15N-0,917.623096,Chlorophyll_13C-24 15N-0
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-25 15N-0,918.62645,Chlorophyll_13C-25 15N-0
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-26 15N-0,919.629804,Chlorophyll_13C-26 15N-0
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-27 15N-0,920.633158,Chlorophyll_13C-27 15N-0
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-28 15N-0,921.636512,Chlorophyll_13C-28 15N-0
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-29 15N-0,922.639866,Chlorophyll_13C-29 15N-0
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-30 15N-0,923.64322,Chlorophyll_13C-30 15N-0
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-31 15N-0,924.646574,Chlorophyll_13C-31 15N-0
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-32 15N-0,925.649928,Chlorophyll_13C-32 15N-0
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-33 15N-0,926.653282,Chlorophyll_13C-33 15N-0
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-34 15N-0,927.656636,Chlorophyll_13C-34 15N-0
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-35 15N-0,928.65999,Chlorophyll_13C-35 15N-0
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-36 15N-0,929.663344,Chlorophyll_13C-36 15N-0
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-37 15N-0,930.666698,Chlorophyll_13C-37 15N-0
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-38 15N-0,931.6700519999999,Chlorophyll_13C-38 15N-0
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-39 15N-0,932.673406,Chlorophyll_13C-39 15N-0
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-40 15N-0,933.67676,Chlorophyll_13C-40 15N-0
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-41 15N-0,934.680114,Chlorophyll_13C-41 15N-0
