Compound.and.Iso.name,iso.mz,RT..min.,z,Column,Compound.Name,Emperical.Formula,m.z,C,N,this.N,possibilities,names.isotopes,X,Compound.Type,Compound.Name_old,Compound.Name_figure,QE.LinRange,QE.RF.ratio,QE.RSD,TQS.LinRange,TQS.RF.ratio,TQS.RSD,ionization_form,C0,Fraction1,Fraction2,Conc..uM,HILICMix,Date.added,CHEBI,KEGGNAME
(S)-3-Hydroxybutyryl-CoA_13C-0 15N-0,852.144174,11.545,-1,HILIC,(S)-3-Hydroxybutyryl-CoA,C25H42N7O18P3S,852.144174,25,N7,7,208,13C-0 15N-0,226,Co-enzyme A,Hydroxybutyryl CoA,Hydroxybutyryl CoA,100 - >10000,0.622,20.4,20 - >10000,1.021,22.2,[M-H],cpd:C01144,HILICNeg,NA,4,Mix1,160401,CHEBI:15453,(S)-3-Hydroxybutanoyl-CoA; (S)-3-Hydroxybutyryl-CoA
(S)-3-Hydroxybutyryl-CoA_13C-0 15N-1,853.14121,11.545,-1,HILIC,(S)-3-Hydroxybutyryl-CoA,C25H42N7O18P3S,852.144174,25,N7,7,208,13C-0 15N-1,226,Co-enzyme A,Hydroxybutyryl CoA,Hydroxybutyryl CoA,100 - >10000,0.622,20.4,20 - >10000,1.021,22.2,[M-H],cpd:C01144,HILICNeg,NA,4,Mix1,160401,CHEBI:15453,(S)-3-Hydroxybutanoyl-CoA; (S)-3-Hydroxybutyryl-CoA
(S)-3-Hydroxybutyryl-CoA_13C-1 15N-0,853.147528,11.545,-1,HILIC,(S)-3-Hydroxybutyryl-CoA,C25H42N7O18P3S,852.144174,25,N7,7,208,13C-1 15N-0,226,Co-enzyme A,Hydroxybutyryl CoA,Hydroxybutyryl CoA,100 - >10000,0.622,20.4,20 - >10000,1.021,22.2,[M-H],cpd:C01144,HILICNeg,NA,4,Mix1,160401,CHEBI:15453,(S)-3-Hydroxybutanoyl-CoA; (S)-3-Hydroxybutyryl-CoA
(S)-3-Hydroxybutyryl-CoA_13C-1 15N-1,854.144564,11.545,-1,HILIC,(S)-3-Hydroxybutyryl-CoA,C25H42N7O18P3S,852.144174,25,N7,7,208,13C-1 15N-1,226,Co-enzyme A,Hydroxybutyryl CoA,Hydroxybutyryl CoA,100 - >10000,0.622,20.4,20 - >10000,1.021,22.2,[M-H],cpd:C01144,HILICNeg,NA,4,Mix1,160401,CHEBI:15453,(S)-3-Hydroxybutanoyl-CoA; (S)-3-Hydroxybutyryl-CoA
(S)-3-Hydroxybutyryl-CoA_13C-2 15N-0,854.150882,11.545,-1,HILIC,(S)-3-Hydroxybutyryl-CoA,C25H42N7O18P3S,852.144174,25,N7,7,208,13C-2 15N-0,226,Co-enzyme A,Hydroxybutyryl CoA,Hydroxybutyryl CoA,100 - >10000,0.622,20.4,20 - >10000,1.021,22.2,[M-H],cpd:C01144,HILICNeg,NA,4,Mix1,160401,CHEBI:15453,(S)-3-Hydroxybutanoyl-CoA; (S)-3-Hydroxybutyryl-CoA
(S)-3-Hydroxybutyryl-CoA_13C-2 15N-1,855.147918,11.545,-1,HILIC,(S)-3-Hydroxybutyryl-CoA,C25H42N7O18P3S,852.144174,25,N7,7,208,13C-2 15N-1,226,Co-enzyme A,Hydroxybutyryl CoA,Hydroxybutyryl CoA,100 - >10000,0.622,20.4,20 - >10000,1.021,22.2,[M-H],cpd:C01144,HILICNeg,NA,4,Mix1,160401,CHEBI:15453,(S)-3-Hydroxybutanoyl-CoA; (S)-3-Hydroxybutyryl-CoA
(S)-3-Hydroxybutyryl-CoA_13C-3 15N-0,855.154236,11.545,-1,HILIC,(S)-3-Hydroxybutyryl-CoA,C25H42N7O18P3S,852.144174,25,N7,7,208,13C-3 15N-0,226,Co-enzyme A,Hydroxybutyryl CoA,Hydroxybutyryl CoA,100 - >10000,0.622,20.4,20 - >10000,1.021,22.2,[M-H],cpd:C01144,HILICNeg,NA,4,Mix1,160401,CHEBI:15453,(S)-3-Hydroxybutanoyl-CoA; (S)-3-Hydroxybutyryl-CoA
(S)-3-Hydroxybutyryl-CoA_13C-3 15N-1,856.151272,11.545,-1,HILIC,(S)-3-Hydroxybutyryl-CoA,C25H42N7O18P3S,852.144174,25,N7,7,208,13C-3 15N-1,226,Co-enzyme A,Hydroxybutyryl CoA,Hydroxybutyryl CoA,100 - >10000,0.622,20.4,20 - >10000,1.021,22.2,[M-H],cpd:C01144,HILICNeg,NA,4,Mix1,160401,CHEBI:15453,(S)-3-Hydroxybutanoyl-CoA; (S)-3-Hydroxybutyryl-CoA
(S)-3-Hydroxybutyryl-CoA_13C-4 15N-0,856.15759,11.545,-1,HILIC,(S)-3-Hydroxybutyryl-CoA,C25H42N7O18P3S,852.144174,25,N7,7,208,13C-4 15N-0,226,Co-enzyme A,Hydroxybutyryl CoA,Hydroxybutyryl CoA,100 - >10000,0.622,20.4,20 - >10000,1.021,22.2,[M-H],cpd:C01144,HILICNeg,NA,4,Mix1,160401,CHEBI:15453,(S)-3-Hydroxybutanoyl-CoA; (S)-3-Hydroxybutyryl-CoA
(S)-3-Hydroxybutyryl-CoA_13C-4 15N-1,857.154626,11.545,-1,HILIC,(S)-3-Hydroxybutyryl-CoA,C25H42N7O18P3S,852.144174,25,N7,7,208,13C-4 15N-1,226,Co-enzyme A,Hydroxybutyryl CoA,Hydroxybutyryl CoA,100 - >10000,0.622,20.4,20 - >10000,1.021,22.2,[M-H],cpd:C01144,HILICNeg,NA,4,Mix1,160401,CHEBI:15453,(S)-3-Hydroxybutanoyl-CoA; (S)-3-Hydroxybutyryl-CoA
