Replicate Name,run order,a kind of type,A kind of ID,dilution
200612_Blk_GBTFate1MBlk-pos_A,1,Blk,GBTFate1MBlk,1
200612_Blk_GBTFate1MBlk-pos_B,2,Blk,GBTFate1MBlk,1
200612_Smp_GBTFate1MT0-pos_A,3,Smp,F1T0,1
200612_Smp_GBTFate1MT0-pos_B,4,Smp,F1T0,1
200612_Smp_GBTFate1MT0-pos_C,5,Smp,F1T0,1
200612_Smp_GBTFate1MT12-pos_A,6,Smp,F1T12,1
200612_Smp_GBTFate1MT12-pos_B,7,Smp,F1T12,1
200612_Smp_GBTFate1MT12-pos_C,8,Smp,F1T12,1
200612_Smp_GBTFate1MT36-pos_A,9,Smp,F1T36,1
200612_Smp_GBTFate1MT36-pos_B,10,Smp,F1T36,1
200612_Smp_GBTFate1MT36-pos_C,11,Smp,F1T36,1
200612_Smp_GBTFate1MT4-pos_A,12,Smp,F1T4,1
200612_Smp_GBTFate1MT4-pos_B,13,Smp,F1T4,1
200612_Smp_GBTFate1MT4-pos_C,14,Smp,F1T4,1
200612_Smp_GBTFate1MT8-pos_A,12,Smp,F1T8,1
200612_Smp_GBTFate1MT8-pos_B,13,Smp,F1T8,1
200612_Smp_GBTFate1MT8-pos_C,14,Smp,F1T8,1
200612_Smp_GBTFate1MT50-pos_A,15,Smp,F1T50,1
200612_Smp_GBTFate1MT50-pos_B,16,Smp,F1T50,1
200612_Smp_GBTFate1MT50-pos_C,17,Smp,F1T50,1
200612_Smp_GBTFate1MTlong-pos_A,18,Smp,F1Tlong,1
200612_Smp_GBTFate1MTlong-pos_B,19,Smp,F1Tlong,1
200612_Smp_GBTFate1MTlong-pos_C,20,Smp,F1Tlong,1
200612_Smp_GBTFate2MT0-pos_A,21,Smp,F2T0,1
200612_Smp_GBTFate2MT0-pos_B,22,Smp,F2T0,1
200612_Smp_GBTFate2MT0-pos_C,23,Smp,F2T0,1
200612_Smp_GBTFate2MT12-pos_A,24,Smp,F2T12,1
200612_Smp_GBTFate2MT12-pos_B,25,Smp,F2T12,1
200612_Smp_GBTFate2MT12-pos_C,26,Smp,F2T12,1
200612_Smp_GBTFate2MT24-pos_A,27,Smp,F2T24,1
200612_Smp_GBTFate2MT24-pos_B,28,Smp,F2T24,1
200612_Smp_GBTFate2MT24-pos_C,29,Smp,F2T24,1
200612_Smp_GBTFate2MT48-pos_A,30,Smp,F2T48,1
200612_Smp_GBTFate2MT48-pos_B,31,Smp,F2T48,1
200612_Smp_GBTFate2MT48-pos_C,32,Smp,F2T48,1
200612_Smp_GBTFate2MT5-pos_A,33,Smp,F2T5,1
200612_Smp_GBTFate2MT5-pos_B,34,Smp,F2T5,1
200612_Smp_GBTFate2MT5-pos_C,35,Smp,F2T5,1
200612_Smp_GBTFate2MTlong-pos_A,36,Smp,F2Tlong,1
