Protein Name,Replicate Name,Precursor Ion Name,Retention Time,Area,Background,Height,Mass Error PPM,Protein
Amino Acids,191001_Std_AA_AA-IS,Histidine,1.33,19023706,0,15257094,0.3,Amino Acids
Amino Acids,200908_Blk_GBTFateBlk_A,Histidine,0.79,62520,0,176025,-2.3,Amino Acids
Amino Acids,200908_Blk_GBTFateBlk_B,Histidine,1.39,75657,0,239832,-0.5,Amino Acids
Amino Acids,200908_Smp_GBTFate1T0_A,Histidine,0.79,342406,0,1041895,0.3,Amino Acids
Amino Acids,200908_Smp_GBTFate1T0_B,Histidine,0.79,2170810,0,2919415,-1.2,Amino Acids
Amino Acids,200908_Smp_GBTFate1T0_C,Histidine,0.79,376581,0,500475,-0.8,Amino Acids
Amino Acids,200908_Smp_GBTFate2T0_A,Histidine,0.79,687117,0,973987,-1.3,Amino Acids
Amino Acids,200908_Smp_GBTFate2T0_B,Histidine,0.79,523733,0,658676,-0.9,Amino Acids
Amino Acids,200908_Smp_GBTFate2T0_C,Histidine,0.79,982252,0,1423140,-1.2,Amino Acids
Amino Acids,200908_Smp_GBTFate1Tlong_A,Histidine,1.48,307203,0,898306,0.2,Amino Acids
Amino Acids,200908_Smp_GBTFate1Tlong_B,Histidine,1.37,363381,0,790284,-0.2,Amino Acids
Amino Acids,200908_Smp_GBTFate1Tlong_C,Histidine,0.79,741774,0,1001929,-1,Amino Acids
Amino Acids,200908_Smp_GBTFate2Tlong_A,Histidine,0.79,874929,0,1207678,-0.8,Amino Acids
Amino Acids,200908_Smp_GBTFate2Tlong_B,Histidine,0.87,151885,0,485204,0,Amino Acids
Amino Acids,200908_Std_0.5uM_GBTFate1T0_A-1,Histidine,1.52,3073004,0,3107929,-0.2,Amino Acids
Amino Acids,200908_Std_1.0uM_GBTFate1T0_A-1,Histidine,1.46,13496867,0,11805423,-0.7,Amino Acids
Amino Acids,200908_Std_0uM_GBTFate1T0_A-1,Histidine,1.49,336710,0,1093377,3.4,Amino Acids
Amino Acids,200908_Smp_GBTFate2Tlong_C,Histidine,0.79,767578,0,1079913,-1.2,Amino Acids
Amino Acids,200908_Std_2.5uM_GBTFate1T0_A-1,Histidine,1.45,25497700,0,20197586,-0.3,Amino Acids
Amino Acids,200908_Std_0uM_GBTFate1T0_A-2,Histidine,1.38,63482,0,202259,0.1,Amino Acids
