type,SampID,runDate,N.lab,C.lab,Precursor Ion Name,Protein Name,Fraction1,iso.mz,MID.mean,MID.sd,Area.filled.w.background.mean,Area.filled.w.background.sd
Smp,KM1906S4C28D15,190715,0,0,(3-Carboxypropyl)trimethylammonium_13C-0 15N-0,(3-Carboxypropyl)trimethylammonium,HILICPos,146.118104,0.9316129125653968,2.60173306587917e-4,22171078,2669548.625436143
Smp,KM1906S4C28D15,190715,0,0,Adenine_13C-0 15N-0,Adenine,HILICPos,136.06232,0.9473694973411907,0.0014813824126404917,145200555.33333334,43544291.21954157
Smp,KM1906S4C28D15,190715,0,0,Adenosine_13C-0 15N-0,Adenosine,HILICPos,268.10458,0.8869939407831686,8.412727857767575e-4,89835042.66666667,44487723.67018107
Smp,KM1906S4C28D15,190715,0,0,beta-Alanine_13C-0 15N-0,beta-Alanine,HILICPos,90.055504,0.9683063929598336,0.008050793605605086,10885614,1021983.1849844693
Smp,KM1906S4C28D15,190715,0,0,beta-Alaninebetaine_13C-0 15N-0,beta-Alaninebetaine,HILICPos,132.1018,0.9356628398919916,6.394056073276479e-4,465201448,21943252.90471292
Smp,KM1906S4C28D15,190715,0,0,Betonicine_13C-0 15N-0,Betonicine,HILICPos,160.097369,0.9289026501576785,3.253103520773059e-4,71718113.33333333,2817997.179437434
Smp,KM1906S4C28D15,190715,0,0,Carnitine_13C-0 15N-0,Carnitine,NA,NA,0.9336974501006674,0.0010696062890422208,65509308,513083.47353622684
Smp,KM1906S4C28D15,190715,0,0,Creatine_13C-0 15N-0,Creatine,NA,NA,0.9582268789720565,0.00344302535859617,21500123.333333332,3283208.9417338846
Smp,KM1906S4C28D15,190715,0,0,Cytosine_13C-0 15N-0,Cytosine,NA,NA,0.9495569117091459,0.0035458530064265453,66882888,24366808.30208175
Smp,KM1906S4C28D15,190715,0,0,Deoxyadenosine_13C-0 15N-0,Deoxyadenosine,HILICPos,252.109665,0.9275637487812316,0.007968695475713088,18338740,12551445.720045201
Smp,KM1906S4C28D15,190715,0,0,Glycerophosphocholine_13C-0 15N-0,Glycerophosphocholine,HILICPos,258.110652,0.9197329541007137,0.0013900430230550094,255190988.66666666,49358295.92825706
Smp,KM1906S4C28D15,190715,0,0,Glycine betaine_13C-0 15N-0,Glycine betaine,NA,NA,0.938498320806862,5.069672666684706e-4,2903371946.6666665,186493822.55817488
Smp,KM1906S4C28D15,190715,0,0,Guanine_13C-0 15N-0,Guanine,NA,NA,0.9011300111757784,0.007506385005641018,44522276,4959978.897885757
Smp,KM1906S4C28D15,190715,0,0,Guanosine_13C-0 15N-0,Guanosine,HILICPos,284.099495,0.978446164125947,0.02084337679159308,1309231.6666666667,349643.8083969646
Smp,KM1906S4C28D15,190715,0,0,Homarine_13C-0 15N-0,Homarine,HILICPos,138.055503,0.9253014602602425,9.790139620442836e-4,1675455558.3333333,103917855.93120146
Smp,KM1906S4C28D15,190715,0,0,L-Alanine_13C-0 15N-0,L-Alanine,NA,NA,0.9739918168100163,0.002065930222584746,13802077,2602087.056662978
Smp,KM1906S4C28D15,190715,0,0,L-Arginine_13C-0 15N-0,L-Arginine,HILICPos,175.119501,0.9363740206207288,0.004846701063596967,29492080,4183297.092803235
Smp,KM1906S4C28D15,190715,0,0,L-Glutamic acid_13C-0 15N-0,L-Glutamic acid,HILICPos,148.060984,0.9469119745507025,0.0014687290878080184,72367392.66666667,15929676.279372076
Smp,KM1906S4C28D15,190715,0,0,L-Glutamine_13C-0 15N-0,L-Glutamine,HILICPos,147.076968,0.9448113636264973,0.0030576217003090195,30702457.333333332,4453629.356613023
Smp,KM1906S4C28D15,190715,0,0,L-Leucine_13C-0 15N-0,L-Leucine,NA,NA,0.9188521809389255,0.028567114141986538,13103191.333333334,1829129.8455435943
Smp,KM1906S4C28D15,190715,0,0,L-Methionine_13C-0 15N-0,L-Methionine,HILICPos,150.058876,0.9482730809771124,0.006314264428899557,9834849.333333334,2290504.545123701
Smp,KM1906S4C28D15,190715,0,0,L-Proline_13C-0 15N-0,L-Proline,NA,NA,0.963332115263688,0.029350323698041036,162539722.66666666,6795416.416715412
Smp,KM1906S4C28D15,190715,0,0,O-Acetylcarnitine_13C-0 15N-0,O-Acetylcarnitine,HILICPos,204.123584,0.9591680032656462,0.05774516356049697,13255881,304417.9545821829
Smp,KM1906S4C28D15,190715,0,0,Proline betaine_13C-0 15N-0,Proline betaine,NA,NA,0.9363599840394561,5.965995985303312e-4,32835650.666666668,1511477.4128134807
Smp,KM1906S4C28D15,190715,0,0,Sarcosine_13C-0 15N-0,Sarcosine,HILICPos,90.055504,1,0,1720963,663746.0856750871
Smp,KM1906S4C28D15,190715,0,0,Taurine_13C-0 15N-0,Taurine,HILICPos,126.022491,0.9834726248993289,0.0031876109554598566,31171902,3147026.8172591096
Smp,KM1906S4C28D15,190715,0,0,Trigonelline_13C-0 15N-0,Trigonelline,NA,NA,0.9257127163888044,3.6426813064741314e-4,335574848,32961595.787404224
Smp,KM1906S4C28D15,190715,0,0,Trimethylamine N-oxide_13C-0 15N-0,Trimethylamine N-oxide,HILICPos,76.076239,0.9657372430988856,3.246088651961784e-4,191479818.33333334,30501076.336853776
Smp,KM1906S4C28D15,190715,0,1,(3-Carboxypropyl)trimethylammonium_13C-1 15N-0,(3-Carboxypropyl)trimethylammonium,HILICPos,147.121458,0.06838708743460319,2.60173306587898e-4,1626986.3333333333,189620.22641145997
Smp,KM1906S4C28D15,190715,0,1,Adenine_13C-1 15N-0,Adenine,HILICPos,137.065674,0.052630502658809274,0.0014813824126405156,8077601.666666667,2519358.8938151174
Smp,KM1906S4C28D15,190715,0,1,Adenosine_13C-1 15N-0,Adenosine,HILICPos,269.107934,0.09263698380058678,0.0028937207289561916,9333451.333333334,4459693.564727215
Smp,KM1906S4C28D15,190715,0,1,beta-Alanine_13C-1 15N-0,beta-Alanine,HILICPos,91.058858,0.03169360704016639,0.008050793605605107,360472.3333333333,119964.89329938711
Smp,KM1906S4C28D15,190715,0,1,beta-Alaninebetaine_13C-1 15N-0,beta-Alaninebetaine,HILICPos,133.105154,0.06056084324174114,6.730146687587205e-4,30103072.333333332,1224598.3851048201
Smp,KM1906S4C28D15,190715,0,1,Betonicine_13C-1 15N-0,Betonicine,HILICPos,161.100723,0.07109734984232151,3.253103520772825e-4,5489565.333333333,229108.3222502695
Smp,KM1906S4C28D15,190715,0,1,Carnitine_13C-1 15N-0,Carnitine,NA,NA,0.06630254989933258,0.001069606289042216,4652310.666666667,114565.13303066223
Smp,KM1906S4C28D15,190715,0,1,Creatine_13C-1 15N-0,Creatine,NA,NA,0.03737367290328867,0.002482882463505535,844607,185971.7029792436
Smp,KM1906S4C28D15,190715,0,1,Cytosine_13C-1 15N-0,Cytosine,NA,NA,0.042267728787095366,0.0031099606546225855,2922563,873627.5540165843
Smp,KM1906S4C28D15,190715,0,1,Deoxyadenosine_13C-1 15N-0,Deoxyadenosine,HILICPos,253.113019,0.07243625121876834,0.007968695475713071,1495147.6666666667,1158178.490659075
Smp,KM1906S4C28D15,190715,0,1,Glycerophosphocholine_13C-1 15N-0,Glycerophosphocholine,HILICPos,259.114006,0.07898932909878843,7.79674254164177e-4,21945507.666666668,4435620.627459627
Smp,KM1906S4C28D15,190715,0,1,Glycine betaine_13C-1 15N-0,Glycine betaine,NA,NA,0.051681513949695196,6.240763036800367e-4,159904410.66666666,10961883.34120836
Smp,KM1906S4C28D15,190715,0,1,Guanine_13C-1 15N-0,Guanine,HILICPos,153.060589,0.0472197986953778,0.0012342817051823444,2332130.6666666665,257155.72384517
Smp,KM1906S4C28D15,190715,0,1,Guanosine_13C-1 15N-0,Guanosine,NA,NA,0.011460970969416626,0.01152860057483332,17874,17933.796112368404
Smp,KM1906S4C28D15,190715,0,1,Homarine_13C-1 15N-0,Homarine,NA,NA,0.06962975650555721,8.159196231161631e-4,126147117.33333333,9480460.224488964
Smp,KM1906S4C28D15,190715,0,1,L-Alanine_13C-1 15N-0,L-Alanine,HILICPos,91.058858,0.02534553401079728,0.0015333964359578096,359470,73433.62859072129
Smp,KM1906S4C28D15,190715,0,1,L-Arginine_13C-1 15N-0,L-Arginine,HILICPos,176.12285500000002,0.05701706795267381,0.0011045027817546066,1799440.3333333333,289051.3725211028
Smp,KM1906S4C28D15,190715,0,1,L-Glutamic acid_13C-1 15N-0,L-Glutamic acid,HILICPos,149.064338,0.052673530321900204,0.0012376739486488493,4029939.6666666665,929978.2825863911
Smp,KM1906S4C28D15,190715,0,1,L-Glutamine_13C-1 15N-0,L-Glutamine,HILICPos,148.080322,0.05134695094684179,0.0017853727373348918,1672828.3333333333,293368.9918419009
Smp,KM1906S4C28D15,190715,0,1,L-Leucine_13C-1 15N-0,L-Leucine,HILICPos,133.105808,0.08087459131130241,0.02901638320759673,1141556,387483.96487983863
Smp,KM1906S4C28D15,190715,0,1,L-Methionine_13C-1 15N-0,L-Methionine,HILICPos,151.06223,0.05172691902288764,0.006314264428899536,540600,158558.81812122592
Smp,KM1906S4C28D15,190715,0,1,L-Proline_13C-1 15N-0,L-Proline,NA,NA,0.03435571423545444,0.02975302691518337,5777177,5007098.912259772
