"","Emperical.Formula","Compound.Name","C","N.numb","prob.of.13C1","prob.of.13C2","prob.of15N1","M.only.total"
"1","C25H42N7O18P3S","(S)-3-Hydroxybutyryl-CoA",25,7,27.5,3.63,2.59,66.28
"2","C25H40N7O18P3S","Acetoacetyl-CoA",25,7,27.5,3.63,2.59,66.28
"3","C23H38N7O17P3S","Acetyl-CoA",23,7,25.3,3.0613,2.59,69.0487
"4","C25H40N7O17P3S","Crotonoyl-CoA",25,7,27.5,3.63,2.59,66.28
"5","C25H40N7O19P3S","D-Methylmalonyl-CoA",25,7,27.5,3.63,2.59,66.28
"6","C24H38N7O19P3S","Malonyl-CoA",24,7,26.4,3.3396,2.59,67.6704
"7","C24H40N7O17P3S","Propionyl-CoA",24,7,26.4,3.3396,2.59,67.6704
"8","C25H40N7O19P3S","Succinyl-CoA",25,7,27.5,3.63,2.59,66.28
"9","C10H15N5O10P2","Adenosine diphosphate",10,5,11,0.5445,1.85,86.6055
"10","C10H14N5O7P","Adenosine monophosphate",10,5,11,0.5445,1.85,86.6055
"11","C10H16N5O13P3","Adenosine triphosphate",10,5,11,0.5445,1.85,86.6055
"12","C10H14N5O8P","Guanosine monophosphate",10,5,11,0.5445,1.85,86.6055
"13","C10H16N5O14P3","Guanosine triphosphate",10,5,11,0.5445,1.85,86.6055
"14","C21C(13)2H38N7O17P3S","Acetyl-CoA, 13C2",NA,NA,NA,NA,NA,NA
"15","C10H13N(15)5O7P","AMP, 15N5",NA,NA,NA,NA,NA,NA
"16","C10H13N(15)5O8P","GMP, 15N5",NA,NA,NA,NA,NA,NA
"17","C(13)2H6O4S","Isethionic acid, 13C2",NA,NA,NA,NA,NA,NA
"18","C3D3H4NO5S","L-Cysteic acid, 2H3",NA,NA,NA,NA,NA,NA
"19","C4D4H2O4","Succinic acid, 2H4",NA,NA,NA,NA,NA,NA
"20","C(13)12H22O11","Sucrose, 13C",NA,NA,NA,NA,NA,NA
"21","C(13)2H4O5S","Sulfoacetic acid, 13C2",NA,NA,NA,NA,NA,NA
"22","C(13)2H5O4S","3-Sulfolactate, 13C3",NA,NA,NA,NA,NA,NA
"23","C2D4H3NO3S","Taurine, 2H4",NA,NA,NA,NA,NA,NA
"24","C(13)12H22O11","Trehalose, 13C",NA,NA,NA,NA,NA,NA
"25","C5D4H2N2O2","Thymine, 2H4",NA,NA,NA,NA,NA,NA
"26","C4D2H2N(15)2O2","Uracil, 15N2, 2H2",NA,NA,NA,NA,NA,NA
"27","C10H12N5O6P","3',5'-Cyclic AMP",10,5,11,0.5445,1.85,86.6055
"28","C20H24N10O14P2","3',5'-Cyclic diGMP",20,10,22,2.299,3.7,72.001
"29","C10H12N5O7P","3',5'-Cyclic GMP",10,5,11,0.5445,1.85,86.6055
"30","C5H7NO3","5-Oxoproline",5,1,5.5,0.121,0.37,94.009
"31","C5H4N4O","Allopurinol",5,4,5.5,0.121,1.48,92.899
"32","C6H13NO3","Hydroxyisoleucine",6,1,6.6,0.1815,0.37,92.8485
"33","C10H12N4O5","Inosine",10,4,11,0.5445,1.48,86.9755
"34","C6H7NO3S","Sulfanilic acid",6,1,6.6,0.1815,0.37,92.8485
"35","C6H6N2O2","Urocanic acid",6,2,6.6,0.1815,0.74,92.4785
"36","C3H7NO4S","L-Cysteinesulfinic acid",3,1,3.3,0.0363,0.37,96.2937
"37","C10H16N4O3","Anserine",10,4,11,0.5445,1.48,86.9755
"38","C9H14N4O3","Carnosine",9,4,9.9,0.4356,1.48,88.1844
"39","C5H4N4O","Hypoxanthine",5,4,5.5,0.121,1.48,92.899
"40","C11H19NO8","N-Acetylmuramic acid",11,1,12.1,0.6655,0.37,86.8645
