UW# or Station #,Cast,Depth (m),Sample ID,Local Date,Local Time,Vol Filtered,Vol Filtered (L),Time Start,Time End,Notes (spike time),Sample Type,Incubation time (hr),Experiment,Timepoint,Time of day,rep,Time since last sample (hr)
S4,C16,15,GBTFate1MT0_A,4/17/2019,Cast at 6:00,2L,2,9:11,9:27,8:55,Metab,0.5,Fate1,0,900,A,0
S4,C16,15,GBTFate1MT0_B,4/17/2019,,2L,2,9:11,9:25,8:55,Metab,0.5,Fate1,0,900,B,0
S4,C16,15,GBTFate1MT0_C,4/17/2019,,1.95L,1.95,9:11,9:32,8:55,Metab,0.5,Fate1,0,900,C,0
S4,C16,15,GBTFate1HT0_A,4/17/2019,,200 mL,0.2,9:08,,8:55,Hydrolysis,0.166666667,Fate1,0,900,A,0
S4,C16,15,GBTFate1HT0_B,4/17/2019,,200 mL,0.2,9:08,,8:55,Hydrolysis,0.166666667,Fate1,0,900,B,0
S4,C16,15,GBTFate1HT0_C,4/17/2019,,200 mL,0.2,9:08,,8:55,Hydrolysis,0.166666667,Fate1,0,900,C,0
S4,C16,15,GBTFate1NutsT0_A,4/17/2019,,~40 mL,0.04,9:04,,8:55,Nuts,0.166666667,Fate1,0,900,A,0
S4,C16,15,GBTFate1NutsT0_B,4/17/2019,,~40 mL,0.04,9:04,,8:55,Nuts,0.166666667,Fate1,0,900,B,0
S4,C16,15,GBTFate1NutsT0_C,4/17/2019,,~40 mL,0.04,9:04,,8:55,Nuts,0.166666667,Fate1,0,900,C,0
S4,C16,15,GBTFate1FCMT0_A,4/17/2019,,2 mL,0.002,8:50,,8:55,FCM,0,Fate1,0,900,A,0
S4,C16,15,GBTFate1FCMT0_B,4/17/2019,,2 mL,0.002,8:50,,8:55,FCM,0,Fate1,0,900,B,0
S4,C16,15,GBTFate1FCMT0_C,4/17/2019,,2 mL,0.002,8:50,,8:55,FCM,0,Fate1,0,900,C,0
S4,C16,15,GBTFate1C/NT0_noSpike,4/17/2019,,,,10:00,13:00,NA,C/N,0,Fate1,0,900,noSpike,0
S4,C16,15,GBTFate1C/NT0_Spike,4/17/2019,,,,10:07,12:03,10:03,C/N,2,Fate1,0,900,Spike,0
S4,C16,15,GBTFate1MT4_A,4/17/2019,,2L,2,11:29,11:55,7:18,Metab,4.5,Fate1,4,1200,A,4.25
S4,C16,15,GBTFate1MT4_B,4/17/2019,,2L,2,11:29,11:55,7:22,Metab,4.5,Fate1,4,1200,B,4.25
S4,C16,15,GBTFate1MT4_C,4/17/2019,,2L,2,11:29,11:55,7:22,Metab,4.5,Fate1,4,1200,C,4.25
S4,C16,15,GBTFate1HT4_A,4/17/2019,,200 mL,0.2,11:27,,7:18,Hydrolysis,4.5,Fate1,4,1200,A,4.25
S4,C16,15,GBTFate1HT4_B,4/17/2019,,200 mL,0.2,11:27,,7:22,Hydrolysis,4.5,Fate1,4,1200,B,4.25
S4,C16,15,GBTFate1HT4_C,4/17/2019,,200 mL,0.2,11:27,,7:22,Hydrolysis,4.5,Fate1,4,1200,C,4.25
S4,C16,15,GBTFate1NutsT4_A,4/17/2019,,~40 mL,0.04,11:24,,,Nuts,4.5,Fate1,4,1200,A,4.25
S4,C16,15,GBTFate1NutsT4_B,4/17/2019,,~40 mL,0.04,11:24,,,Nuts,4.5,Fate1,4,1200,B,4.25
S4,C16,15,GBTFate1NutsT4_C,4/17/2019,,~40 mL,0.04,11:24,,,Nuts,4.5,Fate1,4,1200,C,4.25
S4,C16,15,GBTFate1FCMT4_A,4/17/2019,,2 mL,0.002,11:16,,,FCM,4.5,Fate1,4,1200,A,4.25
S4,C16,15,GBTFate1FCMT4_B,4/17/2019,,2 mL,0.002,11:16,,,FCM,4.5,Fate1,4,1200,B,4.25
S4,C16,15,GBTFate1FCMT4_C,4/17/2019,,2 mL,0.002,11:16,,says T2 on actual vial,FCM,4.5,Fate1,4,1200,C,4.25
S4,C16,15,GBTFate1MT8_A,4/17/2019,,2L,2,15:48,16:17,7:18,Metab,9,Fate1,8,1600,A,4.5
S4,C16,15,GBTFate1MT8_B,4/17/2019,,2L,2,15:48,16:23,7:05,Metab,9,Fate1,8,1600,B,4.5
