Replicate.Name,Precursor.Ion.Name,Runtype,Area,Area_noBlank
191001_Std_AA_AA-IS,Histidine,Sample,19023706,18948049
200908_Smp_GBTFate1T0_A,Histidine,Sample,0,-75657
200908_Smp_GBTFate1T0_B,Histidine,Sample,108578,32921
200908_Smp_GBTFate1T0_C,Histidine,Sample,57742,-17915
200908_Smp_GBTFate2T0_A,Histidine,Sample,0,-75657
200908_Smp_GBTFate2T0_B,Histidine,Sample,47093,-28564
200908_Smp_GBTFate2T0_C,Histidine,Sample,152772,77115
200908_Smp_GBTFate1Tlong_A,Histidine,Sample,307203,231546
200908_Smp_GBTFate1Tlong_B,Histidine,Sample,363381,287724
200908_Smp_GBTFate1Tlong_C,Histidine,Sample,0,-75657
200908_Smp_GBTFate2Tlong_A,Histidine,Sample,49185,-26472
200908_Smp_GBTFate2Tlong_B,Histidine,Sample,0,-75657
200908_Smp_GBTFate2Tlong_C,Histidine,Sample,50180,-25477
200908_Std_0uM_GBTFate1T0_A-2,Histidine,StandardCurve,63482,-12175
200908_Std_0.5uM_GBTFate1T0_A-2,Histidine,StandardCurve,6331851,6256194
200908_Std_1.0uM_GBTFate1T0_A-2,Histidine,StandardCurve,12689812,12614155
200908_Std_2.5uM_GBTFate1T0_A-2,Histidine,StandardCurve,22269808,22194151
191001_Std_AA_AA-IS,Arginine,Sample,22979468,22428604
200908_Smp_GBTFate1T0_A,Arginine,Sample,552630,1766
200908_Smp_GBTFate1T0_B,Arginine,Sample,7493684,6942820
200908_Smp_GBTFate1T0_C,Arginine,Sample,2540484,1989620
200908_Smp_GBTFate2T0_A,Arginine,Sample,2676990,2126126
200908_Smp_GBTFate2T0_B,Arginine,Sample,3071754,2520890
200908_Smp_GBTFate2T0_C,Arginine,Sample,5047528,4496664
200908_Smp_GBTFate1Tlong_A,Arginine,Sample,5007517,4456653
200908_Smp_GBTFate1Tlong_B,Arginine,Sample,9978582,9427718
200908_Smp_GBTFate1Tlong_C,Arginine,Sample,2408527,1857663
200908_Smp_GBTFate2Tlong_A,Arginine,Sample,3050089,2499225
200908_Smp_GBTFate2Tlong_B,Arginine,Sample,564808,13944
200908_Smp_GBTFate2Tlong_C,Arginine,Sample,4459500,3908636
200908_Std_0uM_GBTFate1T0_A-2,Arginine,StandardCurve,1575954,1025090
200908_Std_0.5uM_GBTFate1T0_A-2,Arginine,StandardCurve,28841790,28290926
200908_Std_1.0uM_GBTFate1T0_A-2,Arginine,StandardCurve,46238140,45687276
200908_Std_2.5uM_GBTFate1T0_A-2,Arginine,StandardCurve,93845064,93294200
191001_Std_AA_AA-IS,Serine,Sample,196705424,187141148
200908_Smp_GBTFate1T0_A,Serine,Sample,7740037,-1824239
200908_Smp_GBTFate1T0_B,Serine,Sample,46522748,36958472
200908_Smp_GBTFate1T0_C,Serine,Sample,22507604,12943328
200908_Smp_GBTFate2T0_A,Serine,Sample,19625970,10061694
200908_Smp_GBTFate2T0_B,Serine,Sample,33049022,23484746
200908_Smp_GBTFate2T0_C,Serine,Sample,36111428,26547152
200908_Smp_GBTFate1Tlong_A,Serine,Sample,38427748,28863472
200908_Smp_GBTFate1Tlong_B,Serine,Sample,57657736,48093460
200908_Smp_GBTFate1Tlong_C,Serine,Sample,22345742,12781466
200908_Smp_GBTFate2Tlong_A,Serine,Sample,32306994,22742718
200908_Smp_GBTFate2Tlong_B,Serine,Sample,9615128,50852
200908_Smp_GBTFate2Tlong_C,Serine,Sample,42597680,33033404
200908_Std_0uM_GBTFate1T0_A-2,Serine,StandardCurve,16267925,6703649
200908_Std_0.5uM_GBTFate1T0_A-2,Serine,StandardCurve,164914560,155350284
200908_Std_1.0uM_GBTFate1T0_A-2,Serine,StandardCurve,227674912,218110636
200908_Std_2.5uM_GBTFate1T0_A-2,Serine,StandardCurve,444300992,434736716
191001_Std_AA_AA-IS,Glycine,Sample,259166448,211787436
200908_Smp_GBTFate1T0_A,Glycine,Sample,36121628,-11257384
200908_Smp_GBTFate1T0_B,Glycine,Sample,217698064,170319052
200908_Smp_GBTFate1T0_C,Glycine,Sample,86664496,39285484
200908_Smp_GBTFate2T0_A,Glycine,Sample,65709936,18330924
200908_Smp_GBTFate2T0_B,Glycine,Sample,96711792,49332780
200908_Smp_GBTFate2T0_C,Glycine,Sample,166773664,119394652
200908_Smp_GBTFate1Tlong_A,Glycine,Sample,158480832,111101820
200908_Smp_GBTFate1Tlong_B,Glycine,Sample,230043408,182664396
200908_Smp_GBTFate1Tlong_C,Glycine,Sample,89883496,42504484
200908_Smp_GBTFate2Tlong_A,Glycine,Sample,121412952,74033940
200908_Smp_GBTFate2Tlong_B,Glycine,Sample,35007792,-12371220
200908_Smp_GBTFate2Tlong_C,Glycine,Sample,139916352,92537340
200908_Std_0uM_GBTFate1T0_A-2,Glycine,StandardCurve,61626572,14247560
200908_Std_0.5uM_GBTFate1T0_A-2,Glycine,StandardCurve,275123744,227744732
200908_Std_1.0uM_GBTFate1T0_A-2,Glycine,StandardCurve,489214464,441835452
200908_Std_2.5uM_GBTFate1T0_A-2,Glycine,StandardCurve,744030912,696651900
191001_Std_AA_AA-IS,Aspartic Acid,Sample,174094112,172090203
200908_Smp_GBTFate1T0_A,Aspartic Acid,Sample,8668917,6665008
200908_Smp_GBTFate1T0_B,Aspartic Acid,Sample,25550608,23546699
200908_Smp_GBTFate1T0_C,Aspartic Acid,Sample,5582283,3578374
200908_Smp_GBTFate2T0_A,Aspartic Acid,Sample,6105618,4101709
200908_Smp_GBTFate2T0_B,Aspartic Acid,Sample,9884512,7880603
200908_Smp_GBTFate2T0_C,Aspartic Acid,Sample,10862118,8858209
200908_Smp_GBTFate1Tlong_A,Aspartic Acid,Sample,23511380,21507471
200908_Smp_GBTFate1Tlong_B,Aspartic Acid,Sample,15928263,13924354
200908_Smp_GBTFate1Tlong_C,Aspartic Acid,Sample,10129772,8125863
200908_Smp_GBTFate2Tlong_A,Aspartic Acid,Sample,10450579,8446670
200908_Smp_GBTFate2Tlong_B,Aspartic Acid,Sample,11096133,9092224
200908_Smp_GBTFate2Tlong_C,Aspartic Acid,Sample,12614713,10610804
