Protein Name,Replicate Name,Precursor Ion Name,Retention Time,Area,Background,Height,Mass Error PPM,Protein
Internal Standards_neg,200605_Poo_TruePooGBT_Full1,"Adenosine Monophosphate, 15N5",12.07,19235536,0,1533921,1.1,Internal Standards_neg
Internal Standards_neg,200605_Poo_TruePooGBT_Full2,"Adenosine Monophosphate, 15N5",12,19398692,0,1337277,1.2,Internal Standards_neg
Internal Standards_neg,200605_Poo_TruePooGBT_Full3,"Adenosine Monophosphate, 15N5",11.82,22422456,0,1328433,0.8,Internal Standards_neg
Internal Standards_neg,200605_Poo_TruePooGBT_Full4,"Adenosine Monophosphate, 15N5",11.71,23110448,0,1482175,-0.3,Internal Standards_neg
Internal Standards_neg,200605_Poo_TruePooGBT_Full5,"Adenosine Monophosphate, 15N5",11.62,26719028,0,1555048,0.4,Internal Standards_neg
Internal Standards_neg,200605_Poo_TruePooGBT_Full6neg,"Adenosine Monophosphate, 15N5",11.54,14570608,0,934953,0.6,Internal Standards_neg
Internal Standards_neg,200605_Poo_TruePooGBT_Half1,"Adenosine Monophosphate, 15N5",12.01,9811533,0,758600,1.3,Internal Standards_neg
Internal Standards_neg,200605_Poo_TruePooGBT_Half2,"Adenosine Monophosphate, 15N5",11.98,9544347,0,743634,0.9,Internal Standards_neg
Internal Standards_neg,200605_Poo_TruePooGBT_Half3,"Adenosine Monophosphate, 15N5",11.81,11033915,0,706283,1,Internal Standards_neg
Internal Standards_neg,200605_Poo_TruePooGBT_Half4,"Adenosine Monophosphate, 15N5",11.71,11234759,0,770790,0,Internal Standards_neg
Internal Standards_neg,200605_Poo_TruePooGBT_Half5,"Adenosine Monophosphate, 15N5",11.56,11389713,0,710988,0.4,Internal Standards_neg
Internal Standards_neg,200605_Poo_TruePooGBT_Half6neg,"Adenosine Monophosphate, 15N5",11.57,7413932,0,503767,0.4,Internal Standards_neg
Internal Standards_neg,200605_Poo_QC2_1,"Adenosine Monophosphate, 15N5",12.09,6581198,0,604057,1.2,Internal Standards_neg
Internal Standards_neg,200605_Poo_QC2_2,"Adenosine Monophosphate, 15N5",12.02,6603181,0,453380,1.1,Internal Standards_neg
Internal Standards_neg,200605_Poo_QC2_3,"Adenosine Monophosphate, 15N5",11.82,6750359,0,432598,1.4,Internal Standards_neg
Internal Standards_neg,200605_Poo_QC2_4,"Adenosine Monophosphate, 15N5",11.74,6573725,0,517632,0.2,Internal Standards_neg
Internal Standards_neg,200605_Poo_QC2_5,"Adenosine Monophosphate, 15N5",11.65,6862337,0,438452,0.7,Internal Standards_neg
Internal Standards_neg,200605_Blk_GBTFate1MBlk-IS_A,"Adenosine Monophosphate, 15N5",11.84,21548850,0,1542969,1,Internal Standards_neg
