Protein Name,Replicate Name,Precursor Ion Name,Retention Time,Area,Background,Height,Mass Error PPM,Protein
Internal Standards,200605_Std_4uMStdsMix1InH2O_1,"DL-Alanine, D3",#N/A,#N/A,#N/A,#N/A,#N/A,Internal Standards
Internal Standards,200605_Std_4uMStdsMix1InH2O_2,"DL-Alanine, D3",9.33,3877,0,2274,3.4,Internal Standards
Internal Standards,200605_Std_4uMStdsMix1InMatrix_1,"DL-Alanine, D3",#N/A,#N/A,#N/A,#N/A,#N/A,Internal Standards
Internal Standards,200605_Std_4uMStdsMix1InMatrix_2,"DL-Alanine, D3",#N/A,#N/A,#N/A,#N/A,#N/A,Internal Standards
Internal Standards,200605_Std_4uMStdsMix2InH2O_1,"DL-Alanine, D3",10.81,4302,0,3101,4.8,Internal Standards
Internal Standards,200605_Std_4uMStdsMix2InH2O_2,"DL-Alanine, D3",#N/A,#N/A,#N/A,#N/A,#N/A,Internal Standards
Internal Standards,200605_Std_4uMStdsMix2InMatrix_1,"DL-Alanine, D3",2.88,14454,0,10441,-0.7,Internal Standards
Internal Standards,200605_Std_4uMStdsMix2InMatrix_2,"DL-Alanine, D3",#N/A,#N/A,#N/A,#N/A,#N/A,Internal Standards
Internal Standards,200605_Std_H2OinMatrix_1,"DL-Alanine, D3",#N/A,#N/A,#N/A,#N/A,#N/A,Internal Standards
Internal Standards,200605_Std_H2OinMatrix_2,"DL-Alanine, D3",#N/A,#N/A,#N/A,#N/A,#N/A,Internal Standards
Internal Standards,200605_Poo_TruePooGBT_Full1,"DL-Alanine, D3",11.29,33874720,320111,2714270,5.8,Internal Standards
Internal Standards,200605_Poo_TruePooGBT_Full2,"DL-Alanine, D3",11.3,33535744,156032,2675085,6.4,Internal Standards
Internal Standards,200605_Poo_TruePooGBT_Full3,"DL-Alanine, D3",11.22,33981160,354969,2950883,5.3,Internal Standards
Internal Standards,200605_Poo_TruePooGBT_Full4,"DL-Alanine, D3",11.15,38380108,443269,3221681,4,Internal Standards
Internal Standards,200605_Poo_TruePooGBT_Full5,"DL-Alanine, D3",11.12,40272852,242212,3174250,4.5,Internal Standards
Internal Standards,200605_Poo_TruePooGBT_Full6pos,"DL-Alanine, D3",11.11,21425316,237026,1739674,4.3,Internal Standards
Internal Standards,200605_Poo_TruePooGBT_Half1,"DL-Alanine, D3",11.29,15563961,169843,1289904,6.4,Internal Standards
Internal Standards,200605_Poo_TruePooGBT_Half2,"DL-Alanine, D3",11.27,15780321,0,1179163,5.9,Internal Standards
Internal Standards,200605_Poo_TruePooGBT_Half3,"DL-Alanine, D3",11.22,17974310,94428,1434104,5.4,Internal Standards
Internal Standards,200605_Poo_TruePooGBT_Half4,"DL-Alanine, D3",11.16,19734084,156273,1543913,4,Internal Standards
Internal Standards,200605_Poo_TruePooGBT_Half5,"DL-Alanine, D3",11.1,19758058,0,1546603,4.6,Internal Standards
Internal Standards,200605_Poo_TruePooGBT_Half6pos,"DL-Alanine, D3",11.09,14251695,184124,1159371,4.4,Internal Standards
Internal Standards,200605_Poo_QC2_1,"DL-Alanine, D3",11.34,14198178,0,1116112,5.9,Internal Standards
Internal Standards,200605_Poo_QC2_2,"DL-Alanine, D3",11.31,13748399,0,1130669,6.2,Internal Standards
Internal Standards,200605_Poo_QC2_3,"DL-Alanine, D3",11.25,12479775,0,965006,5.3,Internal Standards
Internal Standards,200605_Poo_QC2_4,"DL-Alanine, D3",11.15,14048013,0,1200668,4.2,Internal Standards
Internal Standards,200605_Poo_QC2_5,"DL-Alanine, D3",11.12,17288358,138598,1417881,4.7,Internal Standards
Internal Standards,200605_Blk_GBTFate1MBlk-pos_A,"DL-Alanine, D3",9.85,960,0,1199,3.3,Internal Standards
Internal Standards,200605_Blk_GBTFate1MBlk-pos_B,"DL-Alanine, D3",7.89,1233,0,1996,1.6,Internal Standards
Internal Standards,200605_Smp_GBTFate1MT0-pos_A,"DL-Alanine, D3",12.5,1245,0,2052,4.1,Internal Standards
