Peptide,Protein,Replicate,Precursor Mz,Precursor Charge,Product Mz,Product Charge,Fragment Ion,Retention Time,Area,Background,Peak Rank,Average Mass Error PPM
"DL-Alanine, D3",Internal Standards,200605_Std_4uMStdsMix1InH2O_1,93.0738,1,93.0738,1,precursor,#N/A,#N/A,#N/A,#N/A,#N/A
"DL-Alanine, D3",Internal Standards,200605_Std_4uMStdsMix1InH2O_2,93.0738,1,93.0738,1,precursor,9.33,3877,0,1,3.4
"DL-Alanine, D3",Internal Standards,200605_Std_4uMStdsMix1InMatrix_1,93.0738,1,93.0738,1,precursor,#N/A,#N/A,#N/A,#N/A,#N/A
"DL-Alanine, D3",Internal Standards,200605_Std_4uMStdsMix1InMatrix_2,93.0738,1,93.0738,1,precursor,#N/A,#N/A,#N/A,#N/A,#N/A
"DL-Alanine, D3",Internal Standards,200605_Std_4uMStdsMix2InH2O_1,93.0738,1,93.0738,1,precursor,10.81,4302,0,1,4.8
"DL-Alanine, D3",Internal Standards,200605_Std_4uMStdsMix2InH2O_2,93.0738,1,93.0738,1,precursor,#N/A,#N/A,#N/A,#N/A,#N/A
"DL-Alanine, D3",Internal Standards,200605_Std_4uMStdsMix2InMatrix_1,93.0738,1,93.0738,1,precursor,2.88,14454,0,1,-0.7
"DL-Alanine, D3",Internal Standards,200605_Std_4uMStdsMix2InMatrix_2,93.0738,1,93.0738,1,precursor,#N/A,#N/A,#N/A,#N/A,#N/A
"DL-Alanine, D3",Internal Standards,200605_Std_H2OinMatrix_1,93.0738,1,93.0738,1,precursor,#N/A,#N/A,#N/A,#N/A,#N/A
"DL-Alanine, D3",Internal Standards,200605_Std_H2OinMatrix_2,93.0738,1,93.0738,1,precursor,#N/A,#N/A,#N/A,#N/A,#N/A
"DL-Alanine, D3",Internal Standards,200605_Poo_TruePooGBT_Full1,93.0738,1,93.0738,1,precursor,11.29,33874720,320111,1,5.8
"DL-Alanine, D3",Internal Standards,200605_Poo_TruePooGBT_Full2,93.0738,1,93.0738,1,precursor,11.3,33535744,156032,1,6.4
"DL-Alanine, D3",Internal Standards,200605_Poo_TruePooGBT_Full3,93.0738,1,93.0738,1,precursor,11.22,33981160,354969,1,5.3
"DL-Alanine, D3",Internal Standards,200605_Poo_TruePooGBT_Full4,93.0738,1,93.0738,1,precursor,11.15,38380108,443269,1,4
"DL-Alanine, D3",Internal Standards,200605_Poo_TruePooGBT_Full5,93.0738,1,93.0738,1,precursor,11.12,40272852,242212,1,4.5
"DL-Alanine, D3",Internal Standards,200605_Poo_TruePooGBT_Full6pos,93.0738,1,93.0738,1,precursor,11.11,21425316,237026,1,4.3
"DL-Alanine, D3",Internal Standards,200605_Poo_TruePooGBT_Half1,93.0738,1,93.0738,1,precursor,11.29,15563961,169843,1,6.4
"DL-Alanine, D3",Internal Standards,200605_Poo_TruePooGBT_Half2,93.0738,1,93.0738,1,precursor,11.27,15780321,0,1,5.9
"DL-Alanine, D3",Internal Standards,200605_Poo_TruePooGBT_Half3,93.0738,1,93.0738,1,precursor,11.22,17974310,94428,1,5.4
"DL-Alanine, D3",Internal Standards,200605_Poo_TruePooGBT_Half4,93.0738,1,93.0738,1,precursor,11.16,19734084,156273,1,4
"DL-Alanine, D3",Internal Standards,200605_Poo_TruePooGBT_Half5,93.0738,1,93.0738,1,precursor,11.1,19758058,0,1,4.6
"DL-Alanine, D3",Internal Standards,200605_Poo_TruePooGBT_Half6pos,93.0738,1,93.0738,1,precursor,11.09,14251695,184124,1,4.4
"DL-Alanine, D3",Internal Standards,200605_Poo_QC2_1,93.0738,1,93.0738,1,precursor,11.34,14198178,0,1,5.9
"DL-Alanine, D3",Internal Standards,200605_Poo_QC2_2,93.0738,1,93.0738,1,precursor,11.31,13748399,0,1,6.2
"DL-Alanine, D3",Internal Standards,200605_Poo_QC2_3,93.0738,1,93.0738,1,precursor,11.25,12479775,0,1,5.3
"DL-Alanine, D3",Internal Standards,200605_Poo_QC2_4,93.0738,1,93.0738,1,precursor,11.15,14048013,0,1,4.2
"DL-Alanine, D3",Internal Standards,200605_Poo_QC2_5,93.0738,1,93.0738,1,precursor,11.12,17288358,138598,1,4.7
"DL-Alanine, D3",Internal Standards,200605_Blk_GBTFate1MBlk-pos_A,93.0738,1,93.0738,1,precursor,9.85,960,0,1,3.3
"DL-Alanine, D3",Internal Standards,200605_Blk_GBTFate1MBlk-pos_B,93.0738,1,93.0738,1,precursor,7.89,1233,0,1,1.6
"DL-Alanine, D3",Internal Standards,200605_Smp_GBTFate1MT0-pos_A,93.0738,1,93.0738,1,precursor,12.5,1245,0,1,4.1
"DL-Alanine, D3",Internal Standards,200605_Smp_GBTFate1MT0-pos_B,93.0738,1,93.0738,1,precursor,13.31,1259,0,1,-0.4
"DL-Alanine, D3",Internal Standards,200605_Smp_GBTFate1MT0-pos_C,93.0738,1,93.0738,1,precursor,12.94,1393,0,1,0.1
"DL-Alanine, D3",Internal Standards,200605_Smp_GBTFate1MT12-pos_A,93.0738,1,93.0738,1,precursor,9.92,1174,0,1,2
"DL-Alanine, D3",Internal Standards,200605_Smp_GBTFate1MT12-pos_B,93.0738,1,93.0738,1,precursor,12.97,1139,0,1,2.6
"DL-Alanine, D3",Internal Standards,200605_Smp_GBTFate1MT12-pos_C,93.0738,1,93.0738,1,precursor,11.07,1210,0,1,2.6
"DL-Alanine, D3",Internal Standards,200605_Smp_GBTFate1MT36-pos_A,93.0738,1,93.0738,1,precursor,11.27,1969,0,1,-0.5
