Protein Name,Replicate Name,Precursor Ion Name,Retention Time,Area,Background,Height,N.lab,C.lab,runDate,type,SampID,ionization,rep,Timepoint,Experiment,Blk.flag,ppm.flag,size.flag,RT.check,all.flags,rawArea,iso.mz,RT,Blk.Max.Area,Area.less.blk,z,Area.filled.w.background,all.area,MID
Arginine,200908_Smp_GBTFate1T0_B,Arginine_13C-0 15N-0,2.06,7504446,0,2586677,0,0,200908,Smp,GBTFate1T0,B,NA,0,Fate1,ok,ok,ok,ok,all ok,7504446,345.167514,2.1,583026,6921420,1,6921420,7346379,0.9421539509464458
Arginine,200908_Smp_GBTFate1T0_C,Arginine_13C-0 15N-0,2.06,2540484,0,771374,0,0,200908,Smp,GBTFate1T0,C,NA,0,Fate1,ok,ok,ok,ok,all ok,2540484,345.167514,2.1,583026,1957458,1,1957458,1957458,1
Arginine,200908_Smp_GBTFate2T0_A,Arginine_13C-0 15N-0,2.07,2676990,0,1223726,0,0,200908,Smp,GBTFate2T0,A,NA,0,Fate2,ok,ok,ok,ok,all ok,2676990,345.167514,2.1,583026,2093964,1,2093964,2131230,0.9825143227150519
Arginine,200908_Smp_GBTFate2T0_B,Arginine_13C-0 15N-0,2.05,3071754,0,900462,0,0,200908,Smp,GBTFate2T0,B,NA,0,Fate2,ok,ok,ok,ok,all ok,3071754,345.167514,2.1,583026,2488728,1,2488728,2653415,0.9379339455004212
Arginine,200908_Smp_GBTFate2T0_C,Arginine_13C-0 15N-0,2.07,5047528,0,1618450,0,0,200908,Smp,GBTFate2T0,C,NA,0,Fate2,ok,ok,ok,ok,all ok,5047528,345.167514,2.1,583026,4464502,1,4464502,4737122,0.9424502894373419
Arginine,200908_Smp_GBTFate1Tlong_A,Arginine_13C-0 15N-0,2.07,5151459,0,1630399,0,0,200908,Smp,GBTFate1Tlong,A,NA,96,Fate1,ok,ok,ok,ok,all ok,5151459,345.167514,2.1,583026,4568433,1,4568433,4756516,0.9604578224902428
Arginine,200908_Smp_GBTFate1Tlong_B,Arginine_13C-0 15N-0,2.06,10022179,0,3039485,0,0,200908,Smp,GBTFate1Tlong,B,NA,96,Fate1,ok,ok,ok,ok,all ok,10022179,345.167514,2.1,583026,9439153,1,9439153,10906038,0.8654979012543327
Arginine,200908_Smp_GBTFate1Tlong_C,Arginine_13C-0 15N-0,2.07,2485903,0,900007,0,0,200908,Smp,GBTFate1Tlong,C,NA,96,Fate1,ok,ok,ok,ok,all ok,2485903,345.167514,2.1,583026,1902877,1,1902877,1956954,0.9723667495505771
Arginine,200908_Smp_GBTFate2Tlong_A,Arginine_13C-0 15N-0,2.06,3050089,0,1000621,0,0,200908,Smp,GBTFate2Tlong,A,NA,96,Fate2,ok,ok,ok,ok,all ok,3050089,345.167514,2.1,583026,2467063,1,2467063,2486675,0.9921131631596409
Arginine,200908_Smp_GBTFate2Tlong_C,Arginine_13C-0 15N-0,2.06,4507518,0,1318714,0,0,200908,Smp,GBTFate2Tlong,C,NA,96,Fate2,ok,ok,ok,ok,all ok,4507518,345.167514,2.1,583026,3924492,1,3924492,4094718,0.9584279063906233
Arginine,200908_Smp_GBTFate1T0_B,Arginine_13C-1 15N-0,2.07,226885,0,395244,0,1,200908,Smp,GBTFate1T0,B,NA,0,Fate1,ok,ok,ok,ok,all ok,226885,NA,NA,0,226885,NA,226885,7346379,0.03088392254197612
Arginine,200908_Smp_GBTFate1T0_C,Arginine_13C-1 15N-0,3.85,NA,0,172146,0,1,200908,Smp,GBTFate1T0,C,NA,0,Fate1,ok,ok,ok,bad RT,something is wrong,175756,NA,NA,0,NA,NA,0,1957458,0
Arginine,200908_Smp_GBTFate2T0_A,Arginine_13C-1 15N-0,2.07,28543,0,116325,0,1,200908,Smp,GBTFate2T0,A,NA,0,Fate2,ok,ok,ok,ok,all ok,28543,NA,NA,0,28543,NA,28543,2131230,0.013392735650305222
Arginine,200908_Smp_GBTFate2T0_B,Arginine_13C-1 15N-0,2.06,101342,0,235134,0,1,200908,Smp,GBTFate2T0,B,NA,0,Fate2,ok,ok,ok,ok,all ok,101342,NA,NA,0,101342,NA,101342,2653415,0.03819304556580859
Arginine,200908_Smp_GBTFate2T0_C,Arginine_13C-1 15N-0,2.07,189562,0,328025,0,1,200908,Smp,GBTFate2T0,C,NA,0,Fate2,ok,ok,ok,ok,all ok,189562,NA,NA,0,189562,NA,189562,4737122,0.04001627992692609
Arginine,200908_Smp_GBTFate1Tlong_A,Arginine_13C-1 15N-0,2.07,127161,0,238250,0,1,200908,Smp,GBTFate1Tlong,A,NA,96,Fate1,ok,ok,ok,ok,all ok,127161,NA,NA,0,127161,NA,127161,4756516,0.02673406333543291
Arginine,200908_Smp_GBTFate1Tlong_B,Arginine_13C-1 15N-0,2.07,1044124,0,521170,0,1,200908,Smp,GBTFate1Tlong,B,NA,96,Fate1,ok,ok,ok,ok,all ok,1044124,NA,NA,0,1044124,NA,1044124,10906038,0.09573815899046015
Arginine,200908_Smp_GBTFate1Tlong_C,Arginine_13C-1 15N-0,2.07,39167,0,107812,0,1,200908,Smp,GBTFate1Tlong,C,NA,96,Fate1,ok,ok,ok,ok,all ok,39167,NA,NA,0,39167,NA,39167,1956954,0.020014267070150856
Arginine,200908_Smp_GBTFate2Tlong_A,Arginine_13C-1 15N-0,0.79,NA,0,505340,0,1,200908,Smp,GBTFate2Tlong,A,NA,96,Fate2,ok,ok,ok,bad RT,something is wrong,280817,NA,NA,0,NA,NA,0,2486675,0
Arginine,200908_Smp_GBTFate2Tlong_C,Arginine_13C-1 15N-0,2.07,123821,0,149179,0,1,200908,Smp,GBTFate2Tlong,C,NA,96,Fate2,ok,ok,ok,ok,all ok,123821,NA,NA,0,123821,NA,123821,4094718,0.03023920084362342
Arginine,200908_Smp_GBTFate1T0_B,Arginine_13C-0 15N-1,2.07,198074,0,194507,1,0,200908,Smp,GBTFate1T0,B,NA,0,Fate1,ok,ok,ok,ok,all ok,198074,NA,NA,0,198074,NA,198074,7346379,0.026962126511578016
Arginine,200908_Smp_GBTFate1T0_C,Arginine_13C-0 15N-1,3.85,NA,0,8194,1,0,200908,Smp,GBTFate1T0,C,NA,0,Fate1,ok,ok,ok,bad RT,something is wrong,7223,NA,NA,0,NA,NA,0,1957458,0
Arginine,200908_Smp_GBTFate2T0_A,Arginine_13C-0 15N-1,2.07,8723,0,35550,1,0,200908,Smp,GBTFate2T0,A,NA,0,Fate2,ok,ok,ok,ok,all ok,8723,NA,NA,0,8723,NA,8723,2131230,0.004092941634642906
Arginine,200908_Smp_GBTFate2T0_B,Arginine_13C-0 15N-1,2.06,63345,0,160370,1,0,200908,Smp,GBTFate2T0,B,NA,0,Fate2,ok,ok,ok,ok,all ok,63345,NA,NA,0,63345,NA,63345,2653415,0.023873008933770253
Arginine,200908_Smp_GBTFate2T0_C,Arginine_13C-0 15N-1,2.07,83058,0,155503,1,0,200908,Smp,GBTFate2T0,C,NA,0,Fate2,ok,ok,ok,ok,all ok,83058,NA,NA,0,83058,NA,83058,4737122,0.01753343063573199
Arginine,200908_Smp_GBTFate1Tlong_A,Arginine_13C-0 15N-1,2.08,60922,0,112557,1,0,200908,Smp,GBTFate1Tlong,A,NA,96,Fate1,ok,ok,ok,ok,all ok,60922,NA,NA,0,60922,NA,60922,4756516,0.012808114174324233
Arginine,200908_Smp_GBTFate1Tlong_B,Arginine_13C-0 15N-1,2.07,422761,0,237041,1,0,200908,Smp,GBTFate1Tlong,B,NA,96,Fate1,ok,ok,ok,ok,all ok,422761,NA,NA,0,422761,NA,422761,10906038,0.03876393975520716
Arginine,200908_Smp_GBTFate1Tlong_C,Arginine_13C-0 15N-1,2.07,14910,0,41043,1,0,200908,Smp,GBTFate1Tlong,C,NA,96,Fate1,ok,ok,ok,ok,all ok,14910,NA,NA,0,14910,NA,14910,1956954,0.007618983379272073
Arginine,200908_Smp_GBTFate2Tlong_A,Arginine_13C-0 15N-1,2.06,19612,0,35662,1,0,200908,Smp,GBTFate2Tlong,A,NA,96,Fate2,ok,ok,ok,ok,all ok,19612,NA,NA,0,19612,NA,19612,2486675,0.007886836840359113
Arginine,200908_Smp_GBTFate2Tlong_C,Arginine_13C-0 15N-1,2.06,46405,0,56094,1,0,200908,Smp,GBTFate2Tlong,C,NA,96,Fate2,ok,ok,ok,ok,all ok,46405,NA,NA,0,46405,NA,46405,4094718,0.011332892765753343
Serine,200908_Smp_GBTFate1T0_B,Serine_13C-0 15N-0,2.36,46522748,0,13234914,0,0,200908,Smp,GBTFate1T0,B,NA,0,Fate1,ok,ok,ok,ok,all ok,46522748,276.098432,2.3,9564276,36958472,1,36958472,44183377,0.83647911294784
Serine,200908_Smp_GBTFate1T0_C,Serine_13C-0 15N-0,2.36,22507604,0,5935968,0,0,200908,Smp,GBTFate1T0,C,NA,0,Fate1,ok,ok,ok,ok,all ok,22507604,276.098432,2.3,9564276,12943328,1,12943328,13777181,0.9394757897134399
Serine,200908_Smp_GBTFate2T0_A,Serine_13C-0 15N-0,2.36,19625970,0,7620347,0,0,200908,Smp,GBTFate2T0,A,NA,0,Fate2,ok,ok,ok,ok,all ok,19625970,276.098432,2.3,9564276,10061694,1,10061694,12684519,0.7932262941937334
Serine,200908_Smp_GBTFate2T0_B,Serine_13C-0 15N-0,2.35,33049022,0,8571795,0,0,200908,Smp,GBTFate2T0,B,NA,0,Fate2,ok,ok,ok,ok,all ok,33049022,276.098432,2.3,9564276,23484746,1,23484746,26697252,0.8796690385961821
