type,SampID,Experiment,Timepoint,runDate,N.lab,C.lab,Precursor Ion Name,Protein Name,iso.mz,MID.mean,MID.sd,Area.filled.w.background.mean,Area.filled.w.background.sd
Smp,GBTFate1T0,Fate1,0,200908,0,0,Alanine_13C-0 15N-0,Alanine,260.103517,0.8550381926746687,0.01060056341154629,83612098,99194591.49641481
Smp,GBTFate1T0,Fate1,0,200908,0,0,Arginine_13C-0 15N-0,Arginine,345.167514,0.9710769754732229,0.04090333355061782,4439439,3510051.191752337
Smp,GBTFate1T0,Fate1,0,200908,0,0,Aspartic Acid_13C-0 15N-0,Aspartic Acid,304.093347,0.8347559748381089,0.006932637776277845,11744976.333333334,11119532.560227355
Smp,GBTFate1T0,Fate1,0,200908,0,0,Glutamic Acid_13C-0 15N-0,Glutamic Acid,318.108997,0.8139916782846229,0.018270077415552335,15766908.666666666,14527029.48699886
Smp,GBTFate1T0,Fate1,0,200908,0,0,Glycine_13C-0 15N-0,Glycine,246.087867,0.8698117847456951,NA,170319052,NA
Smp,GBTFate1T0,Fate1,0,200908,0,0,Isoleucine_13C-0 15N-0,Isoleucine,302.150467,0.8749166852777275,0.09735937175813311,52786887,61436911.06936666
Smp,GBTFate1T0,Fate1,0,200908,0,0,Leucine_13C-0 15N-0,Leucine,302.150467,0.8131487587679451,0.0027465479518157753,137869048,143320837.38462105
Smp,GBTFate1T0,Fate1,0,200908,0,0,Lysine_13C-0 15N-0,Lysine,244.1083,0.9887946561919314,0.018031317601870753,52194438,61313749.38648463
Smp,GBTFate1T0,Fate1,0,200908,0,0,Phenylalaine_13C-0 15N-0,Phenylalaine,336.134817,0.7603794666826578,0.001658289955912155,87976142,82772898.74350522
Smp,GBTFate1T0,Fate1,0,200908,0,0,Proline_13C-0 15N-0,Proline,286.119167,0.82907737105938,0.0013127832573730255,45206614,45473837.693994574
Smp,GBTFate1T0,Fate1,0,200908,0,0,Serine_13C-0 15N-0,Serine,276.098432,0.88797745133064,0.07282964858063459,24950900,16981271.17357143
Smp,GBTFate1T0,Fate1,0,200908,0,0,Threonine_13C-0 15N-0,Threonine,290.114082,0.8344318386051526,4.5448243313491295e-4,48593729,47248305.19081947
Smp,GBTFate1T0,Fate1,0,200908,0,0,Tyrosine_13C-0 15N-0,Tyrosine,352.129732,0.7510632247723237,6.604822256282714e-4,19711883.333333332,26327143.5731172
Smp,GBTFate1T0,Fate1,0,200908,0,0,Valine_13C-0 15N-0,Valine,288.134817,0.8164955596967137,0.0010618039337606069,68339604.66666667,77007292.69535163
Smp,GBTFate1T0,Fate1,0,200908,0,1,Alanine_13C-1 15N-0,Alanine,261.106871,0.11719707814405118,0.005494230652787664,11720014,14120772.607450308
Smp,GBTFate1T0,Fate1,0,200908,0,1,Arginine_13C-1 15N-0,Arginine,NA,0.01544196127098806,0.02183823105907139,113442.5,160431.92204950983
Smp,GBTFate1T0,Fate1,0,200908,0,1,Aspartic Acid_13C-1 15N-0,Aspartic Acid,305.096701,0.12433889915013807,0.009256326520303986,1675893.3333333333,1504414.152009457
Smp,GBTFate1T0,Fate1,0,200908,0,1,Glutamic Acid_13C-1 15N-0,Glutamic Acid,319.112351,0.13446561219404798,0.010903074480888945,2590035.6666666665,2438117.9260303085
Smp,GBTFate1T0,Fate1,0,200908,0,1,Glycine_13C-1 15N-0,Glycine,247.091221,0.1001018597554799,NA,19601084,NA
Smp,GBTFate1T0,Fate1,0,200908,0,1,Isoleucine_13C-1 15N-0,Isoleucine,303.153821,0.08756380664215233,0.07611581793308435,8052459.666666667,11350022.247933805
Smp,GBTFate1T0,Fate1,0,200908,0,1,Leucine_13C-1 15N-0,Leucine,303.153821,0.13777644818326115,0.003417612180506245,23098922,23782235.508732144
Smp,GBTFate1T0,Fate1,0,200908,0,1,Lysine_13C-1 15N-0,Lysine,245.11165400000002,0.01075672773407622,0.017255102081938388,1307449.3333333333,2241430.3173476825
Smp,GBTFate1T0,Fate1,0,200908,0,1,Phenylalaine_13C-1 15N-0,Phenylalaine,337.138171,0.15373864351338717,0.002024124175319989,17695474.5,16539982.094888873
Smp,GBTFate1T0,Fate1,0,200908,0,1,Proline_13C-1 15N-0,Proline,287.122521,0.13190973056259533,0.0026434667874233077,7270911,7390732.402863602
Smp,GBTFate1T0,Fate1,0,200908,0,1,Serine_13C-1 15N-0,Serine,277.101786,0.10390080641321692,0.061343770531898364,3670533,4011671.3281125114
Smp,GBTFate1T0,Fate1,0,200908,0,1,Threonine_13C-1 15N-0,Threonine,291.117436,0.12342609410228018,4.374250334147531e-4,7173526.5,6959414.9440093385
Smp,GBTFate1T0,Fate1,0,200908,0,1,Tyrosine_13C-1 15N-0,Tyrosine,353.133086,0.15540261570516303,0.01114025069548803,3873654.6666666665,5088809.298376619
Smp,GBTFate1T0,Fate1,0,200908,0,1,Valine_13C-1 15N-0,Valine,289.138171,0.13305286749682127,0.0031043751480719067,10989078,12229864.381802073
Smp,GBTFate1T0,Fate1,0,200908,0,2,Alanine_13C-2 15N-0,Alanine,262.110225,0.007857631297700366,0.0030739258161488255,923679.6666666666,1231947.2094916783
Smp,GBTFate1T0,Fate1,0,200908,0,2,Aspartic Acid_13C-2 15N-0,Aspartic Acid,306.100055,0.003971593168007271,0.004977147309537456,99687,155336.27750464474
Smp,GBTFate1T0,Fate1,0,200908,0,2,Glutamic Acid_13C-2 15N-0,Glutamic Acid,320.115705,0.0057545494915682265,0.007000583773940739,188868.33333333334,308223.2985910269
Smp,GBTFate1T0,Fate1,0,200908,0,2,Glycine_13C-2 15N-0,Glycine,248.094575,0.007997052796526077,NA,1565914,NA
Smp,GBTFate1T0,Fate1,0,200908,0,2,Isoleucine_13C-2 15N-0,Isoleucine,304.157175,0.013389502935171372,7.15514451058974e-4,891778,1106456.1442357306
Smp,GBTFate1T0,Fate1,0,200908,0,2,Leucine_13C-2 15N-0,Leucine,304.157175,0.012973005841480097,8.656031117936487e-4,2279973.5,2441009.683295111
Smp,GBTFate1T0,Fate1,0,200908,0,2,Phenylalaine_13C-2 15N-0,Phenylalaine,338.141525,0.016647824554817794,0.0010098122720823988,1983229.5,1933398.9382847245
Smp,GBTFate1T0,Fate1,0,200908,0,2,Proline_13C-2 15N-0,Proline,288.125875,0.013580757318264493,6.001306927849774e-4,724616.5,713311.6431914595
Smp,GBTFate1T0,Fate1,0,200908,0,2,Serine_13C-2 15N-0,Serine,NA,0.003139902592778275,0.0044404928312374815,138731.5,196195.96882836302
Smp,GBTFate1T0,Fate1,0,200908,0,2,Threonine_13C-2 15N-0,Threonine,NA,0.011642311962603711,0.0010279209940087287,648733,599011.36754656
Smp,GBTFate1T0,Fate1,0,200908,0,2,Tyrosine_13C-2 15N-0,Tyrosine,354.13644,0.01410636532977679,0.004167694507036482,448151.3333333333,631084.9253732285
Smp,GBTFate1T0,Fate1,0,200908,0,2,Valine_13C-2 15N-0,Valine,290.141525,0.012989507103114022,0.0023016914750571796,1129352.6666666667,1314086.242421453
Smp,GBTFate1T0,Fate1,0,200908,0,3,Isoleucine_13C-3 15N-0,Isoleucine,305.160529,7.324151932948823e-4,8.023696969355115e-4,44139,46459.002582922505
Smp,GBTFate1T0,Fate1,0,200908,0,3,Leucine_13C-3 15N-0,Leucine,305.160529,6.934213006139318e-4,6.740524383444657e-4,177372,237102.803226786
Smp,GBTFate1T0,Fate1,0,200908,0,3,Phenylalaine_13C-3 15N-0,Phenylalaine,339.144879,0.0012696935785002045,1.7351289735831083e-4,156521,158632.33529139007
Smp,GBTFate1T0,Fate1,0,200908,0,3,Tyrosine_13C-3 15N-0,Tyrosine,NA,3.4549907465628764e-4,5.984219512727228e-4,22978.666666666668,39800.21815685604
Smp,GBTFate1T0,Fate1,0,200908,0,3,Valine_13C-3 15N-0,Valine,291.144879,7.07694795421448e-4,6.314399707775157e-4,86480.66666666667,128435.1880301241
Smp,GBTFate1T0,Fate1,0,200908,1,0,Alanine_13C-0 15N-1,Alanine,261.100553,0.018636493069867796,0.0016978683061474678,1936952.6666666667,2399811.0980454967
Smp,GBTFate1T0,Fate1,0,200908,1,0,Arginine_13C-0 15N-1,Arginine,NA,0.013481063255789008,0.019065102491546408,99037,140059.46857674423
Smp,GBTFate1T0,Fate1,0,200908,1,0,Aspartic Acid_13C-0 15N-1,Aspartic Acid,305.090383,0.030847102111481787,0.0014799681392207783,438859,428096.5694373175
Smp,GBTFate1T0,Fate1,0,200908,1,0,Glutamic Acid_13C-0 15N-1,Glutamic Acid,319.10603299999997,0.04336540883673826,0.0020011787573123974,856711,827479.0851018532
Smp,GBTFate1T0,Fate1,0,200908,1,0,Glycine_13C-0 15N-1,Glycine,247.084903,0.012700849721267742,NA,2486971,NA
Smp,GBTFate1T0,Fate1,0,200908,1,0,Isoleucine_13C-0 15N-1,Isoleucine,303.147503,0.02066938170379858,0.01798377063944581,1908546,2696106.414322513
Smp,GBTFate1T0,Fate1,0,200908,1,0,Leucine_13C-0 15N-1,Leucine,303.147503,0.03374929540892034,0.00227822458329127,5933685,6354767.228309941
Smp,GBTFate1T0,Fate1,0,200908,1,0,Lysine_13C-0 15N-1,Lysine,245.10533600000002,4.486160739923982e-4,7.770258332469125e-4,57001,98728.62808223357
Smp,GBTFate1T0,Fate1,0,200908,1,0,Phenylalaine_13C-0 15N-1,Phenylalaine,337.131853,0.061672400249783245,0.0016741533810375386,7234187,6922971.3676137645
Smp,GBTFate1T0,Fate1,0,200908,1,0,Proline_13C-0 15N-1,Proline,287.116203,0.02144164145981417,5.295035165777549e-4,1184612.5,1206794.3947137392
Smp,GBTFate1T0,Fate1,0,200908,1,0,Serine_13C-0 15N-1,Serine,277.095468,0.004981839663364799,0.007045385217498713,220114.5,311288.91117497266
Smp,GBTFate1T0,Fate1,0,200908,1,0,Threonine_13C-0 15N-1,Threonine,291.111118,0.025885211041795093,0.0014417096388143278,1547839,1548822.6518804533
Smp,GBTFate1T0,Fate1,0,200908,1,0,Tyrosine_13C-0 15N-1,Tyrosine,353.12676799999997,0.07020710741745746,0.0038734350606411195,1892703.3333333333,2538633.539824985
Smp,GBTFate1T0,Fate1,0,200908,1,0,Valine_13C-0 15N-1,Valine,289.131853,0.03296688110175846,0.0017672856772134008,2856373.3333333335,3324686.7927554217
Smp,GBTFate1T0,Fate1,0,200908,1,1,Alanine_13C-1 15N-1,Alanine,262.103907,0.0012706048137118874,5.067014566575592e-4,158290.66666666666,218495.76058206102
Smp,GBTFate1T0,Fate1,0,200908,1,1,Aspartic Acid_13C-1 15N-1,Aspartic Acid,306.093737,0.0023045321671027207,0.0028581013113911785,57559.333333333336,89344.48475610194
Smp,GBTFate1T0,Fate1,0,200908,1,1,Glutamic Acid_13C-1 15N-1,Glutamic Acid,NA,0.0024227511930226017,0.002957204633624862,79676.33333333333,130113.96919752058
Smp,GBTFate1T0,Fate1,0,200908,1,1,Glycine_13C-1 15N-1,Glycine,248.088257,0.0012690273216848212,NA,248490,NA
Smp,GBTFate1T0,Fate1,0,200908,1,1,Isoleucine_13C-1 15N-1,Isoleucine,304.150857,0.0026204325089085128,0.0022827546561305966,222140.33333333334,298802.6490718135
Smp,GBTFate1T0,Fate1,0,200908,1,1,Leucine_13C-1 15N-1,Leucine,304.150857,0.0016590704977793077,0.002346279998892579,489234,691881.3579740388
