Protein Name,C.lab,N.lab,Precursor Ion Name,Experiment,n
Alanine,0,0,Alanine_13C-0 15N-0,Fate1,6
Alanine,0,0,Alanine_13C-0 15N-0,Fate2,6
Alanine,0,1,Alanine_13C-0 15N-1,Fate1,6
Alanine,0,1,Alanine_13C-0 15N-1,Fate2,6
Alanine,1,0,Alanine_13C-1 15N-0,Fate1,6
Alanine,1,0,Alanine_13C-1 15N-0,Fate2,6
Alanine,1,1,Alanine_13C-1 15N-1,Fate1,6
Alanine,1,1,Alanine_13C-1 15N-1,Fate2,6
Alanine,2,0,Alanine_13C-2 15N-0,Fate1,6
Alanine,2,0,Alanine_13C-2 15N-0,Fate2,6
Alanine,2,1,Alanine_13C-2 15N-1,Fate1,1
Alanine,2,1,Alanine_13C-2 15N-1,Fate2,3
Alanine,3,0,Alanine_13C-3 15N-0,Fate1,1
Alanine,3,0,Alanine_13C-3 15N-0,Fate2,3
Arginine,0,0,Arginine_13C-0 15N-0,Fate1,5
Arginine,0,0,Arginine_13C-0 15N-0,Fate2,5
Arginine,0,1,Arginine_13C-0 15N-1,Fate1,4
Arginine,0,1,Arginine_13C-0 15N-1,Fate2,5
Arginine,1,0,Arginine_13C-1 15N-0,Fate1,4
Arginine,1,0,Arginine_13C-1 15N-0,Fate2,4
Arginine,1,1,Arginine_13C-1 15N-1,Fate1,1
Arginine,1,1,Arginine_13C-1 15N-1,Fate2,1
Arginine,2,0,Arginine_13C-2 15N-0,Fate2,1
Arginine,3,0,Arginine_13C-3 15N-0,Fate1,1
Arginine,3,0,Arginine_13C-3 15N-0,Fate2,1
Aspartic Acid,0,0,Aspartic Acid_13C-0 15N-0,Fate1,6
Aspartic Acid,0,0,Aspartic Acid_13C-0 15N-0,Fate2,6
Aspartic Acid,0,1,Aspartic Acid_13C-0 15N-1,Fate1,6
Aspartic Acid,0,1,Aspartic Acid_13C-0 15N-1,Fate2,6
Aspartic Acid,1,0,Aspartic Acid_13C-1 15N-0,Fate1,6
Aspartic Acid,1,0,Aspartic Acid_13C-1 15N-0,Fate2,6
Aspartic Acid,1,1,Aspartic Acid_13C-1 15N-1,Fate1,4
Aspartic Acid,1,1,Aspartic Acid_13C-1 15N-1,Fate2,4
Aspartic Acid,2,0,Aspartic Acid_13C-2 15N-0,Fate1,4
Aspartic Acid,2,0,Aspartic Acid_13C-2 15N-0,Fate2,4
Aspartic Acid,2,1,Aspartic Acid_13C-2 15N-1,Fate1,2
Aspartic Acid,2,1,Aspartic Acid_13C-2 15N-1,Fate2,1
Aspartic Acid,3,0,Aspartic Acid_13C-3 15N-0,Fate1,1
Aspartic Acid,3,0,Aspartic Acid_13C-3 15N-0,Fate2,1
Glutamic Acid,0,0,Glutamic Acid_13C-0 15N-0,Fate1,6
Glutamic Acid,0,0,Glutamic Acid_13C-0 15N-0,Fate2,6
Glutamic Acid,0,1,Glutamic Acid_13C-0 15N-1,Fate1,6
Glutamic Acid,0,1,Glutamic Acid_13C-0 15N-1,Fate2,6
Glutamic Acid,1,0,Glutamic Acid_13C-1 15N-0,Fate1,6
Glutamic Acid,1,0,Glutamic Acid_13C-1 15N-0,Fate2,6
Glutamic Acid,1,1,Glutamic Acid_13C-1 15N-1,Fate1,5
Glutamic Acid,1,1,Glutamic Acid_13C-1 15N-1,Fate2,6
Glutamic Acid,2,0,Glutamic Acid_13C-2 15N-0,Fate1,5
Glutamic Acid,2,0,Glutamic Acid_13C-2 15N-0,Fate2,6
Glutamic Acid,3,1,Glutamic Acid_13C-3 15N-1,Fate2,1
Glycine,0,0,Glycine_13C-0 15N-0,Fate1,3
