SampID,type,replicate,runDate,BMIS.multiplier,FinalBMIS
QC2,Poo,1,200612,3.008494951515413,"Indole 3 Acetic Acid, D5 - IS.Norm.Area"
QC2,Poo,2,200612,2.416619142340375,"Indole 3 Acetic Acid, D5 - IS.Norm.Area"
QC2,Poo,3,200612,2.133602823022883,"Indole 3 Acetic Acid, D5 - IS.Norm.Area"
QC2,Poo,4,200612,2.0367146877910116,"Indole 3 Acetic Acid, D5 - IS.Norm.Area"
QC2,Poo,5,200612,1.9636451248914013,"Indole 3 Acetic Acid, D5 - IS.Norm.Area"
TruePooGBT,Poo,Full1,200612,1.2435692912842131,"Indole 3 Acetic Acid, D5 - IS.Norm.Area"
TruePooGBT,Poo,Full2,200612,1.0059283843858366,"Indole 3 Acetic Acid, D5 - IS.Norm.Area"
TruePooGBT,Poo,Full3,200612,0.9006258062523099,"Indole 3 Acetic Acid, D5 - IS.Norm.Area"
TruePooGBT,Poo,Full4,200612,0.8417941476210179,"Indole 3 Acetic Acid, D5 - IS.Norm.Area"
TruePooGBT,Poo,Full5,200612,0.8038720322819193,"Indole 3 Acetic Acid, D5 - IS.Norm.Area"
TruePooGBT,Poo,Half1,200612,2.558578528432533,"Indole 3 Acetic Acid, D5 - IS.Norm.Area"
TruePooGBT,Poo,Half2,200612,1.950203132408318,"Indole 3 Acetic Acid, D5 - IS.Norm.Area"
TruePooGBT,Poo,Half3,200612,1.7885694381155635,"Indole 3 Acetic Acid, D5 - IS.Norm.Area"
TruePooGBT,Poo,Half4,200612,1.6765346154692693,"Indole 3 Acetic Acid, D5 - IS.Norm.Area"
TruePooGBT,Poo,Half5,200612,1.6070939357342742,"Indole 3 Acetic Acid, D5 - IS.Norm.Area"
TruePooGBT-Full,Poo,DDApos20,200612,0.7317329837894915,"Indole 3 Acetic Acid, D5 - IS.Norm.Area"
TruePooGBT-Full,Poo,DDApos35,200612,0.7299316008619603,"Indole 3 Acetic Acid, D5 - IS.Norm.Area"
TruePooGBT-Full,Poo,DDApos50,200612,0.7259224445874156,"Indole 3 Acetic Acid, D5 - IS.Norm.Area"
250nMStdsInH2O,Std,1,200612,Inf,"Indole 3 Acetic Acid, D5 - IS.Norm.Area"
250nMStdsInH2O,Std,2,200612,2109.7397199680786,"Indole 3 Acetic Acid, D5 - IS.Norm.Area"
250nMStdsInMatrix,Std,1,200612,1.9724745466013476,"Indole 3 Acetic Acid, D5 - IS.Norm.Area"
250nMStdsInMatrix,Std,2,200612,1.0094001523199492,"Indole 3 Acetic Acid, D5 - IS.Norm.Area"
H2OinMatrix,Std,1,200612,2.6510916584264765,"Indole 3 Acetic Acid, D5 - IS.Norm.Area"
H2OinMatrix,Std,2,200612,1.046632217201334,"Indole 3 Acetic Acid, D5 - IS.Norm.Area"
GBTFate1MT0-IS,Smp,A,200612,0.897061709480438,"Indole 3 Acetic Acid, D5 - IS.Norm.Area"
GBTFate1MT0-IS,Smp,B,200612,0.9994528037949345,"Indole 3 Acetic Acid, D5 - IS.Norm.Area"
GBTFate1MT0-IS,Smp,C,200612,0.8440225611387031,"Indole 3 Acetic Acid, D5 - IS.Norm.Area"
GBTFate1MT12-IS,Smp,A,200612,0.912039232368205,"Indole 3 Acetic Acid, D5 - IS.Norm.Area"
GBTFate1MT12-IS,Smp,B,200612,0.9902620749555995,"Indole 3 Acetic Acid, D5 - IS.Norm.Area"
GBTFate1MT12-IS,Smp,C,200612,0.8500956530811913,"Indole 3 Acetic Acid, D5 - IS.Norm.Area"
GBTFate1MT36-IS,Smp,A,200612,1.0931863058557088,"Indole 3 Acetic Acid, D5 - IS.Norm.Area"
GBTFate1MT36-IS,Smp,B,200612,1.0516746960250876,"Indole 3 Acetic Acid, D5 - IS.Norm.Area"
GBTFate1MT36-IS,Smp,C,200612,0.9489781991410534,"Indole 3 Acetic Acid, D5 - IS.Norm.Area"
GBTFate1MT4-IS,Smp,A,200612,1.240241039680348,"Indole 3 Acetic Acid, D5 - IS.Norm.Area"
GBTFate1MT4-IS,Smp,B,200612,1.105627144692491,"Indole 3 Acetic Acid, D5 - IS.Norm.Area"
GBTFate1MT4-IS,Smp,C,200612,1.0124330112073072,"Indole 3 Acetic Acid, D5 - IS.Norm.Area"
GBTFate1MT50-IS,Smp,A,200612,0.9647326659277093,"Indole 3 Acetic Acid, D5 - IS.Norm.Area"
GBTFate1MT50-IS,Smp,B,200612,0.9670058506968139,"Indole 3 Acetic Acid, D5 - IS.Norm.Area"
GBTFate1MT50-IS,Smp,C,200612,0.884121840891975,"Indole 3 Acetic Acid, D5 - IS.Norm.Area"
GBTFate1MT8-IS,Smp,A,200612,0.8531092140414128,"Indole 3 Acetic Acid, D5 - IS.Norm.Area"
GBTFate1MT8-IS,Smp,B,200612,1.3472040737551985,"Indole 3 Acetic Acid, D5 - IS.Norm.Area"
GBTFate1MT8-IS,Smp,C,200612,0.9945742180129455,"Indole 3 Acetic Acid, D5 - IS.Norm.Area"
GBTFate1MTlong-IS,Smp,A,200612,1.0724114976057038,"Indole 3 Acetic Acid, D5 - IS.Norm.Area"
GBTFate1MTlong-IS,Smp,B,200612,1.1967782812490004,"Indole 3 Acetic Acid, D5 - IS.Norm.Area"
GBTFate1MTlong-IS,Smp,C,200612,1.0235461165912665,"Indole 3 Acetic Acid, D5 - IS.Norm.Area"
GBTFate2MT0-IS,Smp,A,200612,0.9548073657544006,"Indole 3 Acetic Acid, D5 - IS.Norm.Area"
GBTFate2MT0-IS,Smp,B,200612,1.1892446782770438,"Indole 3 Acetic Acid, D5 - IS.Norm.Area"
GBTFate2MT0-IS,Smp,C,200612,0.9275970622830411,"Indole 3 Acetic Acid, D5 - IS.Norm.Area"
GBTFate2MT12-IS,Smp,A,200612,0.9336942953347385,"Indole 3 Acetic Acid, D5 - IS.Norm.Area"
GBTFate2MT12-IS,Smp,B,200612,0.8719596816817687,"Indole 3 Acetic Acid, D5 - IS.Norm.Area"
GBTFate2MT12-IS,Smp,C,200612,1.159414935588692,"Indole 3 Acetic Acid, D5 - IS.Norm.Area"
GBTFate2MT24-IS,Smp,A,200612,1.195973727000204,"Indole 3 Acetic Acid, D5 - IS.Norm.Area"
GBTFate2MT24-IS,Smp,B,200612,0.9256389756640767,"Indole 3 Acetic Acid, D5 - IS.Norm.Area"
GBTFate2MT24-IS,Smp,C,200612,0.8613930917589337,"Indole 3 Acetic Acid, D5 - IS.Norm.Area"
GBTFate2MT48-IS,Smp,A,200612,0.8317896133636228,"Indole 3 Acetic Acid, D5 - IS.Norm.Area"
GBTFate2MT48-IS,Smp,B,200612,0.8741970746197211,"Indole 3 Acetic Acid, D5 - IS.Norm.Area"
GBTFate2MT48-IS,Smp,C,200612,1.2777830409230295,"Indole 3 Acetic Acid, D5 - IS.Norm.Area"
GBTFate2MT5-IS,Smp,A,200612,1.089319144007367,"Indole 3 Acetic Acid, D5 - IS.Norm.Area"
