"","MassFeature","Orig_RSD","del_RSD","percentChange","FinalBMIS","FinalRSD","Run.Cmpd","MIS","Adjusted_Area","SampID","type","runDate","replicate","OriginalArea"
"1","Alpha-Tocopherol, D6",0.644791769344901,0.269721966258496,0.418308637116335,"Tryptamine Hydrochloride, D4 - IS.Norm.Area",0.375069803086405,"200612_Poo_QC2_1 Alpha-Tocopherol, D6","Tryptamine Hydrochloride, D4 - IS.Norm.Area",4739.39726208647,"QC2","Poo","200612","1",2623
"2","Alpha-Tocopherol, D6",0.644791769344901,0.269721966258496,0.418308637116335,"Tryptamine Hydrochloride, D4 - IS.Norm.Area",0.375069803086405,"200612_Poo_QC2_2 Alpha-Tocopherol, D6","Tryptamine Hydrochloride, D4 - IS.Norm.Area",NA,"QC2","Poo","200612","2",NA
"3","Alpha-Tocopherol, D6",0.644791769344901,0.269721966258496,0.418308637116335,"Tryptamine Hydrochloride, D4 - IS.Norm.Area",0.375069803086405,"200612_Poo_QC2_3 Alpha-Tocopherol, D6","Tryptamine Hydrochloride, D4 - IS.Norm.Area",3763.4331890713,"QC2","Poo","200612","3",1701
"4","Alpha-Tocopherol, D6",0.644791769344901,0.269721966258496,0.418308637116335,"Tryptamine Hydrochloride, D4 - IS.Norm.Area",0.375069803086405,"200612_Poo_QC2_4 Alpha-Tocopherol, D6","Tryptamine Hydrochloride, D4 - IS.Norm.Area",2557.28768974403,"QC2","Poo","200612","4",1190
"5","Alpha-Tocopherol, D6",0.644791769344901,0.269721966258496,0.418308637116335,"Tryptamine Hydrochloride, D4 - IS.Norm.Area",0.375069803086405,"200612_Poo_QC2_5 Alpha-Tocopherol, D6","Tryptamine Hydrochloride, D4 - IS.Norm.Area",NA,"QC2","Poo","200612","5",NA
"6","Alpha-Tocopherol, D6",0.644791769344901,0.269721966258496,0.418308637116335,"Tryptamine Hydrochloride, D4 - IS.Norm.Area",0.375069803086405,"200612_Poo_TruePooGBT_Full1 Alpha-Tocopherol, D6","Tryptamine Hydrochloride, D4 - IS.Norm.Area",3896.57513433562,"TruePooGBT","Poo","200612","Full1",4851
"7","Alpha-Tocopherol, D6",0.644791769344901,0.269721966258496,0.418308637116335,"Tryptamine Hydrochloride, D4 - IS.Norm.Area",0.375069803086405,"200612_Poo_TruePooGBT_Full2 Alpha-Tocopherol, D6","Tryptamine Hydrochloride, D4 - IS.Norm.Area",1326.04901194574,"TruePooGBT","Poo","200612","Full2",1392
"8","Alpha-Tocopherol, D6",0.644791769344901,0.269721966258496,0.418308637116335,"Tryptamine Hydrochloride, D4 - IS.Norm.Area",0.375069803086405,"200612_Poo_TruePooGBT_Full3 Alpha-Tocopherol, D6","Tryptamine Hydrochloride, D4 - IS.Norm.Area",3287.37200414857,"TruePooGBT","Poo","200612","Full3",3246
"9","Alpha-Tocopherol, D6",0.644791769344901,0.269721966258496,0.418308637116335,"Tryptamine Hydrochloride, D4 - IS.Norm.Area",0.375069803086405,"200612_Poo_TruePooGBT_Full4 Alpha-Tocopherol, D6","Tryptamine Hydrochloride, D4 - IS.Norm.Area",1457.98467463068,"TruePooGBT","Poo","200612","Full4",1518
"10","Alpha-Tocopherol, D6",0.644791769344901,0.269721966258496,0.418308637116335,"Tryptamine Hydrochloride, D4 - IS.Norm.Area",0.375069803086405,"200612_Poo_TruePooGBT_Full5 Alpha-Tocopherol, D6","Tryptamine Hydrochloride, D4 - IS.Norm.Area",1436.29355072291,"TruePooGBT","Poo","200612","Full5",1497
