Protein Name,Replicate Name,Precursor Ion Name,Retention Time,Area,Background,Height,Fraction1,N.lab,C.lab,runDate,type,SampID,ionization,rep,Timepoint,Experiment,Blk.flag,ppm.flag,size.flag,RT.check,all.flags,rawArea
Butyrylcarnitine,200612_Blk_GBTFate1MBlk-pos_A,Butyrylcarnitine_13C-0 15N-0,1.36,NA,0,8056,CyanoAq,0,0,200612,Blk,GBTFate1MBlk,pos,A,NA,Fate1,comparable to blank,ok,ok,ok,something is wrong,24174
Butyrylcarnitine,200612_Blk_GBTFate1MBlk-pos_B,Butyrylcarnitine_13C-0 15N-0,1.34,NA,0,4488,CyanoAq,0,0,200612,Blk,GBTFate1MBlk,pos,B,NA,Fate1,comparable to blank,ok,ok,ok,something is wrong,16452
Butyrylcarnitine,200612_Smp_GBTFate1MT0-pos_A,Butyrylcarnitine_13C-0 15N-0,1.37,191349,0,53071,CyanoAq,0,0,200612,Smp,GBTFate1MT0,pos,A,0,Fate1,ok,ok,ok,ok,all ok,191349
Butyrylcarnitine,200612_Smp_GBTFate1MT0-pos_B,Butyrylcarnitine_13C-0 15N-0,1.37,230882,0,73715,CyanoAq,0,0,200612,Smp,GBTFate1MT0,pos,B,0,Fate1,ok,ok,ok,ok,all ok,230882
Butyrylcarnitine,200612_Smp_GBTFate1MT0-pos_C,Butyrylcarnitine_13C-0 15N-0,1.38,288319,0,67010,CyanoAq,0,0,200612,Smp,GBTFate1MT0,pos,C,0,Fate1,ok,ok,ok,ok,all ok,288319
Butyrylcarnitine,200612_Smp_GBTFate1MT12-pos_A,Butyrylcarnitine_13C-0 15N-0,1.37,189521,0,57546,CyanoAq,0,0,200612,Smp,GBTFate1MT12,pos,A,12,Fate1,ok,ok,ok,ok,all ok,189521
Butyrylcarnitine,200612_Smp_GBTFate1MT12-pos_B,Butyrylcarnitine_13C-0 15N-0,1.36,347409,0,104514,CyanoAq,0,0,200612,Smp,GBTFate1MT12,pos,B,12,Fate1,ok,ok,ok,ok,all ok,347409
Butyrylcarnitine,200612_Smp_GBTFate1MT12-pos_C,Butyrylcarnitine_13C-0 15N-0,1.37,146788,0,36416,CyanoAq,0,0,200612,Smp,GBTFate1MT12,pos,C,12,Fate1,ok,ok,ok,ok,all ok,146788
Butyrylcarnitine,200612_Smp_GBTFate1MT36-pos_A,Butyrylcarnitine_13C-0 15N-0,1.37,402066,0,124000,CyanoAq,0,0,200612,Smp,GBTFate1MT36,pos,A,36,Fate1,ok,ok,ok,ok,all ok,402066
Butyrylcarnitine,200612_Smp_GBTFate1MT36-pos_B,Butyrylcarnitine_13C-0 15N-0,1.37,232815,0,58023,CyanoAq,0,0,200612,Smp,GBTFate1MT36,pos,B,36,Fate1,ok,ok,ok,ok,all ok,232815
Butyrylcarnitine,200612_Smp_GBTFate1MT36-pos_C,Butyrylcarnitine_13C-0 15N-0,1.36,335343,0,87906,CyanoAq,0,0,200612,Smp,GBTFate1MT36,pos,C,36,Fate1,ok,ok,ok,ok,all ok,335343
Butyrylcarnitine,200612_Smp_GBTFate1MT4-pos_A,Butyrylcarnitine_13C-0 15N-0,1.37,214094,8100,61530,CyanoAq,0,0,200612,Smp,GBTFate1MT4,pos,A,4,Fate1,ok,ok,ok,ok,all ok,214094
