Protein Name,C.lab,N.lab,Precursor Ion Name,Experiment,n
Butyrylcarnitine,0,0,Butyrylcarnitine_13C-0 15N-0,Fate1,21
Butyrylcarnitine,0,0,Butyrylcarnitine_13C-0 15N-0,Fate2,17
Butyrylcarnitine,1,0,Butyrylcarnitine_13C-1 15N-0,Fate1,20
Butyrylcarnitine,1,0,Butyrylcarnitine_13C-1 15N-0,Fate2,10
Butyrylcarnitine,3,0,Butyrylcarnitine_13C-3 15N-0,Fate2,3
L-Phenylalanine,0,0,L-Phenylalanine_13C-0 15N-0,Fate1,21
L-Phenylalanine,0,0,L-Phenylalanine_13C-0 15N-0,Fate2,18
L-Phenylalanine,0,1,L-Phenylalanine_13C-0 15N-1,Fate1,20
L-Phenylalanine,0,1,L-Phenylalanine_13C-0 15N-1,Fate2,17
L-Phenylalanine,1,0,L-Phenylalanine_13C-1 15N-0,Fate1,21
L-Phenylalanine,1,0,L-Phenylalanine_13C-1 15N-0,Fate2,18
L-Phenylalanine,1,1,L-Phenylalanine_13C-1 15N-1,Fate1,2
L-Phenylalanine,1,1,L-Phenylalanine_13C-1 15N-1,Fate2,4
L-Phenylalanine,2,0,L-Phenylalanine_13C-2 15N-0,Fate1,21
L-Phenylalanine,2,0,L-Phenylalanine_13C-2 15N-0,Fate2,18
L-Phenylalanine,3,0,L-Phenylalanine_13C-3 15N-0,Fate1,2
L-Phenylalanine,3,0,L-Phenylalanine_13C-3 15N-0,Fate2,3
L-Phenylalanine,4,0,L-Phenylalanine_13C-4 15N-0,Fate2,9
L-Phenylalanine,5,0,L-Phenylalanine_13C-5 15N-0,Fate1,2
L-Phenylalanine,5,0,L-Phenylalanine_13C-5 15N-0,Fate2,6
L-Tryptophan,0,0,L-Tryptophan_13C-0 15N-0,Fate1,21
L-Tryptophan,0,0,L-Tryptophan_13C-0 15N-0,Fate2,18
L-Tryptophan,0,1,L-Tryptophan_13C-0 15N-1,Fate1,11
L-Tryptophan,0,1,L-Tryptophan_13C-0 15N-1,Fate2,6
L-Tryptophan,1,0,L-Tryptophan_13C-1 15N-0,Fate1,21
L-Tryptophan,1,0,L-Tryptophan_13C-1 15N-0,Fate2,18
L-Tryptophan,1,1,L-Tryptophan_13C-1 15N-1,Fate1,2
L-Tryptophan,1,1,L-Tryptophan_13C-1 15N-1,Fate2,1
L-Tryptophan,2,0,L-Tryptophan_13C-2 15N-0,Fate1,14
L-Tryptophan,2,0,L-Tryptophan_13C-2 15N-0,Fate2,8
L-Tryptophan,3,1,L-Tryptophan_13C-3 15N-1,Fate1,5
L-Tryptophan,3,1,L-Tryptophan_13C-3 15N-1,Fate2,3
Methylthioadenosine,0,0,Methylthioadenosine_13C-0 15N-0,Fate1,21
Methylthioadenosine,0,0,Methylthioadenosine_13C-0 15N-0,Fate2,18
Methylthioadenosine,1,0,Methylthioadenosine_13C-1 15N-0,Fate1,21
Methylthioadenosine,1,0,Methylthioadenosine_13C-1 15N-0,Fate2,18
Methylthioadenosine,2,1,Methylthioadenosine_13C-2 15N-1,Fate1,1
Methylthioadenosine,2,1,Methylthioadenosine_13C-2 15N-1,Fate2,1
Methylthioadenosine,4,1,Methylthioadenosine_13C-4 15N-1,Fate1,3
Methylthioadenosine,5,1,Methylthioadenosine_13C-5 15N-1,Fate1,5
Xanthine,0,0,Xanthine_13C-0 15N-0,Fate1,21
Xanthine,0,0,Xanthine_13C-0 15N-0,Fate2,18
Xanthine,0,1,Xanthine_13C-0 15N-1,Fate1,2
Xanthine,0,1,Xanthine_13C-0 15N-1,Fate2,14
Xanthine,3,1,Xanthine_13C-3 15N-1,Fate1,2
Xanthine,3,1,Xanthine_13C-3 15N-1,Fate2,1
Xanthine,4,1,Xanthine_13C-4 15N-1,Fate1,1
Xanthine,5,1,Xanthine_13C-5 15N-1,Fate1,2
Xanthine,5,1,Xanthine_13C-5 15N-1,Fate2,4
