MassFeature,Protein Name,Experiment,Timepoint,type,replicate,Concentration_uM.in.vial,Time of day,Vol Filtered (L),Incubation time (hr),Time since last sample (hr),nM.in.sample
Butyrylcarnitine_13C-0 15N-0,Butyrylcarnitine,Fate1,0,Smp,A,3.087559438912063e-4,900,2,0.5,0,7.632035258398766e-5
Butyrylcarnitine_13C-0 15N-0,Butyrylcarnitine,Fate1,0,Smp,B,3.4018622777939775e-4,900,2,0.5,0,8.408949969069673e-5
Butyrylcarnitine_13C-0 15N-0,Butyrylcarnitine,Fate1,0,Smp,C,3.8313068449694017e-4,900,1.95,0.5,0,9.713312492155588e-5
Butyrylcarnitine_13C-0 15N-0,Butyrylcarnitine,Fate1,12,Smp,A,2.6481477592687927e-4,1930,2,12.5,3.5,6.545868174544553e-5
Butyrylcarnitine_13C-0 15N-0,Butyrylcarnitine,Fate1,12,Smp,B,4.5934145277614285e-4,1930,2,12.5,3.5,1.1354308257355884e-4
Butyrylcarnitine_13C-0 15N-0,Butyrylcarnitine,Fate1,12,Smp,C,1.6439424909063505e-4,1930,2,12.5,3.5,4.063606645188377e-5
Butyrylcarnitine_13C-0 15N-0,Butyrylcarnitine,Fate1,36,Smp,A,5.107643140235645e-4,1900,2,36,23.5,1.262541282357715e-4
Butyrylcarnitine_13C-0 15N-0,Butyrylcarnitine,Fate1,36,Smp,B,2.593437259815318e-4,1900,2,36,23.5,6.410631114628824e-5
Butyrylcarnitine_13C-0 15N-0,Butyrylcarnitine,Fate1,36,Smp,C,4.3408376843192826e-4,1900,2,36,23.5,1.0729971977279359e-4
Butyrylcarnitine_13C-0 15N-0,Butyrylcarnitine,Fate1,4,Smp,A,3.117701612370547e-4,1200,2,4.5,4.25,7.706542692231676e-5
Butyrylcarnitine_13C-0 15N-0,Butyrylcarnitine,Fate1,4,Smp,B,3.2440692217656787e-4,1200,2,4.5,4.25,8.018906573641856e-5
Butyrylcarnitine_13C-0 15N-0,Butyrylcarnitine,Fate1,4,Smp,C,0.00028969418388117483,1200,2,4.5,4.25,7.1608539666308e-5
Butyrylcarnitine_13C-0 15N-0,Butyrylcarnitine,Fate1,50,Smp,A,5.186068130302658e-4,900,2,50,14,1.2819268942357466e-4
Butyrylcarnitine_13C-0 15N-0,Butyrylcarnitine,Fate1,50,Smp,B,4.881570846064913e-4,900,2,50,14,1.2066592255359657e-4
Butyrylcarnitine_13C-0 15N-0,Butyrylcarnitine,Fate1,50,Smp,C,4.1243536458719627e-4,900,2,50,14,1.0194852298776043e-4
Butyrylcarnitine_13C-0 15N-0,Butyrylcarnitine,Fate1,8,Smp,A,1.836329213475938e-4,1600,2,9,4.5,4.539160971817389e-5
Butyrylcarnitine_13C-0 15N-0,Butyrylcarnitine,Fate1,8,Smp,B,4.4820991741404814e-4,1600,2,9,4.5,1.1079151545252051e-4
Butyrylcarnitine_13C-0 15N-0,Butyrylcarnitine,Fate1,8,Smp,C,3.3879241663735274e-4,1600,2,9,4.5,8.374496816053178e-5
Butyrylcarnitine_13C-0 15N-0,Butyrylcarnitine,Fate1,96,Smp,A,0.0021102023400400827,800,1.9,98,48,0.00054906724465969255
Butyrylcarnitine_13C-0 15N-0,Butyrylcarnitine,Fate1,96,Smp,B,0.002077201817096862,800,1.8,98,48,5.705073257356848e-4
Butyrylcarnitine_13C-0 15N-0,Butyrylcarnitine,Fate1,96,Smp,C,0.0025316763244364777,800,2,98,48,6.257966317163715e-4
Butyrylcarnitine_13C-0 15N-0,Butyrylcarnitine,Fate2,0,Smp,A,1.8648740257494456e-4,700,2,0.3,0,4.60971994178253e-5
Butyrylcarnitine_13C-0 15N-0,Butyrylcarnitine,Fate2,0,Smp,B,1.892077820713184e-4,700,2,0.3,0,4.676964095760229e-5
Butyrylcarnitine_13C-0 15N-0,Butyrylcarnitine,Fate2,0,Smp,C,1.371650963662326e-4,700,2,0.3,0,3.3905382953781155e-5
Butyrylcarnitine_13C-0 15N-0,Butyrylcarnitine,Fate2,12,Smp,A,1.2389755449542664e-4,1900,2,13,7,3.0625823503876194e-5
Butyrylcarnitine_13C-0 15N-0,Butyrylcarnitine,Fate2,12,Smp,B,1.1074382732588587e-4,1900,2,13,7,2.7374397530594644e-5
Butyrylcarnitine_13C-0 15N-0,Butyrylcarnitine,Fate2,12,Smp,C,1.6059010634486998e-4,1900,2,13,7,3.9695733087033927e-5
Butyrylcarnitine_13C-0 15N-0,Butyrylcarnitine,Fate2,24,Smp,A,2.1516281226743717e-4,700,2,25,12,5.318537835501357e-5
Butyrylcarnitine_13C-0 15N-0,Butyrylcarnitine,Fate2,24,Smp,B,2.0050603100354235e-4,700,2,25,12,4.956241745032896e-5
Butyrylcarnitine_13C-0 15N-0,Butyrylcarnitine,Fate2,24,Smp,C,1.9636835887453606e-4,700,2,25,12,4.853964006900032e-5
Butyrylcarnitine_13C-0 15N-0,Butyrylcarnitine,Fate2,48,Smp,A,3.7560699409115554e-4,900,2,51,26,9.28450408460791e-5
Butyrylcarnitine_13C-0 15N-0,Butyrylcarnitine,Fate2,48,Smp,B,1.9810474831320884e-4,900,2,51,26,4.896885238638105e-5
Butyrylcarnitine_13C-0 15N-0,Butyrylcarnitine,Fate2,48,Smp,C,3.625446426691442e-4,900,2,51,26,8.961620173924353e-5
Butyrylcarnitine_13C-0 15N-0,Butyrylcarnitine,Fate2,5,Smp,A,1.3646834010699738e-4,1300,2,6,5.75,3.3733154096581656e-5
Butyrylcarnitine_13C-0 15N-0,Butyrylcarnitine,Fate2,5,Smp,B,7.048684254145382e-5,1300,2,6,5.75,1.7423407651680166e-5
Butyrylcarnitine_13C-0 15N-0,Butyrylcarnitine,Fate2,5,Smp,C,7.381614273008619e-5,1300,2,6,5.75,1.8246366267640906e-5
Butyrylcarnitine_13C-0 15N-0,Butyrylcarnitine,Fate2,96,Smp,A,4.940765198596223e-4,1000,2,100,49,1.221291280223672e-4
Butyrylcarnitine_13C-0 15N-0,Butyrylcarnitine,Fate2,96,Smp,B,4.3277625396970264e-4,1000,2,100,49,1.0697651963125757e-4
Butyrylcarnitine_13C-0 15N-0,Butyrylcarnitine,Fate2,96,Smp,C,2.7220573897298217e-4,1000,2,100,49,6.728562926426822e-5
L-Phenylalanine_13C-0 15N-0,L-Phenylalanine,Fate1,0,Smp,A,0.1966264475460772,900,2,0.5,0,0.048603436147423004
L-Phenylalanine_13C-0 15N-0,L-Phenylalanine,Fate1,0,Smp,B,0.1535741230117056,900,2,0.5,0,0.037961475553520134
L-Phenylalanine_13C-0 15N-0,L-Phenylalanine,Fate1,0,Smp,C,0.19811425485111003,900,1.95,0.5,0,0.050226874129021944
L-Phenylalanine_13C-0 15N-0,L-Phenylalanine,Fate1,12,Smp,A,0.2968591063077462,1930,2,12.5,3.5,0.07337961295785743
L-Phenylalanine_13C-0 15N-0,L-Phenylalanine,Fate1,12,Smp,B,0.16190383864162491,1930,2,12.5,3.5,0.04002047019436112
L-Phenylalanine_13C-0 15N-0,L-Phenylalanine,Fate1,12,Smp,C,0.1894644417421448,1930,2,12.5,3.5,0.046833083806101634
L-Phenylalanine_13C-0 15N-0,L-Phenylalanine,Fate1,36,Smp,A,0.4538926538465304,1900,2,36,23.5,0.11219621212881102
L-Phenylalanine_13C-0 15N-0,L-Phenylalanine,Fate1,36,Smp,B,0.36591396508049356,1900,2,36,23.5,0.09044905331503027
L-Phenylalanine_13C-0 15N-0,L-Phenylalanine,Fate1,36,Smp,C,0.5585889691751945,1900,2,36,23.5,0.13807574532718575
L-Phenylalanine_13C-0 15N-0,L-Phenylalanine,Fate1,4,Smp,A,0.1287899203035927,1200,2,4.5,4.25,0.03183515110011074
L-Phenylalanine_13C-0 15N-0,L-Phenylalanine,Fate1,4,Smp,B,0.2574765863689223,1200,2,4.5,4.25,0.06364477912924602
L-Phenylalanine_13C-0 15N-0,L-Phenylalanine,Fate1,4,Smp,C,0.14217282711706397,1200,2,4.5,4.25,0.03514322722564332
L-Phenylalanine_13C-0 15N-0,L-Phenylalanine,Fate1,50,Smp,A,0.3972326825278098,900,2,50,14,0.09819062268510755
L-Phenylalanine_13C-0 15N-0,L-Phenylalanine,Fate1,50,Smp,B,0.31528235326108317,900,2,50,14,0.07793359396142963
L-Phenylalanine_13C-0 15N-0,L-Phenylalanine,Fate1,50,Smp,C,0.2159555255794408,900,2,50,14,0.05338132651623004
L-Phenylalanine_13C-0 15N-0,L-Phenylalanine,Fate1,8,Smp,A,0.16475570545108711,1600,2,9,4.5,0.04072541364476939
L-Phenylalanine_13C-0 15N-0,L-Phenylalanine,Fate1,8,Smp,B,0.4411888300132156,1600,2,9,4.5,0.1090559962615334
L-Phenylalanine_13C-0 15N-0,L-Phenylalanine,Fate1,8,Smp,C,0.3213271730822522,1600,2,9,4.5,0.07942779282362498
L-Phenylalanine_13C-0 15N-0,L-Phenylalanine,Fate1,96,Smp,A,0.3327000709904421,800,1.9,98,48,0.0865673911030429
L-Phenylalanine_13C-0 15N-0,L-Phenylalanine,Fate1,96,Smp,B,0.5123276698335743,800,1.8,98,48,0.14071174327473535
