MassFeature,Protein Name,Experiment,Timepoint,type,replicate,Concentration_uM.in.vial,Time of day,Vol Filtered (L),Incubation time (hr),Time since last sample (hr),nM.in.sample
"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0","(R)-2,3-Dihydroxypropane-1-sulfonate",Fate1,0,Smp,A,1.2508089668041442,900,2,0.5,0,0.3091832991410937
"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0","(R)-2,3-Dihydroxypropane-1-sulfonate",Fate1,0,Smp,B,1.2340864395837101,900,2,0.5,0,0.30504971337923203
"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0","(R)-2,3-Dihydroxypropane-1-sulfonate",Fate1,0,Smp,C,2.0093028043972305,900,1.95,0.5,0,0.5094080641466019
"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0","(R)-2,3-Dihydroxypropane-1-sulfonate",Fate1,12,Smp,A,1.8442872675085806,1930,2,12.5,3.5,0.4558832220312211
"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0","(R)-2,3-Dihydroxypropane-1-sulfonate",Fate1,12,Smp,B,0.7772698593425454,1930,2,12.5,3.5,0.19213074563135268
"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0","(R)-2,3-Dihydroxypropane-1-sulfonate",Fate1,12,Smp,C,1.4250880553154008,1930,2,12.5,3.5,0.35226276609989626
"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0","(R)-2,3-Dihydroxypropane-1-sulfonate",Fate1,36,Smp,A,2.166156079023438,1900,2,36,23.5,0.5354449006535402
"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0","(R)-2,3-Dihydroxypropane-1-sulfonate",Fate1,36,Smp,B,1.603397865882471,1900,2,36,23.5,0.3963385738079351
"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0","(R)-2,3-Dihydroxypropane-1-sulfonate",Fate1,36,Smp,C,2.2116039151990314,1900,2,36,23.5,0.5466789997849979
"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0","(R)-2,3-Dihydroxypropane-1-sulfonate",Fate1,4,Smp,A,0.7691238186443852,1200,2,4.5,4.25,0.19011715298464346
"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0","(R)-2,3-Dihydroxypropane-1-sulfonate",Fate1,4,Smp,B,1.4989849665701682,1200,2,4.5,4.25,0.3705290972699246
"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0","(R)-2,3-Dihydroxypropane-1-sulfonate",Fate1,4,Smp,C,1.5833436103767355,1200,2,4.5,4.25,0.39138142923699065
"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0","(R)-2,3-Dihydroxypropane-1-sulfonate",Fate1,50,Smp,A,2.524167513312227,900,2,50,14,0.6239405537239384
"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0","(R)-2,3-Dihydroxypropane-1-sulfonate",Fate1,50,Smp,B,2.164357860372657,900,2,50,14,0.5350004049793158
"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0","(R)-2,3-Dihydroxypropane-1-sulfonate",Fate1,50,Smp,C,2.795110435438649,900,2,50,14,0.6909140315012948
"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0","(R)-2,3-Dihydroxypropane-1-sulfonate",Fate1,8,Smp,A,1.8302904157570483,1600,2,9,4.5,0.45242338690293227
"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0","(R)-2,3-Dihydroxypropane-1-sulfonate",Fate1,8,Smp,B,1.627687595059531,1600,2,9,4.5,0.40234267099744864
"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0","(R)-2,3-Dihydroxypropane-1-sulfonate",Fate1,8,Smp,C,1.568740902704212,1600,2,9,4.5,0.3877718346031118
"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0","(R)-2,3-Dihydroxypropane-1-sulfonate",Fate1,96,Smp,A,2.9661345137248585,800,1.9,98,48,0.7717777929816865
"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0","(R)-2,3-Dihydroxypropane-1-sulfonate",Fate1,96,Smp,B,2.842386987225002,800,1.8,98,48,0.7806668497209528
"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0","(R)-2,3-Dihydroxypropane-1-sulfonate",Fate1,96,Smp,C,5.371656436719583,800,2,98,48,1.3278018490712582
"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0","(R)-2,3-Dihydroxypropane-1-sulfonate",Fate2,0,Smp,A,0.7915207434433273,700,2,0.3,0,0.19565337416927794
"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0","(R)-2,3-Dihydroxypropane-1-sulfonate",Fate2,0,Smp,B,0.9443218227075622,700,2,0.3,0,0.23342376361567327
"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0","(R)-2,3-Dihydroxypropane-1-sulfonate",Fate2,0,Smp,C,0.5438363286269287,700,2,0.3,0,0.1344290892855284
"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0","(R)-2,3-Dihydroxypropane-1-sulfonate",Fate2,12,Smp,A,0.9681065253211386,1900,2,13,7,0.23930302497238118
"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0","(R)-2,3-Dihydroxypropane-1-sulfonate",Fate2,12,Smp,B,1.0069097458904464,1900,2,13,7,0.24889466372083982
"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0","(R)-2,3-Dihydroxypropane-1-sulfonate",Fate2,12,Smp,C,1.281548094585041,1900,2,13,7,0.3167816016734944
"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0","(R)-2,3-Dihydroxypropane-1-sulfonate",Fate2,24,Smp,A,1.3189458219541808,700,2,25,12,0.32602582124278073
