MassFeature,Protein Name,Experiment,Timepoint,type,replicate,Concentration_uM.in.vial,Time of day,Vol Filtered (L),Incubation time (hr),Time since last sample (hr),nM.in.sample
(3-Carboxypropyl)trimethylammonium_13C-0 15N-0,(3-Carboxypropyl)trimethylammonium,Fate1,0,Smp,A,0.03091898687684418,900,2,0.5,0,0.007642761302797523
(3-Carboxypropyl)trimethylammonium_13C-0 15N-0,(3-Carboxypropyl)trimethylammonium,Fate1,0,Smp,B,0.029293551624538484,900,2,0.5,0,0.007240975380897587
(3-Carboxypropyl)trimethylammonium_13C-0 15N-0,(3-Carboxypropyl)trimethylammonium,Fate1,0,Smp,C,0.04211177242693726,900,1.95,0.5,0,0.0106763781062973
(3-Carboxypropyl)trimethylammonium_13C-0 15N-0,(3-Carboxypropyl)trimethylammonium,Fate1,12,Smp,A,0.022124420384140763,1930,2,12.5,3.5,0.005468861726687808
(3-Carboxypropyl)trimethylammonium_13C-0 15N-0,(3-Carboxypropyl)trimethylammonium,Fate1,12,Smp,B,0.01474753176543515,1930,2,12.5,3.5,0.003645393218658697
(3-Carboxypropyl)trimethylammonium_13C-0 15N-0,(3-Carboxypropyl)trimethylammonium,Fate1,12,Smp,C,0.020651916981707555,1930,2,12.5,3.5,0.005104878518985018
(3-Carboxypropyl)trimethylammonium_13C-0 15N-0,(3-Carboxypropyl)trimethylammonium,Fate1,36,Smp,A,0.023836358733426072,1900,2,36,23.5,0.0058920300607864795
(3-Carboxypropyl)trimethylammonium_13C-0 15N-0,(3-Carboxypropyl)trimethylammonium,Fate1,36,Smp,B,0.03594407269371341,1900,2,36,23.5,0.008884895515583373
(3-Carboxypropyl)trimethylammonium_13C-0 15N-0,(3-Carboxypropyl)trimethylammonium,Fate1,36,Smp,C,0.03128732195882693,1900,2,36,23.5,0.007733808823929232
(3-Carboxypropyl)trimethylammonium_13C-0 15N-0,(3-Carboxypropyl)trimethylammonium,Fate1,4,Smp,A,0.026192342542879967,1200,2,4.5,4.25,0.0064743978453660235
(3-Carboxypropyl)trimethylammonium_13C-0 15N-0,(3-Carboxypropyl)trimethylammonium,Fate1,4,Smp,B,0.03475162072760873,1200,2,4.5,4.25,0.008590137288921842
(3-Carboxypropyl)trimethylammonium_13C-0 15N-0,(3-Carboxypropyl)trimethylammonium,Fate1,4,Smp,C,0.02860067304622397,1200,2,4.5,4.25,0.007069705034719283
(3-Carboxypropyl)trimethylammonium_13C-0 15N-0,(3-Carboxypropyl)trimethylammonium,Fate1,50,Smp,A,0.029540605864489995,900,2,50,14,0.007302043894957066
(3-Carboxypropyl)trimethylammonium_13C-0 15N-0,(3-Carboxypropyl)trimethylammonium,Fate1,50,Smp,B,0.017518682938776318,900,2,50,14,0.004330384840026322
(3-Carboxypropyl)trimethylammonium_13C-0 15N-0,(3-Carboxypropyl)trimethylammonium,Fate1,50,Smp,C,0.022448601019012745,900,2,50,14,0.005548994857219698
(3-Carboxypropyl)trimethylammonium_13C-0 15N-0,(3-Carboxypropyl)trimethylammonium,Fate1,8,Smp,A,0.017074393829336006,1600,2,9,4.5,0.00422056249602747
(3-Carboxypropyl)trimethylammonium_13C-0 15N-0,(3-Carboxypropyl)trimethylammonium,Fate1,8,Smp,B,0.02674297521740485,1600,2,9,4.5,0.0066105069007395805
