MassFeature,Protein Name,Experiment,Timepoint,type,replicate,Concentration_uM.in.vial
Butyrylcarnitine_13C-0 15N-0,Butyrylcarnitine,Fate1,0,Smp,A,3.087559438912063e-4
Butyrylcarnitine_13C-0 15N-0,Butyrylcarnitine,Fate1,0,Smp,B,3.4018622777939775e-4
Butyrylcarnitine_13C-0 15N-0,Butyrylcarnitine,Fate1,0,Smp,C,3.8313068449694017e-4
Butyrylcarnitine_13C-0 15N-0,Butyrylcarnitine,Fate1,12,Smp,A,2.6481477592687927e-4
Butyrylcarnitine_13C-0 15N-0,Butyrylcarnitine,Fate1,12,Smp,B,4.5934145277614285e-4
Butyrylcarnitine_13C-0 15N-0,Butyrylcarnitine,Fate1,12,Smp,C,1.6439424909063505e-4
Butyrylcarnitine_13C-0 15N-0,Butyrylcarnitine,Fate1,36,Smp,A,5.107643140235645e-4
Butyrylcarnitine_13C-0 15N-0,Butyrylcarnitine,Fate1,36,Smp,B,2.593437259815318e-4
Butyrylcarnitine_13C-0 15N-0,Butyrylcarnitine,Fate1,36,Smp,C,4.3408376843192826e-4
Butyrylcarnitine_13C-0 15N-0,Butyrylcarnitine,Fate1,4,Smp,A,3.117701612370547e-4
Butyrylcarnitine_13C-0 15N-0,Butyrylcarnitine,Fate1,4,Smp,B,3.2440692217656787e-4
Butyrylcarnitine_13C-0 15N-0,Butyrylcarnitine,Fate1,4,Smp,C,0.00028969418388117483
Butyrylcarnitine_13C-0 15N-0,Butyrylcarnitine,Fate1,50,Smp,A,5.186068130302658e-4
Butyrylcarnitine_13C-0 15N-0,Butyrylcarnitine,Fate1,50,Smp,B,4.881570846064913e-4
Butyrylcarnitine_13C-0 15N-0,Butyrylcarnitine,Fate1,50,Smp,C,4.1243536458719627e-4
Butyrylcarnitine_13C-0 15N-0,Butyrylcarnitine,Fate1,8,Smp,A,1.836329213475938e-4
Butyrylcarnitine_13C-0 15N-0,Butyrylcarnitine,Fate1,8,Smp,B,4.4820991741404814e-4
Butyrylcarnitine_13C-0 15N-0,Butyrylcarnitine,Fate1,8,Smp,C,3.3879241663735274e-4
Butyrylcarnitine_13C-0 15N-0,Butyrylcarnitine,Fate1,96,Smp,A,0.0021102023400400827
Butyrylcarnitine_13C-0 15N-0,Butyrylcarnitine,Fate1,96,Smp,B,0.002077201817096862
Butyrylcarnitine_13C-0 15N-0,Butyrylcarnitine,Fate1,96,Smp,C,0.0025316763244364777
Butyrylcarnitine_13C-0 15N-0,Butyrylcarnitine,Fate2,0,Smp,A,1.8648740257494456e-4
Butyrylcarnitine_13C-0 15N-0,Butyrylcarnitine,Fate2,0,Smp,B,1.892077820713184e-4
Butyrylcarnitine_13C-0 15N-0,Butyrylcarnitine,Fate2,0,Smp,C,1.371650963662326e-4
Butyrylcarnitine_13C-0 15N-0,Butyrylcarnitine,Fate2,12,Smp,A,1.2389755449542664e-4
Butyrylcarnitine_13C-0 15N-0,Butyrylcarnitine,Fate2,12,Smp,B,1.1074382732588587e-4
Butyrylcarnitine_13C-0 15N-0,Butyrylcarnitine,Fate2,12,Smp,C,1.6059010634486998e-4
Butyrylcarnitine_13C-0 15N-0,Butyrylcarnitine,Fate2,24,Smp,A,2.1516281226743717e-4
Butyrylcarnitine_13C-0 15N-0,Butyrylcarnitine,Fate2,24,Smp,B,2.0050603100354235e-4
Butyrylcarnitine_13C-0 15N-0,Butyrylcarnitine,Fate2,24,Smp,C,1.9636835887453606e-4
Butyrylcarnitine_13C-0 15N-0,Butyrylcarnitine,Fate2,48,Smp,A,3.7560699409115554e-4
Butyrylcarnitine_13C-0 15N-0,Butyrylcarnitine,Fate2,48,Smp,B,1.9810474831320884e-4
Butyrylcarnitine_13C-0 15N-0,Butyrylcarnitine,Fate2,48,Smp,C,3.625446426691442e-4
Butyrylcarnitine_13C-0 15N-0,Butyrylcarnitine,Fate2,5,Smp,A,1.3646834010699738e-4
Butyrylcarnitine_13C-0 15N-0,Butyrylcarnitine,Fate2,5,Smp,B,7.048684254145382e-5
Butyrylcarnitine_13C-0 15N-0,Butyrylcarnitine,Fate2,5,Smp,C,7.381614273008619e-5
Butyrylcarnitine_13C-0 15N-0,Butyrylcarnitine,Fate2,96,Smp,A,4.940765198596223e-4
Butyrylcarnitine_13C-0 15N-0,Butyrylcarnitine,Fate2,96,Smp,B,4.3277625396970264e-4
Butyrylcarnitine_13C-0 15N-0,Butyrylcarnitine,Fate2,96,Smp,C,2.7220573897298217e-4
L-Phenylalanine_13C-0 15N-0,L-Phenylalanine,Fate1,0,Smp,A,0.1966264475460772
L-Phenylalanine_13C-0 15N-0,L-Phenylalanine,Fate1,0,Smp,B,0.1535741230117056
L-Phenylalanine_13C-0 15N-0,L-Phenylalanine,Fate1,0,Smp,C,0.19811425485111003
L-Phenylalanine_13C-0 15N-0,L-Phenylalanine,Fate1,12,Smp,A,0.2968591063077462
L-Phenylalanine_13C-0 15N-0,L-Phenylalanine,Fate1,12,Smp,B,0.16190383864162491
L-Phenylalanine_13C-0 15N-0,L-Phenylalanine,Fate1,12,Smp,C,0.1894644417421448
L-Phenylalanine_13C-0 15N-0,L-Phenylalanine,Fate1,36,Smp,A,0.4538926538465304
L-Phenylalanine_13C-0 15N-0,L-Phenylalanine,Fate1,36,Smp,B,0.36591396508049356
L-Phenylalanine_13C-0 15N-0,L-Phenylalanine,Fate1,36,Smp,C,0.5585889691751945
L-Phenylalanine_13C-0 15N-0,L-Phenylalanine,Fate1,4,Smp,A,0.1287899203035927
L-Phenylalanine_13C-0 15N-0,L-Phenylalanine,Fate1,4,Smp,B,0.2574765863689223
L-Phenylalanine_13C-0 15N-0,L-Phenylalanine,Fate1,4,Smp,C,0.14217282711706397
L-Phenylalanine_13C-0 15N-0,L-Phenylalanine,Fate1,50,Smp,A,0.3972326825278098
L-Phenylalanine_13C-0 15N-0,L-Phenylalanine,Fate1,50,Smp,B,0.31528235326108317
L-Phenylalanine_13C-0 15N-0,L-Phenylalanine,Fate1,50,Smp,C,0.2159555255794408
L-Phenylalanine_13C-0 15N-0,L-Phenylalanine,Fate1,8,Smp,A,0.16475570545108711
L-Phenylalanine_13C-0 15N-0,L-Phenylalanine,Fate1,8,Smp,B,0.4411888300132156
L-Phenylalanine_13C-0 15N-0,L-Phenylalanine,Fate1,8,Smp,C,0.3213271730822522
L-Phenylalanine_13C-0 15N-0,L-Phenylalanine,Fate1,96,Smp,A,0.3327000709904421
L-Phenylalanine_13C-0 15N-0,L-Phenylalanine,Fate1,96,Smp,B,0.5123276698335743
L-Phenylalanine_13C-0 15N-0,L-Phenylalanine,Fate1,96,Smp,C,0.4636796361545822
L-Phenylalanine_13C-0 15N-0,L-Phenylalanine,Fate2,0,Smp,A,0.1157889236397511
L-Phenylalanine_13C-0 15N-0,L-Phenylalanine,Fate2,0,Smp,B,0.08504566029148417
L-Phenylalanine_13C-0 15N-0,L-Phenylalanine,Fate2,0,Smp,C,0.0932128165045842
L-Phenylalanine_13C-0 15N-0,L-Phenylalanine,Fate2,12,Smp,A,0.14659551549853145
L-Phenylalanine_13C-0 15N-0,L-Phenylalanine,Fate2,12,Smp,B,0.11137240493599243
L-Phenylalanine_13C-0 15N-0,L-Phenylalanine,Fate2,12,Smp,C,0.16349758592635655
