Protein Name,Replicate Name,Precursor Ion Name,Retention Time,Area,Background,Height,Fraction1,N.lab,C.lab,runDate,type,SampID,ionization,rep,Timepoint,Experiment,Blk.flag,ppm.flag,size.flag,RT.check,all.flags,rawArea,iso.mz,RT..min.,Column,Blk.Max.Area,Area.less.blk,Area.filled.w.background,all.area,MID,Time of day,Vol Filtered (L),Incubation time (hr),Time since last sample (hr),total.GBT.nM.in.sample,total.GBT.nM.in.sample.sd,GBT.nM,GBT.nM.sd
Glycine betaine,200605_Smp_GBTFate1MT0-pos_A,Glycine betaine_13C-0 15N-0,7.98,1175522432,63890908,72956568,HILICPos,0,0,200605,Smp,GBTFate1MT0,pos,A,0,Fate1,ok,ok,ok,ok,all ok,1175522432,118.086804,7.86,HILIC,17686654,1157835778,1157835778,1416111462,0.817616274614971,900,2,0.5,0,0.46883913404280114,0.021484735290814735,0.3833305061697841,0.017566269229564738
Glycine betaine,200605_Smp_GBTFate1MT0-pos_B,Glycine betaine_13C-0 15N-0,7.99,1318271616,55513756,78515888,HILICPos,0,0,200605,Smp,GBTFate1MT0,pos,B,0,Fate1,ok,ok,ok,ok,all ok,1318271616,118.086804,7.86,HILIC,17686654,1300584962,1300584962,1582791441,0.82170330740372,900,2,0.5,0,0.5416364454577615,0.02482070034165592,0.4450644586430372,0.02039525156281531
Glycine betaine,200605_Smp_GBTFate1MT0-pos_C,Glycine betaine_13C-0 15N-0,7.95,1955032832,69147536,117699856,HILICPos,0,0,200605,Smp,GBTFate1MT0,pos,C,0,Fate1,ok,ok,ok,ok,all ok,1955032832,118.086804,7.86,HILIC,17686654,1937346178,1937346178,2384071873,0.8126207099461887,900,1.95,0.5,0,0.8268328671124805,0.03788993705895573,0.6719015114797866,0.030790147552665008
Glycine betaine,200605_Smp_GBTFate1MT12-pos_A,Glycine betaine_13C-0 15N-0,7.99,1235006208,63305132,73986432,HILICPos,0,0,200605,Smp,GBTFate1MT12,pos,A,12,Fate1,ok,ok,ok,ok,all ok,1235006208,118.086804,7.86,HILIC,17686654,1217319554,1217319554,4370402808,0.2785371526330943,1930,2,12.5,3.5,1.3172142302747538,0.06036185336048296,0.3668931011085229,0.0168130187626853
Glycine betaine,200605_Smp_GBTFate1MT12-pos_B,Glycine betaine_13C-0 15N-0,7.98,765363072,50552184,46373616,HILICPos,0,0,200605,Smp,GBTFate1MT12,pos,B,12,Fate1,ok,ok,ok,ok,all ok,765363072,118.086804,7.86,HILIC,17686654,747676418,747676418,3081739350,0.24261507320533127,1930,2,12.5,3.5,1.041704299592832,0.047736503851686554,0.2527331649040233,0.011581595376543512
Glycine betaine,200605_Smp_GBTFate1MT12-pos_C,Glycine betaine_13C-0 15N-0,7.97,802864064,61745896,48532916,HILICPos,0,0,200605,Smp,GBTFate1MT12,pos,C,12,Fate1,ok,ok,ok,ok,all ok,802864064,118.086804,7.86,HILIC,17686654,785177410,785177410,3418932086,0.22965574929527863,1930,2,12.5,3.5,1.0876936292472323,0.04984398273320971,0.24979509542847414,0.011446957202456207
Glycine betaine,200605_Smp_GBTFate1MT36-pos_A,Glycine betaine_13C-0 15N-0,8,1150529664,56604196,65775852,HILICPos,0,0,200605,Smp,GBTFate1MT36,pos,A,36,Fate1,ok,ok,ok,ok,all ok,1150529664,118.086804,7.86,HILIC,17686654,1132843010,1132843010,8042021606,0.14086545218366578,1900,2,36,23.5,2.603777343824155,0.11931910740022758,0.3667822729233738,0.01680794001808444
Glycine betaine,200605_Smp_GBTFate1MT36-pos_B,Glycine betaine_13C-0 15N-0,8,1113886848,52985268,68350472,HILICPos,0,0,200605,Smp,GBTFate1MT36,pos,B,36,Fate1,ok,ok,ok,ok,all ok,1113886848,118.086804,7.86,HILIC,17686654,1096200194,1096200194,7951864951,0.13785447825822866,1900,2,36,23.5,2.691209204120955,0.12332570633377299,0.37099524071783707,0.017001000902469803
Glycine betaine,200605_Smp_GBTFate1MT36-pos_C,Glycine betaine_13C-0 15N-0,7.96,1517143296,66844892,82064416,HILICPos,0,0,200605,Smp,GBTFate1MT36,pos,C,36,Fate1,ok,ok,ok,ok,all ok,1517143296,118.086804,7.86,HILIC,17686654,1499456642,1499456642,10312259693,0.14540524449920872,1900,2,36,23.5,3.2427091296512245,0.14859840447812236,0.4715069138367526,0.021606987335333696
Glycine betaine,200605_Smp_GBTFate1MT4-pos_A,Glycine betaine_13C-0 15N-0,7.99,841051968,47844052,49096268,HILICPos,0,0,200605,Smp,GBTFate1MT4,pos,A,4,Fate1,ok,ok,ok,ok,all ok,841051968,118.086804,7.86,HILIC,17686654,823365314,823365314,1887726747,0.4361676367135778,1200,2,4.5,4.25,0.6318983026278011,0.02895698498034095,0.2756135893004892,0.01263009970522588
