MassFeature,FinalBMIS
"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0","Isethionic Acid, 13C2 - IS.Norm.Area"
"Adenosine Monophosphate, 15N5","Adenosine Monophosphate, 15N5 - IS.Norm.Area"
"Adenosine Monophosphate, 15N5 - IS","Adenosine Monophosphate, 15N5 - IS.Norm.Area"
"Guanosine Monophosphate, 15N5","Guanosine Monophosphate, 15N5 - IS.Norm.Area"
"Guanosine Monophosphate, 15N5 - IS","Guanosine Monophosphate, 15N5 - IS.Norm.Area"
"Isethionic Acid, 13C2","Isethionic Acid, 13C2 - IS.Norm.Area"
"Isethionic Acid, 13C2 - IS","Isethionic Acid, 13C2 - IS.Norm.Area"
Isethionic acid_13C-0,"Isethionic Acid, 13C2 - IS.Norm.Area"
"L-Cysteic Acid, D3","L-Cysteic Acid, D3 - IS.Norm.Area"
"L-Cysteic Acid, D3 - IS","L-Cysteic Acid, D3 - IS.Norm.Area"
"Succinic Acid, D4","Succinic Acid, D4 - IS.Norm.Area"
"Succinic Acid, D4 - IS","Succinic Acid, D4 - IS.Norm.Area"
"Sucrose, 13C","Sucrose, 13C - IS.Norm.Area"
"Sucrose, 13C - IS","Sucrose, 13C - IS.Norm.Area"
"Sulfoacetic Acid, 13C2","Sulfoacetic Acid, 13C2 - IS.Norm.Area"
"Sulfoacetic Acid, 13C2 - IS","Sulfoacetic Acid, 13C2 - IS.Norm.Area"
"Sulfolactic Acid, 13C3","Sulfolactic Acid, 13C3 - IS.Norm.Area"
"Sulfolactic Acid, 13C3 - IS","Sulfolactic Acid, 13C3 - IS.Norm.Area"
"Taurine, D4","Taurine, D4 - IS.Norm.Area"
"Taurine, D4 - IS","Taurine, D4 - IS.Norm.Area"
"Thymine, D4","Thymine, D4 - IS.Norm.Area"
"Thymine, D4 - IS","Thymine, D4 - IS.Norm.Area"
"Trehalose, 13C","Trehalose, 13C - IS.Norm.Area"
"Trehalose, 13C - IS","Trehalose, 13C - IS.Norm.Area"
Trehalose_13C-0,"Trehalose, 13C - IS.Norm.Area"
