MassFeature,ave
"Adenosine Monophosphate, 15N5 - IS",19796400.17647059
Dil.Factor,1
"Guanosine Monophosphate, 15N5 - IS",2063397.3137254901
"Isethionic Acid, 13C2 - IS",18831652.92156863
"L-Cysteic Acid, D3 - IS",6625783.196078432
"Succinic Acid, D4 - IS",32857983.17647059
"Sucrose, 13C - IS",44317844.705882356
"Sulfoacetic Acid, 13C2 - IS",30584440.843137253
"Sulfolactic Acid, 13C3 - IS",3557996.568627451
"Taurine, D4 - IS",23380663.62745098
"Thymine, D4 - IS",77169038.98039216
"Trehalose, 13C - IS",36721670.64705882
