Protein Name,Replicate Name,Precursor Ion Name,Retention Time,Area,Background,Height,Fraction1,N.lab,C.lab,runDate,type,SampID,ionization,rep,Timepoint,Experiment,Blk.flag,ppm.flag,size.flag,RT.check,all.flags,rawArea
Isethionic acid,200605_Poo_TruePooGBT_Full1,Isethionic acid_13C-0,7.49,167270208,235608,5915205,HILICNeg,0,0,200605,Poo,TruePooGBT,Full1,NA,NA,ePooG,ok,ok,ok,ok,all ok,167270208
Isethionic acid,200605_Poo_TruePooGBT_Full2,Isethionic acid_13C-0,7.27,185508528,258775,5881267,HILICNeg,0,0,200605,Poo,TruePooGBT,Full2,NA,NA,ePooG,ok,ok,ok,ok,all ok,185508528
Isethionic acid,200605_Poo_TruePooGBT_Full3,Isethionic acid_13C-0,6.88,230313664,0,5911040,HILICNeg,0,0,200605,Poo,TruePooGBT,Full3,NA,NA,ePooG,ok,ok,ok,ok,all ok,230313664
Isethionic acid,200605_Poo_TruePooGBT_Full4,Isethionic acid_13C-0,6.44,287159712,0,6783295,HILICNeg,0,0,200605,Poo,TruePooGBT,Full4,NA,NA,ePooG,ok,ok,ok,ok,all ok,287159712
Isethionic acid,200605_Poo_TruePooGBT_Full5,Isethionic acid_13C-0,6.25,327402464,0,8123431,HILICNeg,0,0,200605,Poo,TruePooGBT,Full5,NA,NA,ePooG,ok,ok,ok,ok,all ok,327402464
Isethionic acid,200605_Poo_TruePooGBT_Full6neg,Isethionic acid_13C-0,6.18,289778496,3905049,7990113,HILICNeg,0,0,200605,Poo,TruePooGBT,Full6neg,NA,NA,ePooG,ok,ok,ok,ok,all ok,289778496
Isethionic acid,200605_Poo_TruePooGBT_Half1,Isethionic acid_13C-0,7.44,93413104,0,3728542,HILICNeg,0,0,200605,Poo,TruePooGBT,Half1,NA,NA,ePooG,ok,ok,ok,ok,all ok,93413104
Isethionic acid,200605_Poo_TruePooGBT_Half2,Isethionic acid_13C-0,7.19,104745656,0,4062799,HILICNeg,0,0,200605,Poo,TruePooGBT,Half2,NA,NA,ePooG,ok,ok,ok,ok,all ok,104745656
Isethionic acid,200605_Poo_TruePooGBT_Half3,Isethionic acid_13C-0,6.7,134258336,0,4109312,HILICNeg,0,0,200605,Poo,TruePooGBT,Half3,NA,NA,ePooG,ok,ok,ok,ok,all ok,134258336
Isethionic acid,200605_Poo_TruePooGBT_Half4,Isethionic acid_13C-0,6.51,162375264,0,4562469,HILICNeg,0,0,200605,Poo,TruePooGBT,Half4,NA,NA,ePooG,ok,ok,ok,ok,all ok,162375264
Isethionic acid,200605_Poo_TruePooGBT_Half5,Isethionic acid_13C-0,6.16,178507760,0,4948295,HILICNeg,0,0,200605,Poo,TruePooGBT,Half5,NA,NA,ePooG,ok,ok,ok,ok,all ok,178507760
Isethionic acid,200605_Poo_TruePooGBT_Half6neg,Isethionic acid_13C-0,6.02,156197584,0,4445682,HILICNeg,0,0,200605,Poo,TruePooGBT,Half6neg,NA,NA,ePooG,ok,ok,ok,ok,all ok,156197584
Isethionic acid,200605_Poo_QC2_1,Isethionic acid_13C-0,7.5,398755392,0,13676672,HILICNeg,0,0,200605,Poo,QC2,1,NA,NA,,ok,ok,ok,ok,all ok,398755392
Isethionic acid,200605_Poo_QC2_2,Isethionic acid_13C-0,7.33,414820256,1325132,11971235,HILICNeg,0,0,200605,Poo,QC2,2,NA,NA,,ok,ok,ok,ok,all ok,414820256
Isethionic acid,200605_Poo_QC2_3,Isethionic acid_13C-0,6.81,491648608,533004,11513398,HILICNeg,0,0,200605,Poo,QC2,3,NA,NA,,ok,ok,ok,ok,all ok,491648608
Isethionic acid,200605_Poo_QC2_4,Isethionic acid_13C-0,6.48,576946880,757250,12513691,HILICNeg,0,0,200605,Poo,QC2,4,NA,NA,,ok,ok,ok,ok,all ok,576946880
Isethionic acid,200605_Poo_QC2_5,Isethionic acid_13C-0,6.28,647321344,0,13875679,HILICNeg,0,0,200605,Poo,QC2,5,NA,NA,,ok,ok,ok,ok,all ok,647321344
Isethionic acid,200605_Blk_GBTFate1MBlk-IS_A,Isethionic acid_13C-0,6.97,NA,0,147554,HILICNeg,0,0,200605,Blk,GBTFate1MBlk,IS,A,NA,Fate1,comparable to blank,ok,ok,ok,something is wrong,3105411
Isethionic acid,200605_Blk_GBTFate1MBlk-IS_B,Isethionic acid_13C-0,7.25,NA,0,113589,HILICNeg,0,0,200605,Blk,GBTFate1MBlk,IS,B,NA,Fate1,comparable to blank,ok,ok,ok,something is wrong,1540089
Isethionic acid,200605_Smp_GBTFate1MT0-IS_A,Isethionic acid_13C-0,6.5,201141264,0,4968073,HILICNeg,0,0,200605,Smp,GBTFate1MT0,IS,A,0,Fate1,ok,ok,ok,ok,all ok,201141264
Isethionic acid,200605_Smp_GBTFate1MT0-IS_B,Isethionic acid_13C-0,7.14,169362144,0,5116772,HILICNeg,0,0,200605,Smp,GBTFate1MT0,IS,B,0,Fate1,ok,ok,ok,ok,all ok,169362144
Isethionic acid,200605_Smp_GBTFate1MT0-IS_C,Isethionic acid_13C-0,6.21,254376512,0,5935957,HILICNeg,0,0,200605,Smp,GBTFate1MT0,IS,C,0,Fate1,ok,ok,ok,ok,all ok,254376512
Isethionic acid,200605_Smp_GBTFate1MT12-IS_A,Isethionic acid_13C-0,7.22,225293520,0,4657709,HILICNeg,0,0,200605,Smp,GBTFate1MT12,IS,A,12,Fate1,ok,ok,ok,ok,all ok,225293520
Isethionic acid,200605_Smp_GBTFate1MT12-IS_B,Isethionic acid_13C-0,7.27,137098784,0,4359264,HILICNeg,0,0,200605,Smp,GBTFate1MT12,IS,B,12,Fate1,ok,ok,ok,ok,all ok,137098784
Isethionic acid,200605_Smp_GBTFate1MT12-IS_C,Isethionic acid_13C-0,6.12,220731872,0,5336172,HILICNeg,0,0,200605,Smp,GBTFate1MT12,IS,C,12,Fate1,ok,ok,ok,ok,all ok,220731872
Isethionic acid,200605_Smp_GBTFate1MT36-IS_A,Isethionic acid_13C-0,7.24,293311904,0,9604791,HILICNeg,0,0,200605,Smp,GBTFate1MT36,IS,A,36,Fate1,ok,ok,ok,ok,all ok,293311904
Isethionic acid,200605_Smp_GBTFate1MT36-IS_B,Isethionic acid_13C-0,7.16,229566160,0,7067970,HILICNeg,0,0,200605,Smp,GBTFate1MT36,IS,B,36,Fate1,ok,ok,ok,ok,all ok,229566160
Isethionic acid,200605_Smp_GBTFate1MT36-IS_C,Isethionic acid_13C-0,6.59,335976384,2879339,8504082,HILICNeg,0,0,200605,Smp,GBTFate1MT36,IS,C,36,Fate1,ok,ok,ok,ok,all ok,335976384
Isethionic acid,200605_Smp_GBTFate1MT4-IS_A,Isethionic acid_13C-0,7.36,113847824,422420,4189609,HILICNeg,0,0,200605,Smp,GBTFate1MT4,IS,A,4,Fate1,ok,ok,ok,ok,all ok,113847824
Isethionic acid,200605_Smp_GBTFate1MT4-IS_B,Isethionic acid_13C-0,7.33,179013776,0,6041784,HILICNeg,0,0,200605,Smp,GBTFate1MT4,IS,B,4,Fate1,ok,ok,ok,ok,all ok,179013776
Isethionic acid,200605_Smp_GBTFate1MT4-IS_C,Isethionic acid_13C-0,7.11,161476896,444001,4557218,HILICNeg,0,0,200605,Smp,GBTFate1MT4,IS,C,4,Fate1,ok,ok,ok,ok,all ok,161476896
Isethionic acid,200605_Smp_GBTFate1MT50-IS_A,Isethionic acid_13C-0,6.92,329152096,0,9367284,HILICNeg,0,0,200605,Smp,GBTFate1MT50,IS,A,50,Fate1,ok,ok,ok,ok,all ok,329152096
Isethionic acid,200605_Smp_GBTFate1MT50-IS_B,Isethionic acid_13C-0,7.1,294081504,0,8528683,HILICNeg,0,0,200605,Smp,GBTFate1MT50,IS,B,50,Fate1,ok,ok,ok,ok,all ok,294081504
