Protein Name,Replicate Name,Precursor Ion Name,Retention Time,Area,Background,Height,Fraction1,N.lab,C.lab,runDate,type,SampID,ionization,rep,Timepoint,Experiment,Blk.flag,ppm.flag,size.flag,RT.check,all.flags,rawArea,iso.mz,RT..min.,Column,Blk.Max.Area,Area.less.blk
Isethionic acid,200605_Poo_TruePooGBT_Full1,Isethionic acid_13C-0,7.49,167270208,235608,5915205,HILICNeg,0,0,200605,Poo,TruePooGBT,Full1,NA,NA,ePooG,ok,ok,ok,ok,all ok,167270208,124.990857,7.2,HILIC,3105411,164164797
Isethionic acid,200605_Poo_TruePooGBT_Full2,Isethionic acid_13C-0,7.27,185508528,258775,5881267,HILICNeg,0,0,200605,Poo,TruePooGBT,Full2,NA,NA,ePooG,ok,ok,ok,ok,all ok,185508528,124.990857,7.2,HILIC,3105411,182403117
Isethionic acid,200605_Poo_TruePooGBT_Full3,Isethionic acid_13C-0,6.88,230313664,0,5911040,HILICNeg,0,0,200605,Poo,TruePooGBT,Full3,NA,NA,ePooG,ok,ok,ok,ok,all ok,230313664,124.990857,7.2,HILIC,3105411,227208253
Isethionic acid,200605_Poo_TruePooGBT_Full4,Isethionic acid_13C-0,6.44,287159712,0,6783295,HILICNeg,0,0,200605,Poo,TruePooGBT,Full4,NA,NA,ePooG,ok,ok,ok,ok,all ok,287159712,124.990857,7.2,HILIC,3105411,284054301
Isethionic acid,200605_Poo_TruePooGBT_Full5,Isethionic acid_13C-0,6.25,327402464,0,8123431,HILICNeg,0,0,200605,Poo,TruePooGBT,Full5,NA,NA,ePooG,ok,ok,ok,ok,all ok,327402464,124.990857,7.2,HILIC,3105411,324297053
Isethionic acid,200605_Poo_TruePooGBT_Full6neg,Isethionic acid_13C-0,6.18,289778496,3905049,7990113,HILICNeg,0,0,200605,Poo,TruePooGBT,Full6neg,NA,NA,ePooG,ok,ok,ok,ok,all ok,289778496,124.990857,7.2,HILIC,3105411,286673085
Isethionic acid,200605_Poo_TruePooGBT_Half1,Isethionic acid_13C-0,7.44,93413104,0,3728542,HILICNeg,0,0,200605,Poo,TruePooGBT,Half1,NA,NA,ePooG,ok,ok,ok,ok,all ok,93413104,124.990857,7.2,HILIC,3105411,90307693
Isethionic acid,200605_Poo_TruePooGBT_Half2,Isethionic acid_13C-0,7.19,104745656,0,4062799,HILICNeg,0,0,200605,Poo,TruePooGBT,Half2,NA,NA,ePooG,ok,ok,ok,ok,all ok,104745656,124.990857,7.2,HILIC,3105411,101640245
Isethionic acid,200605_Poo_TruePooGBT_Half3,Isethionic acid_13C-0,6.7,134258336,0,4109312,HILICNeg,0,0,200605,Poo,TruePooGBT,Half3,NA,NA,ePooG,ok,ok,ok,ok,all ok,134258336,124.990857,7.2,HILIC,3105411,131152925
Isethionic acid,200605_Poo_TruePooGBT_Half4,Isethionic acid_13C-0,6.51,162375264,0,4562469,HILICNeg,0,0,200605,Poo,TruePooGBT,Half4,NA,NA,ePooG,ok,ok,ok,ok,all ok,162375264,124.990857,7.2,HILIC,3105411,159269853
Isethionic acid,200605_Poo_TruePooGBT_Half5,Isethionic acid_13C-0,6.16,178507760,0,4948295,HILICNeg,0,0,200605,Poo,TruePooGBT,Half5,NA,NA,ePooG,ok,ok,ok,ok,all ok,178507760,124.990857,7.2,HILIC,3105411,175402349
Isethionic acid,200605_Poo_TruePooGBT_Half6neg,Isethionic acid_13C-0,6.02,156197584,0,4445682,HILICNeg,0,0,200605,Poo,TruePooGBT,Half6neg,NA,NA,ePooG,ok,ok,ok,ok,all ok,156197584,124.990857,7.2,HILIC,3105411,153092173
Isethionic acid,200605_Poo_QC2_1,Isethionic acid_13C-0,7.5,398755392,0,13676672,HILICNeg,0,0,200605,Poo,QC2,1,NA,NA,,ok,ok,ok,ok,all ok,398755392,124.990857,7.2,HILIC,3105411,395649981
Isethionic acid,200605_Poo_QC2_2,Isethionic acid_13C-0,7.33,414820256,1325132,11971235,HILICNeg,0,0,200605,Poo,QC2,2,NA,NA,,ok,ok,ok,ok,all ok,414820256,124.990857,7.2,HILIC,3105411,411714845
Isethionic acid,200605_Poo_QC2_3,Isethionic acid_13C-0,6.81,491648608,533004,11513398,HILICNeg,0,0,200605,Poo,QC2,3,NA,NA,,ok,ok,ok,ok,all ok,491648608,124.990857,7.2,HILIC,3105411,488543197
Isethionic acid,200605_Poo_QC2_4,Isethionic acid_13C-0,6.48,576946880,757250,12513691,HILICNeg,0,0,200605,Poo,QC2,4,NA,NA,,ok,ok,ok,ok,all ok,576946880,124.990857,7.2,HILIC,3105411,573841469
Isethionic acid,200605_Poo_QC2_5,Isethionic acid_13C-0,6.28,647321344,0,13875679,HILICNeg,0,0,200605,Poo,QC2,5,NA,NA,,ok,ok,ok,ok,all ok,647321344,124.990857,7.2,HILIC,3105411,644215933
Isethionic acid,200605_Blk_GBTFate1MBlk-IS_A,Isethionic acid_13C-0,6.97,NA,0,147554,HILICNeg,0,0,200605,Blk,GBTFate1MBlk,IS,A,NA,Fate1,comparable to blank,ok,ok,ok,something is wrong,3105411,124.990857,7.2,HILIC,3105411,NA
Isethionic acid,200605_Blk_GBTFate1MBlk-IS_B,Isethionic acid_13C-0,7.25,NA,0,113589,HILICNeg,0,0,200605,Blk,GBTFate1MBlk,IS,B,NA,Fate1,comparable to blank,ok,ok,ok,something is wrong,1540089,124.990857,7.2,HILIC,3105411,NA
Isethionic acid,200605_Smp_GBTFate1MT0-IS_A,Isethionic acid_13C-0,6.5,201141264,0,4968073,HILICNeg,0,0,200605,Smp,GBTFate1MT0,IS,A,0,Fate1,ok,ok,ok,ok,all ok,201141264,124.990857,7.2,HILIC,3105411,198035853
Isethionic acid,200605_Smp_GBTFate1MT0-IS_B,Isethionic acid_13C-0,7.14,169362144,0,5116772,HILICNeg,0,0,200605,Smp,GBTFate1MT0,IS,B,0,Fate1,ok,ok,ok,ok,all ok,169362144,124.990857,7.2,HILIC,3105411,166256733
Isethionic acid,200605_Smp_GBTFate1MT0-IS_C,Isethionic acid_13C-0,6.21,254376512,0,5935957,HILICNeg,0,0,200605,Smp,GBTFate1MT0,IS,C,0,Fate1,ok,ok,ok,ok,all ok,254376512,124.990857,7.2,HILIC,3105411,251271101
Isethionic acid,200605_Smp_GBTFate1MT12-IS_A,Isethionic acid_13C-0,7.22,225293520,0,4657709,HILICNeg,0,0,200605,Smp,GBTFate1MT12,IS,A,12,Fate1,ok,ok,ok,ok,all ok,225293520,124.990857,7.2,HILIC,3105411,222188109
Isethionic acid,200605_Smp_GBTFate1MT12-IS_B,Isethionic acid_13C-0,7.27,137098784,0,4359264,HILICNeg,0,0,200605,Smp,GBTFate1MT12,IS,B,12,Fate1,ok,ok,ok,ok,all ok,137098784,124.990857,7.2,HILIC,3105411,133993373
Isethionic acid,200605_Smp_GBTFate1MT12-IS_C,Isethionic acid_13C-0,6.12,220731872,0,5336172,HILICNeg,0,0,200605,Smp,GBTFate1MT12,IS,C,12,Fate1,ok,ok,ok,ok,all ok,220731872,124.990857,7.2,HILIC,3105411,217626461
Isethionic acid,200605_Smp_GBTFate1MT36-IS_A,Isethionic acid_13C-0,7.24,293311904,0,9604791,HILICNeg,0,0,200605,Smp,GBTFate1MT36,IS,A,36,Fate1,ok,ok,ok,ok,all ok,293311904,124.990857,7.2,HILIC,3105411,290206493
Isethionic acid,200605_Smp_GBTFate1MT36-IS_B,Isethionic acid_13C-0,7.16,229566160,0,7067970,HILICNeg,0,0,200605,Smp,GBTFate1MT36,IS,B,36,Fate1,ok,ok,ok,ok,all ok,229566160,124.990857,7.2,HILIC,3105411,226460749
Isethionic acid,200605_Smp_GBTFate1MT36-IS_C,Isethionic acid_13C-0,6.59,335976384,2879339,8504082,HILICNeg,0,0,200605,Smp,GBTFate1MT36,IS,C,36,Fate1,ok,ok,ok,ok,all ok,335976384,124.990857,7.2,HILIC,3105411,332870973
Isethionic acid,200605_Smp_GBTFate1MT4-IS_A,Isethionic acid_13C-0,7.36,113847824,422420,4189609,HILICNeg,0,0,200605,Smp,GBTFate1MT4,IS,A,4,Fate1,ok,ok,ok,ok,all ok,113847824,124.990857,7.2,HILIC,3105411,110742413
Isethionic acid,200605_Smp_GBTFate1MT4-IS_B,Isethionic acid_13C-0,7.33,179013776,0,6041784,HILICNeg,0,0,200605,Smp,GBTFate1MT4,IS,B,4,Fate1,ok,ok,ok,ok,all ok,179013776,124.990857,7.2,HILIC,3105411,175908365
Isethionic acid,200605_Smp_GBTFate1MT4-IS_C,Isethionic acid_13C-0,7.11,161476896,444001,4557218,HILICNeg,0,0,200605,Smp,GBTFate1MT4,IS,C,4,Fate1,ok,ok,ok,ok,all ok,161476896,124.990857,7.2,HILIC,3105411,158371485
Isethionic acid,200605_Smp_GBTFate1MT50-IS_A,Isethionic acid_13C-0,6.92,329152096,0,9367284,HILICNeg,0,0,200605,Smp,GBTFate1MT50,IS,A,50,Fate1,ok,ok,ok,ok,all ok,329152096,124.990857,7.2,HILIC,3105411,326046685
Isethionic acid,200605_Smp_GBTFate1MT50-IS_B,Isethionic acid_13C-0,7.1,294081504,0,8528683,HILICNeg,0,0,200605,Smp,GBTFate1MT50,IS,B,50,Fate1,ok,ok,ok,ok,all ok,294081504,124.990857,7.2,HILIC,3105411,290976093
Isethionic acid,200605_Smp_GBTFate1MT50-IS_C,Isethionic acid_13C-0,6.49,436938144,0,10457853,HILICNeg,0,0,200605,Smp,GBTFate1MT50,IS,C,50,Fate1,ok,ok,ok,ok,all ok,436938144,124.990857,7.2,HILIC,3105411,433832733
Isethionic acid,200605_Smp_GBTFate1MT8-IS_A,Isethionic acid_13C-0,6.35,179478064,0,4446226,HILICNeg,0,0,200605,Smp,GBTFate1MT8,IS,A,8,Fate1,ok,ok,ok,ok,all ok,179478064,124.990857,7.2,HILIC,3105411,176372653
Isethionic acid,200605_Smp_GBTFate1MT8-IS_B,Isethionic acid_13C-0,7.68,138372816,0,4990982,HILICNeg,0,0,200605,Smp,GBTFate1MT8,IS,B,8,Fate1,ok,ok,ok,ok,all ok,138372816,124.990857,7.2,HILIC,3105411,135267405
Isethionic acid,200605_Smp_GBTFate1MT8-IS_C,Isethionic acid_13C-0,7.1,168383392,0,5086526,HILICNeg,0,0,200605,Smp,GBTFate1MT8,IS,C,8,Fate1,ok,ok,ok,ok,all ok,168383392,124.990857,7.2,HILIC,3105411,165277981
Isethionic acid,200605_Smp_GBTFate1MTlong-IS_A,Isethionic acid_13C-0,7.27,493283040,4901941,14430855,HILICNeg,0,0,200605,Smp,GBTFate1MTlong,IS,A,96,Fate1,ok,ok,ok,ok,all ok,493283040,124.990857,7.2,HILIC,3105411,490177629
Isethionic acid,200605_Smp_GBTFate1MTlong-IS_B,Isethionic acid_13C-0,7.33,530220256,3304344,16426294,HILICNeg,0,0,200605,Smp,GBTFate1MTlong,IS,B,96,Fate1,ok,ok,ok,ok,all ok,530220256,124.990857,7.2,HILIC,3105411,527114845
Isethionic acid,200605_Smp_GBTFate1MTlong-IS_C,Isethionic acid_13C-0,7.14,618360896,6156096,18482742,HILICNeg,0,0,200605,Smp,GBTFate1MTlong,IS,C,96,Fate1,ok,ok,ok,ok,all ok,618360896,124.990857,7.2,HILIC,3105411,615255485
Isethionic acid,200605_Smp_GBTFate2MT0-IS_A,Isethionic acid_13C-0,7.02,109091560,0,3257270,HILICNeg,0,0,200605,Smp,GBTFate2MT0,IS,A,0,Fate2,ok,ok,ok,ok,all ok,109091560,124.990857,7.2,HILIC,3105411,105986149
Isethionic acid,200605_Smp_GBTFate2MT0-IS_B,Isethionic acid_13C-0,7.39,105750312,0,4171089,HILICNeg,0,0,200605,Smp,GBTFate2MT0,IS,B,0,Fate2,ok,ok,ok,ok,all ok,105750312,124.990857,7.2,HILIC,3105411,102644901
Isethionic acid,200605_Smp_GBTFate2MT0-IS_C,Isethionic acid_13C-0,7.03,99611456,0,3159373,HILICNeg,0,0,200605,Smp,GBTFate2MT0,IS,C,0,Fate2,ok,ok,ok,ok,all ok,99611456,124.990857,7.2,HILIC,3105411,96506045
Isethionic acid,200605_Smp_GBTFate2MT12-IS_A,Isethionic acid_13C-0,6.91,158670160,1241434,4539251,HILICNeg,0,0,200605,Smp,GBTFate2MT12,IS,A,12,Fate2,ok,ok,ok,ok,all ok,158670160,124.990857,7.2,HILIC,3105411,155564749
Isethionic acid,200605_Smp_GBTFate2MT12-IS_B,Isethionic acid_13C-0,6.61,193843584,0,4552562,HILICNeg,0,0,200605,Smp,GBTFate2MT12,IS,B,12,Fate2,ok,ok,ok,ok,all ok,193843584,124.990857,7.2,HILIC,3105411,190738173
Isethionic acid,200605_Smp_GBTFate2MT12-IS_C,Isethionic acid_13C-0,7.35,120752776,0,4176005,HILICNeg,0,0,200605,Smp,GBTFate2MT12,IS,C,12,Fate2,ok,ok,ok,ok,all ok,120752776,124.990857,7.2,HILIC,3105411,117647365
Isethionic acid,200605_Smp_GBTFate2MT24-IS_A,Isethionic acid_13C-0,7.42,131357544,0,4894940,HILICNeg,0,0,200605,Smp,GBTFate2MT24,IS,A,24,Fate2,ok,ok,ok,ok,all ok,131357544,124.990857,7.2,HILIC,3105411,128252133
Isethionic acid,200605_Smp_GBTFate2MT24-IS_B,Isethionic acid_13C-0,6.67,197021440,0,5117487,HILICNeg,0,0,200605,Smp,GBTFate2MT24,IS,B,24,Fate2,ok,ok,ok,ok,all ok,197021440,124.990857,7.2,HILIC,3105411,193916029
Isethionic acid,200605_Smp_GBTFate2MT24-IS_C,Isethionic acid_13C-0,6.37,208285344,0,5145998,HILICNeg,0,0,200605,Smp,GBTFate2MT24,IS,C,24,Fate2,ok,ok,ok,ok,all ok,208285344,124.990857,7.2,HILIC,3105411,205179933
Isethionic acid,200605_Smp_GBTFate2MT48-IS_A,Isethionic acid_13C-0,6.24,255701344,0,6360857,HILICNeg,0,0,200605,Smp,GBTFate2MT48,IS,A,48,Fate2,ok,ok,ok,ok,all ok,255701344,124.990857,7.2,HILIC,3105411,252595933
Isethionic acid,200605_Smp_GBTFate2MT48-IS_B,Isethionic acid_13C-0,6.53,229358544,1874235,5995102,HILICNeg,0,0,200605,Smp,GBTFate2MT48,IS,B,48,Fate2,ok,ok,ok,ok,all ok,229358544,124.990857,7.2,HILIC,3105411,226253133
Isethionic acid,200605_Smp_GBTFate2MT48-IS_C,Isethionic acid_13C-0,7.39,148071568,0,5240925,HILICNeg,0,0,200605,Smp,GBTFate2MT48,IS,C,48,Fate2,ok,ok,ok,ok,all ok,148071568,124.990857,7.2,HILIC,3105411,144966157
Isethionic acid,200605_Smp_GBTFate2MT5-IS_A,Isethionic acid_13C-0,7.44,87472752,0,3176649,HILICNeg,0,0,200605,Smp,GBTFate2MT5,IS,A,5,Fate2,ok,ok,ok,ok,all ok,87472752,124.990857,7.2,HILIC,3105411,84367341
Isethionic acid,200605_Smp_GBTFate2MT5-IS_B,Isethionic acid_13C-0,6.34,205622128,0,5427401,HILICNeg,0,0,200605,Smp,GBTFate2MT5,IS,B,5,Fate2,ok,ok,ok,ok,all ok,205622128,124.990857,7.2,HILIC,3105411,202516717
Isethionic acid,200605_Smp_GBTFate2MT5-IS_C,Isethionic acid_13C-0,6.96,117040328,0,3628890,HILICNeg,0,0,200605,Smp,GBTFate2MT5,IS,C,5,Fate2,ok,ok,ok,ok,all ok,117040328,124.990857,7.2,HILIC,3105411,113934917
Isethionic acid,200605_Smp_GBTFate2MTlong-IS_A,Isethionic acid_13C-0,7.09,177926512,0,5726853,HILICNeg,0,0,200605,Smp,GBTFate2MTlong,IS,A,96,Fate2,ok,ok,ok,ok,all ok,177926512,124.990857,7.2,HILIC,3105411,174821101
Isethionic acid,200605_Smp_GBTFate2MTlong-IS_B,Isethionic acid_13C-0,6.53,241543120,0,6129261,HILICNeg,0,0,200605,Smp,GBTFate2MTlong,IS,B,96,Fate2,ok,ok,ok,ok,all ok,241543120,124.990857,7.2,HILIC,3105411,238437709
Isethionic acid,200605_Smp_GBTFate2MTlong-IS_C,Isethionic acid_13C-0,6.79,215601744,0,6073912,HILICNeg,0,0,200605,Smp,GBTFate2MTlong,IS,C,96,Fate2,ok,ok,ok,ok,all ok,215601744,124.990857,7.2,HILIC,3105411,212496333
Isethionic acid,200605_Smp_GBTFate1MT0-neg_A,Isethionic acid_13C-0,6.45,128110896,0,3295492,HILICNeg,0,0,200605,Smp,GBTFate1MT0,neg,A,0,Fate1,ok,ok,ok,ok,all ok,128110896,124.990857,7.2,HILIC,3105411,125005485
Isethionic acid,200605_Smp_GBTFate1MT0-neg_B,Isethionic acid_13C-0,7.16,142389280,787907,4716399,HILICNeg,0,0,200605,Smp,GBTFate1MT0,neg,B,0,Fate1,ok,ok,ok,ok,all ok,142389280,124.990857,7.2,HILIC,3105411,139283869
Isethionic acid,200605_Smp_GBTFate1MT0-neg_C,Isethionic acid_13C-0,6.3,221257856,0,5575944,HILICNeg,0,0,200605,Smp,GBTFate1MT0,neg,C,0,Fate1,ok,ok,ok,ok,all ok,221257856,124.990857,7.2,HILIC,3105411,218152445
Isethionic acid,200605_Smp_GBTFate1MT12-neg_A,Isethionic acid_13C-0,7.15,202586512,0,4459518,HILICNeg,0,0,200605,Smp,GBTFate1MT12,neg,A,12,Fate1,ok,ok,ok,ok,all ok,202586512,124.990857,7.2,HILIC,3105411,199481101
