MassFeature,FinalBMIS
(3-Carboxypropyl)trimethylammonium_13C-0 15N-0,"Arsenobetaine, 13C2 - IS.Norm.Area"
2-O-alpha-D-Glucosylglycerol_13C-0,"L-Methionine, D3 - IS.Norm.Area"
"Adenine, 15N2","Adenine, 15N2 - IS.Norm.Area"
"Adenine, 15N2 - IS","Adenine, 15N2 - IS.Norm.Area"
Adenine_13C-0 15N-0,"Adenine, 15N2 - IS.Norm.Area"
Adenosine_13C-0 15N-0,"Adenine, 15N2 - IS.Norm.Area"
"Arsenobetaine, 13C2",Dil.Factor.Norm.Area
"Arsenobetaine, 13C2 - IS",Dil.Factor.Norm.Area
Asparagine_13C-0 15N-0,"DL-Histidine, 15N - IS.Norm.Area"
Aspartic acid_13C-0 15N-0,"L-Methionine, D3 - IS.Norm.Area"
beta-Alanine_13C-0 15N-0,"DL-Alanine, D3 - IS.Norm.Area"
beta-Alaninebetaine_13C-0 15N-0,"Arsenobetaine, 13C2 - IS.Norm.Area"
"Betaine, 13C5-15N",Dil.Factor.Norm.Area
Betonicine_13C-0 15N-0,"Cytosine, 13C2-15N3 - IS.Norm.Area"
Carnitine_13C-0 15N-0,Dil.Factor.Norm.Area
Choline_13C-0 15N-0,"Adenine, 15N2 - IS.Norm.Area"
Creatine_13C-0 15N-0,"Adenine, 15N2 - IS.Norm.Area"
"Cytosine, 13C2-15N3","Cytosine, 13C2-15N3 - IS.Norm.Area"
"Cytosine, 13C2-15N3 - IS","Cytosine, 13C2-15N3 - IS.Norm.Area"
Cytosine_13C-0 15N-0,"Cytosine, 13C2-15N3 - IS.Norm.Area"
Deoxyadenosine_13C-0 15N-0,"L-Isoleucine, 15N - IS.Norm.Area"
Dimethylsulfoniopropionate_13C-0,Dil.Factor.Norm.Area
"DL-Alanine, D3","DL-Alanine, D3 - IS.Norm.Area"
"DL-Alanine, D3 - IS","DL-Alanine, D3 - IS.Norm.Area"
"DL-Histidine, 15N","DL-Histidine, 15N - IS.Norm.Area"
"DL-Histidine, 15N - IS","DL-Histidine, 15N - IS.Norm.Area"
"DL-Proline, D7","DL-Proline, D7 - IS.Norm.Area"
"DL-Proline, D7 - IS","DL-Proline, D7 - IS.Norm.Area"
"DL-Valine, D8","DL-Valine, D8 - IS.Norm.Area"
"DL-Valine, D8 - IS","DL-Valine, D8 - IS.Norm.Area"
Glycerophosphocholine_13C-0 15N-0,"Arsenobetaine, 13C2 - IS.Norm.Area"
Glycine betaine_13C-0 15N-0,Dil.Factor.Norm.Area
Glycine_13C-0 15N-0,"DL-Alanine, D3 - IS.Norm.Area"
Gonyol_13C-0,"Arsenobetaine, 13C2 - IS.Norm.Area"
"Guanine, 13C-15N2","Guanine, 13C-15N2 - IS.Norm.Area"
"Guanine, 13C-15N2 - IS","Guanine, 13C-15N2 - IS.Norm.Area"
Guanine_13C-0 15N-0,"Guanine, 13C-15N2 - IS.Norm.Area"
Guanosine_13C-0 15N-0,"Cytosine, 13C2-15N3 - IS.Norm.Area"
Homarine_13C-0 15N-0,Dil.Factor.Norm.Area
Hypoxanthine_13C-0 15N-0,"Adenine, 15N2 - IS.Norm.Area"
L-Alanine_13C-0 15N-0,"DL-Alanine, D3 - IS.Norm.Area"
L-Arginine_13C-0 15N-0,"L-Methionine, D3 - IS.Norm.Area"
L-Glutamic acid_13C-0 15N-0,"Adenine, 15N2 - IS.Norm.Area"
L-Glutamine_13C-0 15N-0,"DL-Alanine, D3 - IS.Norm.Area"
L-Histidine_13C-0 15N-0,"DL-Histidine, 15N - IS.Norm.Area"
"L-Isoleucine, 15N","L-Isoleucine, 15N - IS.Norm.Area"
"L-Isoleucine, 15N - IS","L-Isoleucine, 15N - IS.Norm.Area"
L-Isoleucine_13C-0 15N-0,"L-Isoleucine, 15N - IS.Norm.Area"
L-Leucine_13C-0 15N-0,"L-Isoleucine, 15N - IS.Norm.Area"
"L-Methionine, D3","L-Methionine, D3 - IS.Norm.Area"
"L-Methionine, D3 - IS","L-Methionine, D3 - IS.Norm.Area"
L-Methionine_13C-0 15N-0,"L-Methionine, D3 - IS.Norm.Area"
L-Proline_13C-0 15N-0,"DL-Proline, D7 - IS.Norm.Area"
L-Tyrosine_13C-0 15N-0,"DL-Alanine, D3 - IS.Norm.Area"
O-Acetylcarnitine_13C-0 15N-0,"Adenine, 15N2 - IS.Norm.Area"
Proline betaine_13C-0 15N-0,"Adenine, 15N2 - IS.Norm.Area"
Sarcosine_13C-0 15N-0,"L-Isoleucine, 15N - IS.Norm.Area"
Taurine_13C-0 15N-0,"Arsenobetaine, 13C2 - IS.Norm.Area"
Trigonelline_13C-0 15N-0,Dil.Factor.Norm.Area
Trimethylamine N-oxide_13C-0 15N-0,"Arsenobetaine, 13C2 - IS.Norm.Area"
