Protein Name,Replicate Name,Precursor Ion Name,Retention Time,Area,Background,Height,Fraction1,N.lab,C.lab,runDate,type,SampID,ionization,rep,Timepoint,Experiment,Blk.flag,ppm.flag,size.flag,RT.check,all.flags,rawArea
L-Alanine,200605_Std_4uMStdsMix1InH2O_1,L-Alanine_13C-0 15N-0,11.34,45624432,1445648,2960638,HILICPos,0,0,200605,Std,4uMStdsMix1InH2O,1,NA,NA,StdsM,ok,ok,ok,ok,all ok,45624432
L-Alanine,200605_Std_4uMStdsMix1InH2O_2,L-Alanine_13C-0 15N-0,11.36,55413636,1926788,2180554,HILICPos,0,0,200605,Std,4uMStdsMix1InH2O,2,NA,NA,StdsM,ok,ok,ok,ok,all ok,55413636
L-Alanine,200605_Std_4uMStdsMix1InMatrix_1,L-Alanine_13C-0 15N-0,11.34,50468336,1325325,3401926,HILICPos,0,0,200605,Std,4uMStdsMix1InMatrix,1,NA,NA,StdsM,ok,ok,ok,ok,all ok,50468336
L-Alanine,200605_Std_4uMStdsMix1InMatrix_2,L-Alanine_13C-0 15N-0,11.06,62781732,1929019,3097730,HILICPos,0,0,200605,Std,4uMStdsMix1InMatrix,2,NA,NA,StdsM,ok,ok,ok,ok,all ok,62781732
L-Alanine,200605_Std_4uMStdsMix2InH2O_1,L-Alanine_13C-0 15N-0,11.35,NA,812403,14969,HILICPos,0,0,200605,Std,4uMStdsMix2InH2O,1,NA,NA,StdsM,comparable to blank,ok,ok,ok,something is wrong,208268
L-Alanine,200605_Std_4uMStdsMix2InH2O_2,L-Alanine_13C-0 15N-0,11.25,NA,576246,144258,HILICPos,0,0,200605,Std,4uMStdsMix2InH2O,2,NA,NA,StdsM,comparable to blank,ok,ok,ok,something is wrong,255785
L-Alanine,200605_Std_4uMStdsMix2InMatrix_1,L-Alanine_13C-0 15N-0,11.31,6264829,1928525,489394,HILICPos,0,0,200605,Std,4uMStdsMix2InMatrix,1,NA,NA,StdsM,ok,ok,ok,ok,all ok,6264829
L-Alanine,200605_Std_4uMStdsMix2InMatrix_2,L-Alanine_13C-0 15N-0,11.04,8783165,1661008,723324,HILICPos,0,0,200605,Std,4uMStdsMix2InMatrix,2,NA,NA,StdsM,ok,ok,ok,ok,all ok,8783165
L-Alanine,200605_Std_H2OinMatrix_1,L-Alanine_13C-0 15N-0,11.26,7348171,1346389,613103,HILICPos,0,0,200605,Std,H2OinMatrix,1,NA,NA,inMat,ok,ok,ok,ok,all ok,7348171
L-Alanine,200605_Std_H2OinMatrix_2,L-Alanine_13C-0 15N-0,11.07,8816797,1616407,685980,HILICPos,0,0,200605,Std,H2OinMatrix,2,NA,NA,inMat,ok,ok,ok,ok,all ok,8816797
L-Alanine,200605_Poo_TruePooGBT_Full1,L-Alanine_13C-0 15N-0,11.28,10823849,997737,863695,HILICPos,0,0,200605,Poo,TruePooGBT,Full1,NA,NA,ePooG,ok,ok,ok,ok,all ok,10823849
L-Alanine,200605_Poo_TruePooGBT_Full2,L-Alanine_13C-0 15N-0,11.27,10720078,796558,825413,HILICPos,0,0,200605,Poo,TruePooGBT,Full2,NA,NA,ePooG,ok,ok,ok,ok,all ok,10720078
L-Alanine,200605_Poo_TruePooGBT_Full3,L-Alanine_13C-0 15N-0,11.22,10897823,1233724,886878,HILICPos,0,0,200605,Poo,TruePooGBT,Full3,NA,NA,ePooG,ok,ok,ok,ok,all ok,10897823
L-Alanine,200605_Poo_TruePooGBT_Full4,L-Alanine_13C-0 15N-0,11.15,12491519,1302989,1030243,HILICPos,0,0,200605,Poo,TruePooGBT,Full4,NA,NA,ePooG,ok,ok,ok,ok,all ok,12491519
L-Alanine,200605_Poo_TruePooGBT_Full5,L-Alanine_13C-0 15N-0,11.07,13010902,1410607,1006697,HILICPos,0,0,200605,Poo,TruePooGBT,Full5,NA,NA,ePooG,ok,ok,ok,ok,all ok,13010902
L-Alanine,200605_Poo_TruePooGBT_Full6pos,L-Alanine_13C-0 15N-0,11.07,6490438,592094,561423,HILICPos,0,0,200605,Poo,TruePooGBT,Full6pos,NA,NA,ePooG,ok,ok,ok,ok,all ok,6490438
L-Alanine,200605_Poo_TruePooGBT_Half1,L-Alanine_13C-0 15N-0,11.28,5040638,821197,406096,HILICPos,0,0,200605,Poo,TruePooGBT,Half1,NA,NA,ePooG,ok,ok,ok,ok,all ok,5040638
L-Alanine,200605_Poo_TruePooGBT_Half2,L-Alanine_13C-0 15N-0,11.24,5176415,1014693,381797,HILICPos,0,0,200605,Poo,TruePooGBT,Half2,NA,NA,ePooG,ok,ok,ok,ok,all ok,5176415
L-Alanine,200605_Poo_TruePooGBT_Half3,L-Alanine_13C-0 15N-0,11.22,5764883,1178841,421555,HILICPos,0,0,200605,Poo,TruePooGBT,Half3,NA,NA,ePooG,ok,ok,ok,ok,all ok,5764883
L-Alanine,200605_Poo_TruePooGBT_Half4,L-Alanine_13C-0 15N-0,11.16,6354372,1526773,498913,HILICPos,0,0,200605,Poo,TruePooGBT,Half4,NA,NA,ePooG,ok,ok,ok,ok,all ok,6354372
L-Alanine,200605_Poo_TruePooGBT_Half5,L-Alanine_13C-0 15N-0,11.08,6608847,1367500,511234,HILICPos,0,0,200605,Poo,TruePooGBT,Half5,NA,NA,ePooG,ok,ok,ok,ok,all ok,6608847
L-Alanine,200605_Poo_TruePooGBT_Half6pos,L-Alanine_13C-0 15N-0,11.05,NA,467177,378694,HILICPos,0,0,200605,Poo,TruePooGBT,Half6pos,NA,NA,ePooG,comparable to blank,ok,ok,ok,something is wrong,4763235
L-Alanine,200605_Poo_QC2_1,L-Alanine_13C-0 15N-0,11.3,23285254,1268258,1801291,HILICPos,0,0,200605,Poo,QC2,1,NA,NA,,ok,ok,ok,ok,all ok,23285254
L-Alanine,200605_Poo_QC2_2,L-Alanine_13C-0 15N-0,11.29,22602028,1456776,1600113,HILICPos,0,0,200605,Poo,QC2,2,NA,NA,,ok,ok,ok,ok,all ok,22602028
L-Alanine,200605_Poo_QC2_3,L-Alanine_13C-0 15N-0,11.22,20795764,1541659,1589847,HILICPos,0,0,200605,Poo,QC2,3,NA,NA,,ok,ok,ok,ok,all ok,20795764
