"","MassFeature","Orig_RSD","del_RSD","percentChange","FinalBMIS","FinalRSD","Run.Cmpd","MIS","Adjusted_Area","SampID","type","runDate","replicate","OriginalArea"
"1","(3-Carboxypropyl)trimethylammonium_13C-0 15N-0",0.126478808816952,0.0485432215498595,0.383805176566094,"Arsenobetaine, 13C2 - IS.Norm.Area",0.0779355872670926,"200605_Std_4uMStdsMix1InH2O_1 (3-Carboxypropyl)trimethylammonium_13C-0 15N-0","Arsenobetaine, 13C2 - IS.Norm.Area",110781425978582,"4uMStdsMix1InH2O","Std","200605","1",1208677504
"2","(3-Carboxypropyl)trimethylammonium_13C-0 15N-0",0.126478808816952,0.0485432215498595,0.383805176566094,"Arsenobetaine, 13C2 - IS.Norm.Area",0.0779355872670926,"200605_Std_4uMStdsMix1InH2O_2 (3-Carboxypropyl)trimethylammonium_13C-0 15N-0","Arsenobetaine, 13C2 - IS.Norm.Area",146172280611784,"4uMStdsMix1InH2O","Std","200605","2",1710149376
"3","(3-Carboxypropyl)trimethylammonium_13C-0 15N-0",0.126478808816952,0.0485432215498595,0.383805176566094,"Arsenobetaine, 13C2 - IS.Norm.Area",0.0779355872670926,"200605_Std_4uMStdsMix1InMatrix_1 (3-Carboxypropyl)trimethylammonium_13C-0 15N-0","Arsenobetaine, 13C2 - IS.Norm.Area",69153812009573.9,"4uMStdsMix1InMatrix","Std","200605","1",1391888384
"4","(3-Carboxypropyl)trimethylammonium_13C-0 15N-0",0.126478808816952,0.0485432215498595,0.383805176566094,"Arsenobetaine, 13C2 - IS.Norm.Area",0.0779355872670926,"200605_Std_4uMStdsMix1InMatrix_2 (3-Carboxypropyl)trimethylammonium_13C-0 15N-0","Arsenobetaine, 13C2 - IS.Norm.Area",389691097413543,"4uMStdsMix1InMatrix","Std","200605","2",1851088512
"5","(3-Carboxypropyl)trimethylammonium_13C-0 15N-0",0.126478808816952,0.0485432215498595,0.383805176566094,"Arsenobetaine, 13C2 - IS.Norm.Area",0.0779355872670926,"200605_Std_4uMStdsMix2InH2O_1 (3-Carboxypropyl)trimethylammonium_13C-0 15N-0","Arsenobetaine, 13C2 - IS.Norm.Area",629300666.574819,"4uMStdsMix2InH2O","Std","200605","1",3669463
"6","(3-Carboxypropyl)trimethylammonium_13C-0 15N-0",0.126478808816952,0.0485432215498595,0.383805176566094,"Arsenobetaine, 13C2 - IS.Norm.Area",0.0779355872670926,"200605_Std_4uMStdsMix2InMatrix_2 (3-Carboxypropyl)trimethylammonium_13C-0 15N-0","Arsenobetaine, 13C2 - IS.Norm.Area",41430847091993.8,"4uMStdsMix2InMatrix","Std","200605","2",1245892992
"7","(3-Carboxypropyl)trimethylammonium_13C-0 15N-0",0.126478808816952,0.0485432215498595,0.383805176566094,"Arsenobetaine, 13C2 - IS.Norm.Area",0.0779355872670926,"200605_Std_H2OinMatrix_1 (3-Carboxypropyl)trimethylammonium_13C-0 15N-0","Arsenobetaine, 13C2 - IS.Norm.Area",590382583622.707,"H2OinMatrix","Std","200605","1",6346546
"8","(3-Carboxypropyl)trimethylammonium_13C-0 15N-0",0.126478808816952,0.0485432215498595,0.383805176566094,"Arsenobetaine, 13C2 - IS.Norm.Area",0.0779355872670926,"200605_Std_H2OinMatrix_2 (3-Carboxypropyl)trimethylammonium_13C-0 15N-0","Arsenobetaine, 13C2 - IS.Norm.Area",1970474627690.87,"H2OinMatrix","Std","200605","2",8901764
"9","(3-Carboxypropyl)trimethylammonium_13C-0 15N-0",0.126478808816952,0.0485432215498595,0.383805176566094,"Arsenobetaine, 13C2 - IS.Norm.Area",0.0779355872670926,"200605_Poo_TruePooGBT_Full1 (3-Carboxypropyl)trimethylammonium_13C-0 15N-0","Arsenobetaine, 13C2 - IS.Norm.Area",8709392.08267505,"TruePooGBT","Poo","200605","Full1",9373698
"10","(3-Carboxypropyl)trimethylammonium_13C-0 15N-0",0.126478808816952,0.0485432215498595,0.383805176566094,"Arsenobetaine, 13C2 - IS.Norm.Area",0.0779355872670926,"200605_Poo_TruePooGBT_Full2 (3-Carboxypropyl)trimethylammonium_13C-0 15N-0","Arsenobetaine, 13C2 - IS.Norm.Area",8465961.47861994,"TruePooGBT","Poo","200605","Full2",8856317
