Protein Name,C.lab,N.lab,Precursor Ion Name,Experiment,n
(3-Carboxypropyl)trimethylammonium,0,0,(3-Carboxypropyl)trimethylammonium_13C-0 15N-0,Fate1,21
(3-Carboxypropyl)trimethylammonium,0,0,(3-Carboxypropyl)trimethylammonium_13C-0 15N-0,Fate2,18
(3-Carboxypropyl)trimethylammonium,1,0,(3-Carboxypropyl)trimethylammonium_13C-1 15N-0,Fate1,21
(3-Carboxypropyl)trimethylammonium,1,0,(3-Carboxypropyl)trimethylammonium_13C-1 15N-0,Fate2,18
(3-Carboxypropyl)trimethylammonium,3,0,(3-Carboxypropyl)trimethylammonium_13C-3 15N-0,Fate1,2
(3-Carboxypropyl)trimethylammonium,3,0,(3-Carboxypropyl)trimethylammonium_13C-3 15N-0,Fate2,5
(3-Carboxypropyl)trimethylammonium,5,1,(3-Carboxypropyl)trimethylammonium_13C-5 15N-1,Fate1,18
(3-Carboxypropyl)trimethylammonium,5,1,(3-Carboxypropyl)trimethylammonium_13C-5 15N-1,Fate2,15
Adenine,0,0,Adenine_13C-0 15N-0,Fate1,21
Adenine,0,0,Adenine_13C-0 15N-0,Fate2,18
Adenine,0,1,Adenine_13C-0 15N-1,Fate1,21
Adenine,0,1,Adenine_13C-0 15N-1,Fate2,18
Adenine,1,0,Adenine_13C-1 15N-0,Fate1,21
Adenine,1,0,Adenine_13C-1 15N-0,Fate2,18
Adenine,1,1,Adenine_13C-1 15N-1,Fate1,12
Adenine,1,1,Adenine_13C-1 15N-1,Fate2,14
Adenine,2,0,Adenine_13C-2 15N-0,Fate1,20
Adenine,2,0,Adenine_13C-2 15N-0,Fate2,17
Adenine,2,1,Adenine_13C-2 15N-1,Fate1,16
Adenine,2,1,Adenine_13C-2 15N-1,Fate2,13
Adenine,3,1,Adenine_13C-3 15N-1,Fate1,7
Adenine,3,1,Adenine_13C-3 15N-1,Fate2,8
Adenine,4,1,Adenine_13C-4 15N-1,Fate1,8
Adenine,4,1,Adenine_13C-4 15N-1,Fate2,7
Adenosine,0,0,Adenosine_13C-0 15N-0,Fate1,21
Adenosine,0,0,Adenosine_13C-0 15N-0,Fate2,18
Adenosine,0,1,Adenosine_13C-0 15N-1,Fate1,21
Adenosine,0,1,Adenosine_13C-0 15N-1,Fate2,18
Adenosine,1,0,Adenosine_13C-1 15N-0,Fate1,21
Adenosine,1,0,Adenosine_13C-1 15N-0,Fate2,18
Adenosine,1,1,Adenosine_13C-1 15N-1,Fate1,19
Adenosine,1,1,Adenosine_13C-1 15N-1,Fate2,14
Adenosine,2,0,Adenosine_13C-2 15N-0,Fate1,21
Adenosine,2,0,Adenosine_13C-2 15N-0,Fate2,18
Adenosine,2,1,Adenosine_13C-2 15N-1,Fate1,14
Adenosine,2,1,Adenosine_13C-2 15N-1,Fate2,14
Adenosine,3,0,Adenosine_13C-3 15N-0,Fate1,8
Adenosine,3,0,Adenosine_13C-3 15N-0,Fate2,12
Adenosine,3,1,Adenosine_13C-3 15N-1,Fate1,13
Adenosine,3,1,Adenosine_13C-3 15N-1,Fate2,15
Adenosine,4,0,Adenosine_13C-4 15N-0,Fate1,5
