Protein Name,Replicate Name,Precursor Ion Name,Retention Time,Area,Background,Height,Fraction1,N.lab,C.lab,runDate,type,SampID,ionization,rep,Timepoint,Experiment,Blk.flag,ppm.flag,size.flag,RT.check,all.flags,rawArea,iso.mz,RT..min.,Column,Blk.Max.Area,Area.less.blk,Area.filled.w.background,all.area,MID
Isethionic acid,200605_Smp_GBTFate1MT0-IS_A,Isethionic acid_13C-0,6.5,201141264,0,4968073,HILICNeg,0,0,200605,Smp,GBTFate1MT0,IS,A,0,Fate1,ok,ok,ok,ok,all ok,201141264,124.990857,7.2,HILIC,3105411,198035853,198035853,198936294,0.9954737218538916
Isethionic acid,200605_Smp_GBTFate1MT0-IS_B,Isethionic acid_13C-0,7.14,169362144,0,5116772,HILICNeg,0,0,200605,Smp,GBTFate1MT0,IS,B,0,Fate1,ok,ok,ok,ok,all ok,169362144,124.990857,7.2,HILIC,3105411,166256733,166256733,166851915,0.9964328728261824
Isethionic acid,200605_Smp_GBTFate1MT0-IS_C,Isethionic acid_13C-0,6.21,254376512,0,5935957,HILICNeg,0,0,200605,Smp,GBTFate1MT0,IS,C,0,Fate1,ok,ok,ok,ok,all ok,254376512,124.990857,7.2,HILIC,3105411,251271101,251271101,251271101,1
Isethionic acid,200605_Smp_GBTFate1MT12-IS_A,Isethionic acid_13C-0,7.22,225293520,0,4657709,HILICNeg,0,0,200605,Smp,GBTFate1MT12,IS,A,12,Fate1,ok,ok,ok,ok,all ok,225293520,124.990857,7.2,HILIC,3105411,222188109,222188109,226520051,0.9808761212048288
Isethionic acid,200605_Smp_GBTFate1MT12-IS_B,Isethionic acid_13C-0,7.27,137098784,0,4359264,HILICNeg,0,0,200605,Smp,GBTFate1MT12,IS,B,12,Fate1,ok,ok,ok,ok,all ok,137098784,124.990857,7.2,HILIC,3105411,133993373,133993373,135360786,0.9898980122647928
Isethionic acid,200605_Smp_GBTFate1MT12-IS_C,Isethionic acid_13C-0,6.12,220731872,0,5336172,HILICNeg,0,0,200605,Smp,GBTFate1MT12,IS,C,12,Fate1,ok,ok,ok,ok,all ok,220731872,124.990857,7.2,HILIC,3105411,217626461,217626461,219922247,0.9895609196826731
Isethionic acid,200605_Smp_GBTFate1MT36-IS_A,Isethionic acid_13C-0,7.24,293311904,0,9604791,HILICNeg,0,0,200605,Smp,GBTFate1MT36,IS,A,36,Fate1,ok,ok,ok,ok,all ok,293311904,124.990857,7.2,HILIC,3105411,290206493,290206493,295375529,0.9825001210577603
Isethionic acid,200605_Smp_GBTFate1MT36-IS_B,Isethionic acid_13C-0,7.16,229566160,0,7067970,HILICNeg,0,0,200605,Smp,GBTFate1MT36,IS,B,36,Fate1,ok,ok,ok,ok,all ok,229566160,124.990857,7.2,HILIC,3105411,226460749,226460749,229162567,0.98821003781128
Isethionic acid,200605_Smp_GBTFate1MT36-IS_C,Isethionic acid_13C-0,6.59,335976384,2879339,8504082,HILICNeg,0,0,200605,Smp,GBTFate1MT36,IS,C,36,Fate1,ok,ok,ok,ok,all ok,335976384,124.990857,7.2,HILIC,3105411,332870973,332870973,332870973,1
Isethionic acid,200605_Smp_GBTFate1MT4-IS_A,Isethionic acid_13C-0,7.36,113847824,422420,4189609,HILICNeg,0,0,200605,Smp,GBTFate1MT4,IS,A,4,Fate1,ok,ok,ok,ok,all ok,113847824,124.990857,7.2,HILIC,3105411,110742413,110742413,111258750,0.9953591335512937
Isethionic acid,200605_Smp_GBTFate1MT4-IS_B,Isethionic acid_13C-0,7.33,179013776,0,6041784,HILICNeg,0,0,200605,Smp,GBTFate1MT4,IS,B,4,Fate1,ok,ok,ok,ok,all ok,179013776,124.990857,7.2,HILIC,3105411,175908365,175908365,178894353,0.9833086514474831
