type,SampID,Experiment,Timepoint,ionization,runDate,N.lab,C.lab,Precursor Ion Name,Protein Name,Fraction1,iso.mz,MID.mean,MID.sd,Area.filled.w.background.mean,Area.filled.w.background.sd
Smp,GBTFate1MT0,Fate1,0,IS,200605,0,0,"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0","(R)-2,3-Dihydroxypropane-1-sulfonate",HILICNeg,155.001422,0.9998372797805678,2.8183968747526236e-4,95358864,21702154.527830273
Smp,GBTFate1MT0,Fate1,0,IS,200605,0,0,Isethionic acid_13C-0,Isethionic acid,HILICNeg,124.990857,0.9973021982266913,0.00238507724255675,205187895.66666666,42956076.13992718
Smp,GBTFate1MT0,Fate1,0,IS,200605,0,0,Trehalose_13C-0,Trehalose,HILICNeg,341.10839,1,0,1185743.6666666667,963382.4332409914
Smp,GBTFate1MT0,Fate1,0,IS,200605,0,1,"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-1","(R)-2,3-Dihydroxypropane-1-sulfonate",HILICNeg,156.004776,1.6272021943216494e-4,2.818396874752662e-4,19387,33579.269006337825
Smp,GBTFate1MT0,Fate1,0,IS,200605,0,1,Isethionic acid_13C-1,Isethionic acid,HILICNeg,125.994211,0.002697801773308665,0.002385077242556759,498541,457933.5222289366
Smp,GBTFate1MT0,Fate1,0,IS,200605,0,1,Sucrose_13C-1,Sucrose,HILICNeg,342.111744,NaN,NA,0,0
Smp,GBTFate1MT0,Fate1,0,neg,200605,0,0,"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0","(R)-2,3-Dihydroxypropane-1-sulfonate",HILICNeg,155.001422,0.9890519273336185,8.185644031261772e-4,61911202.666666664,17970799.246614862
Smp,GBTFate1MT0,Fate1,0,neg,200605,0,0,Isethionic acid_13C-0,Isethionic acid,HILICNeg,124.990857,0.9935955395264604,0.005550342091868139,160813933,50167188.29268262
Smp,GBTFate1MT0,Fate1,0,neg,200605,0,0,Trehalose_13C-0,Trehalose,HILICNeg,341.10839,1,0,25330.5,818.1225458328355
Smp,GBTFate1MT0,Fate1,0,neg,200605,0,1,"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-1","(R)-2,3-Dihydroxypropane-1-sulfonate",HILICNeg,156.004776,0.010948072666381524,8.185644031261719e-4,693851.3333333334,248684.88420958226
Smp,GBTFate1MT0,Fate1,0,neg,200605,0,1,Isethionic acid_13C-1,Isethionic acid,HILICNeg,125.994211,0.006404460473539563,0.0055503420918681405,1161288.6666666667,1090072.8092803403
Smp,GBTFate1MT0,Fate1,0,neg,200605,0,1,Sucrose_13C-1,Sucrose,HILICNeg,342.111744,NaN,NA,0,0
