Experiment,Timepoint,Incubation time (hr),Metabolite,Isotopologue,C.lab,N.lab,iso.mz,ionization,nM.in.Sample.ave,nM.in.sample.sd,MID.mean,MID.sd
Fate1,0,0.5,(3-Carboxypropyl)trimethylammonium,(3-Carboxypropyl)trimethylammonium_13C-0 15N-0,0,0,146.118104,pos,0.008520038263330802,0.001878219667805879,0.9533500956488962,0.001640347798109588
Fate1,12,12.5,(3-Carboxypropyl)trimethylammonium,(3-Carboxypropyl)trimethylammonium_13C-0 15N-0,0,0,146.118104,pos,0.004739711154777174,9.650231877293708e-4,0.9458463597518493,0.004647322925996637
Fate1,36,36,(3-Carboxypropyl)trimethylammonium,(3-Carboxypropyl)trimethylammonium_13C-0 15N-0,0,0,146.118104,pos,0.007503578133433028,0.001509657423312959,0.9210618628157735,0.006321319445105543
Fate1,4,4.5,(3-Carboxypropyl)trimethylammonium,(3-Carboxypropyl)trimethylammonium_13C-0 15N-0,0,0,146.118104,pos,0.007378080056335716,0.0010910589872789524,0.9546037983308684,8.737359805715784e-4
Fate1,50,50,(3-Carboxypropyl)trimethylammonium,(3-Carboxypropyl)trimethylammonium_13C-0 15N-0,0,0,146.118104,pos,0.0057271411974010285,0.0014938177511256091,0.919490715957283,0.004364177904220279
Fate1,8,9,(3-Carboxypropyl)trimethylammonium,(3-Carboxypropyl)trimethylammonium_13C-0 15N-0,0,0,146.118104,pos,0.005686553532068066,0.0012838661102462625,0.9504679716993784,0.004703608856362879
Fate1,96,98,(3-Carboxypropyl)trimethylammonium,(3-Carboxypropyl)trimethylammonium_13C-0 15N-0,0,0,146.118104,pos,0.008659082736322697,0.0023767803979735285,0.887330199673954,0.021870937597681567
Fate2,0,0.3,(3-Carboxypropyl)trimethylammonium,(3-Carboxypropyl)trimethylammonium_13C-0 15N-0,0,0,146.118104,pos,0.007738331847076592,0.003030783124822452,0.9528561199424338,0.0012440317272716139
Fate2,12,13,(3-Carboxypropyl)trimethylammonium,(3-Carboxypropyl)trimethylammonium_13C-0 15N-0,0,0,146.118104,pos,0.005049662255135269,0.0010872839222290738,0.879352642319031,0.006466666904824473
Fate2,24,25,(3-Carboxypropyl)trimethylammonium,(3-Carboxypropyl)trimethylammonium_13C-0 15N-0,0,0,146.118104,pos,0.006176490845484408,7.994436245995147e-4,0.8394743265788134,0.04573471744422322
Fate2,48,51,(3-Carboxypropyl)trimethylammonium,(3-Carboxypropyl)trimethylammonium_13C-0 15N-0,0,0,146.118104,pos,0.004198974669141512,3.0129786564579844e-4,0.7067979406841979,0.04124048588920136
Fate2,5,6,(3-Carboxypropyl)trimethylammonium,(3-Carboxypropyl)trimethylammonium_13C-0 15N-0,0,0,146.118104,pos,0.0057695288177762325,0.002193351393551489,0.9394366259143148,0.011864787351813278
Fate2,96,100,(3-Carboxypropyl)trimethylammonium,(3-Carboxypropyl)trimethylammonium_13C-0 15N-0,0,0,146.118104,pos,0.0037563878789263335,8.633347911078731e-4,0.6288170627120295,0.07041503112271501
