Isotopologue,Experiment,p.value,sig
(3-Carboxypropyl)trimethylammonium_13C-0 15N-0,Fate1,1.7340284393808939e-10,TRUE
(3-Carboxypropyl)trimethylammonium_13C-0 15N-0,Fate2,1.396918088840849e-8,TRUE
(3-Carboxypropyl)trimethylammonium_13C-1 15N-0,Fate1,0.18483631158957478,FALSE
(3-Carboxypropyl)trimethylammonium_13C-1 15N-0,Fate2,0.025038067682314185,TRUE
(3-Carboxypropyl)trimethylammonium_13C-3 15N-0,Fate2,0.5615285806157264,FALSE
(3-Carboxypropyl)trimethylammonium_13C-5 15N-1,Fate1,3.958899546977485e-10,TRUE
(3-Carboxypropyl)trimethylammonium_13C-5 15N-1,Fate2,3.0165317502413646e-8,TRUE
"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0",Fate1,0.004915855023739646,TRUE
"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0",Fate2,0.33899108005490053,FALSE
"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-1",Fate1,0.00491585502373931,TRUE
"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-1",Fate2,0.3389910800549032,FALSE
2-O-alpha-D-Glucosylglycerol_13C-0,Fate1,0.04907128837587244,TRUE
2-O-alpha-D-Glucosylglycerol_13C-0,Fate2,0.059906258506574966,FALSE
2-O-alpha-D-Glucosylglycerol_13C-1,Fate1,0.08487922094326442,FALSE
2-O-alpha-D-Glucosylglycerol_13C-1,Fate2,0.0341871383368388,TRUE
2-O-alpha-D-Glucosylglycerol_13C-2,Fate1,0.148627945603938,FALSE
2-O-alpha-D-Glucosylglycerol_13C-2,Fate2,0.08902859119090076,FALSE
Adenine_13C-0 15N-0,Fate1,0.031176077282505446,TRUE
Adenine_13C-0 15N-0,Fate2,2.8743166697701345e-13,TRUE
Adenine_13C-0 15N-1,Fate1,3.914744281557794e-6,TRUE
Adenine_13C-0 15N-1,Fate2,3.8842942970604374e-8,TRUE
Adenine_13C-1 15N-0,Fate1,0.06930055155987493,FALSE
Adenine_13C-1 15N-0,Fate2,4.864310760082536e-8,TRUE
Adenine_13C-1 15N-1,Fate1,0.002991840073925023,TRUE
Adenine_13C-1 15N-1,Fate2,2.0682350182114676e-13,TRUE
Adenine_13C-2 15N-0,Fate1,0.14046539996401702,FALSE
Adenine_13C-2 15N-0,Fate2,2.128319723852466e-13,TRUE
Adenine_13C-2 15N-1,Fate1,0.2787144616686733,FALSE
Adenine_13C-2 15N-1,Fate2,2.394114065446038e-14,TRUE
Adenine_13C-3 15N-1,Fate1,0.016917114651159984,TRUE
Adenine_13C-3 15N-1,Fate2,1.5180674361825428e-12,TRUE
Adenine_13C-4 15N-1,Fate1,8.855573760553269e-4,TRUE
Adenine_13C-4 15N-1,Fate2,1.7519831518766914e-9,TRUE
Adenosine_13C-0 15N-0,Fate1,5.394563464581037e-6,TRUE
Adenosine_13C-0 15N-0,Fate2,2.806762809334312e-11,TRUE
Adenosine_13C-0 15N-1,Fate1,0.09245377620212843,FALSE
Adenosine_13C-0 15N-1,Fate2,4.9729691097790195e-9,TRUE
Adenosine_13C-1 15N-0,Fate1,2.492720392689093e-4,TRUE
Adenosine_13C-1 15N-0,Fate2,1.4339199795577751e-5,TRUE
Adenosine_13C-1 15N-1,Fate1,0.009251084290178117,TRUE
Adenosine_13C-1 15N-1,Fate2,7.471972440211399e-9,TRUE
Adenosine_13C-2 15N-0,Fate1,3.6490722080555115e-6,TRUE
Adenosine_13C-2 15N-0,Fate2,9.064748819361755e-7,TRUE
Adenosine_13C-2 15N-1,Fate1,1.059413922265403e-6,TRUE
Adenosine_13C-2 15N-1,Fate2,3.271546222143253e-11,TRUE
Adenosine_13C-3 15N-0,Fate1,5.575644492946328e-4,TRUE
Adenosine_13C-3 15N-0,Fate2,4.735382266338749e-9,TRUE
Adenosine_13C-3 15N-1,Fate1,1.959516314414096e-7,TRUE
Adenosine_13C-3 15N-1,Fate2,2.7382593402400218e-12,TRUE
Adenosine_13C-4 15N-0,Fate1,4.7187972110591773e-4,TRUE
Adenosine_13C-4 15N-0,Fate2,3.5991846222941612e-12,TRUE
Adenosine_13C-4 15N-1,Fate1,3.1264431047896875e-6,TRUE
Adenosine_13C-4 15N-1,Fate2,2.9484227840827744e-13,TRUE
Adenosine_13C-5 15N-0,Fate1,0.7950120361203075,FALSE
Adenosine_13C-5 15N-0,Fate2,3.534130445123425e-7,TRUE
Adenosine_13C-5 15N-1,Fate1,8.657956865541963e-5,TRUE
Adenosine_13C-5 15N-1,Fate2,7.558078843826822e-10,TRUE
beta-Alanine_13C-0 15N-0,Fate1,0.23982588918102155,FALSE
beta-Alanine_13C-0 15N-0,Fate2,0.7517537342207384,FALSE
beta-Alanine_13C-0 15N-1,Fate1,1.618846519647988e-5,TRUE
beta-Alanine_13C-0 15N-1,Fate2,3.579517505917474e-7,TRUE
beta-Alanine_13C-1 15N-0,Fate1,0.6541117228349456,FALSE
beta-Alanine_13C-1 15N-0,Fate2,0.7113171663019466,FALSE
beta-Alaninebetaine_13C-0 15N-0,Fate1,2.327854417915073e-8,TRUE
beta-Alaninebetaine_13C-0 15N-0,Fate2,3.0500074359651313e-9,TRUE
beta-Alaninebetaine_13C-0 15N-1,Fate1,0.22675470222337973,FALSE
beta-Alaninebetaine_13C-0 15N-1,Fate2,4.823397699163409e-4,TRUE
beta-Alaninebetaine_13C-1 15N-0,Fate1,2.2025944341296445e-8,TRUE
beta-Alaninebetaine_13C-1 15N-0,Fate2,1.7328493393432335e-8,TRUE
beta-Alaninebetaine_13C-1 15N-1,Fate1,0.0011338021147952963,TRUE
beta-Alaninebetaine_13C-1 15N-1,Fate2,1.6568251005485986e-5,TRUE
beta-Alaninebetaine_13C-2 15N-0,Fate1,9.185092346450233e-9,TRUE
beta-Alaninebetaine_13C-2 15N-0,Fate2,4.168636093958008e-8,TRUE
beta-Alaninebetaine_13C-3 15N-0,Fate1,0.38454411877995553,FALSE
beta-Alaninebetaine_13C-3 15N-0,Fate2,1.6382990984512947e-6,TRUE
beta-Alaninebetaine_13C-3 15N-1,Fate1,5.5473163866167504e-5,TRUE
beta-Alaninebetaine_13C-3 15N-1,Fate2,7.301412859918423e-7,TRUE
beta-Alaninebetaine_13C-5 15N-1,Fate2,0.002138599164875349,TRUE
Betonicine_13C-0 15N-0,Fate1,0.06198357717592168,FALSE
Betonicine_13C-1 15N-0,Fate1,0.06849230751157434,FALSE
Betonicine_13C-1 15N-1,Fate1,0.37499485299314717,FALSE
Butyrylcarnitine_13C-0 15N-0,Fate1,0.0864096030508646,FALSE
Butyrylcarnitine_13C-0 15N-0,Fate2,3.861924483787445e-7,TRUE
Butyrylcarnitine_13C-1 15N-0,Fate1,0.08640960305086615,FALSE
Butyrylcarnitine_13C-1 15N-0,Fate2,3.8619244837872366e-7,TRUE
Carnitine_13C-0 15N-0,Fate1,4.888631006695925e-9,TRUE
Carnitine_13C-0 15N-0,Fate2,1.1498277324999019e-12,TRUE
Carnitine_13C-1 15N-0,Fate1,2.13182144801015e-5,TRUE
Carnitine_13C-1 15N-0,Fate2,1.2638568682703588e-4,TRUE
Carnitine_13C-1 15N-1,Fate2,0.00980403154571709,TRUE
Carnitine_13C-2 15N-0,Fate2,2.4826816956221618e-5,TRUE
Carnitine_13C-4 15N-1,Fate1,3.631409282181673e-9,TRUE
Carnitine_13C-4 15N-1,Fate2,3.901309529959313e-10,TRUE
Carnitine_13C-5 15N-1,Fate1,5.370942210064454e-9,TRUE
Carnitine_13C-5 15N-1,Fate2,5.955021071847043e-13,TRUE
Choline_13C-0 15N-0,Fate1,1.3359538105735442e-9,TRUE
Choline_13C-0 15N-0,Fate2,5.852025505074977e-16,TRUE
Choline_13C-0 15N-1,Fate1,0.019578525055713017,TRUE
Choline_13C-0 15N-1,Fate2,0.06976753685474577,FALSE
