previous.con.nM.13C,previous.con.nM.15N,previous.time.point.ID,Precursor Ion Name,Experiment,SampID,Timepoint,Time of day,Time since last sample (hr),Incubation time (hr),Protein Name,C.lab,N.lab,C.num,N.num,nM.13C.in.isotopologue.sd,nM.13C.in.isotopologue,nM.15N.in.isotopologue.sd,nM.15N.in.isotopologue,uptake.overall.nM.13C.per.h,uptake.since.last.point.nM.13C.per.h,uptake.overall.nM.15N.per.h,uptake.since.last.point.nM.15N.per.h
0,0,GBTFate2MT0,(3-Carboxypropyl)trimethylammonium_13C-5 15N-1,Fate2,GBTFate2MT5,5,1300,5.75,6,(3-Carboxypropyl)trimethylammonium,5,1,7,1,4.2211939927852966e-4,5.290114539776713e-4,8.442387985570593e-5,1.0580229079553427e-4,8.816857566294522e-5,9.200199199611675e-5,1.7633715132589047e-5,1.840039839922335e-5
0,0,GBTFate2MT0,Carnitine_13C-5 15N-1,Fate2,GBTFate2MT5,5,1300,5.75,6,Carnitine,5,1,7,1,2.448892919378194e-4,1.4138689862195687e-4,4.897785838756387e-5,2.8277379724391373e-5,2.3564483103659477e-5,2.4589025847296845e-5,4.712896620731895e-6,4.917805169459369e-6
0,0,GBTFate2MT0,Choline_13C-5 15N-1,Fate2,GBTFate2MT5,5,1300,5.75,6,Choline,5,1,5,1,7.476390530853007e-4,0.0012051928373772681,1.4952781061706015e-4,2.4103856747545362e-4,2.0086547289621136e-4,2.095987543264814e-4,4.017309457924227e-5,4.191975086529628e-5
2.5080130731952916e-5,8.360043577317639e-6,GBTFate2MT0,Creatine_13C-3 15N-1,Fate2,GBTFate2MT5,5,1300,5.75,6,Creatine,3,1,4,3,7.05769970768035e-5,7.303802542930384e-4,2.352566569226784e-5,2.4346008476434615e-4,1.2173004238217308e-4,1.226608910541018e-4,4.057668079405769e-5,4.0886963684700617e-5
0,0,GBTFate2MT0,Glycerophosphocholine_13C-5 15N-1,Fate2,GBTFate2MT5,5,1300,5.75,6,Glycerophosphocholine,5,1,8,1,0.0016116582533562066,0.0032209286916245238,3.2233165067124136e-4,6.441857383249047e-4,5.368214486040873e-4,5.601615115868737e-4,1.0736428972081746e-4,1.1203230231737473e-4
0.5657778218037529,0.11315556436075058,GBTFate2MT0,Glycine betaine_13C-5 15N-1,Fate2,GBTFate2MT5,5,1300,5.75,6,Glycine betaine,5,1,5,1,1.1646375464769008,3.793697600647353,0.23292750929538017,0.7587395201294707,0.6322829334412255,0.5613773528423652,0.1264565866882451,0.11227547056847306
0,0.0044954374840146544,GBTFate2MT0,L-Glutamic acid_13C-0 15N-1,Fate2,GBTFate2MT5,5,1300,5.75,6,L-Glutamic acid,0,1,5,1,0,0,0.005904798029739511,0.011730115144273303,0,0,0.001955019190712217,0.0012582048104797649
0.10760422781408499,0,GBTFate2MT0,L-Glutamic acid_13C-1 15N-0,Fate2,GBTFate2MT5,5,1300,5.75,6,L-Glutamic acid,1,0,5,1,0.05563070601571777,0.13230797105199557,0,0,0.022051328508665927,0.004296303171810536,0,0
0,0,GBTFate2MT0,L-Glutamic acid_13C-1 15N-1,Fate2,GBTFate2MT5,5,1300,5.75,6,L-Glutamic acid,1,1,5,1,9.777810208844532e-5,8.80531700821808e-5,9.777810208844532e-5,8.80531700821808e-5,1.4675528347030132e-5,1.5313594796901006e-5,1.4675528347030132e-5,1.5313594796901006e-5
0,7.890404067358366e-4,GBTFate2MT0,L-Glutamine_13C-0 15N-1,Fate2,GBTFate2MT5,5,1300,5.75,6,L-Glutamine,0,1,5,2,0,0,2.0056238119187944e-5,0.0010046418757835099,0,0,1.6744031263058498e-4,3.7495907660464915e-5
0.008503033890724161,0,GBTFate2MT0,L-Glutamine_13C-1 15N-0,Fate2,GBTFate2MT5,5,1300,5.75,6,L-Glutamine,1,0,5,2,5.176451776657939e-4,0.005169677681915766,0,0,8.61612946985961e-4,-5.797141232710253e-4,0,0
1.6122401373329365e-4,5.3741337911097886e-5,GBTFate2MT0,Sarcosine_13C-3 15N-1,Fate2,GBTFate2MT5,5,1300,5.75,6,Sarcosine,3,1,3,1,0.011713779304515453,0.020908314507077745,0.003904593101505151,0.006969438169025915,0.0034847190845129577,0.0036081896510164265,0.0011615730281709859,0.0012027298836721422
0,0,GBTFate2MT0,Trimethylamine N-oxide_13C-3 15N-1,Fate2,GBTFate2MT5,5,1300,5.75,6,Trimethylamine N-oxide,3,1,3,1,2.6519076269995365e-4,4.920035890070283e-4,8.839692089998455e-5,1.6400119633567611e-4,8.200059816783806e-5,8.556584156643972e-5,2.7333532722612687e-5,2.8521947188813236e-5
0.002217914097144699,4.435828194289398e-4,GBTFate2MT12,(3-Carboxypropyl)trimethylammonium_13C-5 15N-1,Fate2,GBTFate2MT24,24,700,12,25,(3-Carboxypropyl)trimethylammonium,5,1,7,1,0.0024222635064150566,0.004604862072542391,4.844527012830114e-4,9.209724145084782e-4,1.8419448290169565e-4,1.9891233128314098e-4,3.683889658033913e-5,3.9782466256628195e-5
0.0011853962808618696,2.3707925617237393e-4,GBTFate2MT12,Carnitine_13C-5 15N-1,Fate2,GBTFate2MT24,24,700,12,25,Carnitine,5,1,7,1,0.0011761594632260254,0.0024460769910911334,2.352318926452051e-4,4.892153982182267e-4,9.784307964364533e-5,1.0505672585243865e-4,1.9568615928729067e-5,2.101134517048773e-5
