Experiment,Timepoint,replicate,type,Protein Name,all.area,Conc.All.uM.in.vial,Replicate Name,Precursor Ion Name,Retention Time,Area,Background,Height,Fraction1,N.lab,C.lab,runDate,SampID,ionization,Blk.flag,ppm.flag,size.flag,RT.check,all.flags,rawArea,iso.mz,RT..min.,Column,Blk.Max.Area,Area.less.blk,Area.filled.w.background,MID,Conc.uM.in.vial,Time of day,Vol Filtered (L),Incubation time (hr),Time since last sample (hr),nM.in.sample
Fate1,0,A,Smp,Butyrylcarnitine,177010,3.2692023106434834e-4,200612_Smp_GBTFate1MT0-pos_A,Butyrylcarnitine_13C-0 15N-0,1.37,191349,0,53071,CyanoAq,0,0,200612,GBTFate1MT0,pos,ok,ok,ok,ok,all ok,191349,232.154884,1.34,RP,24174,167175,167175,0.9444381673351788,3.087559438912063e-4,900,2,0.5,0,7.632035258398766e-5
Fate1,0,A,Smp,Butyrylcarnitine,177010,3.2692023106434834e-4,200612_Smp_GBTFate1MT0-pos_A,Butyrylcarnitine_13C-1 15N-0,1.37,11898,0,9314,CyanoAq,0,1,200612,GBTFate1MT0,pos,ok,ok,ok,ok,all ok,11898,233.158238,1.34,RP,2063,9835,9835,0.0555618326648212,1.8164287173142004e-5,900,2,0.5,0,4.489969598705062e-6
Fate1,0,B,Smp,Butyrylcarnitine,220142,3.62295008203902e-4,200612_Smp_GBTFate1MT0-pos_B,Butyrylcarnitine_13C-0 15N-0,1.37,230882,0,73715,CyanoAq,0,0,200612,GBTFate1MT0,pos,ok,ok,ok,ok,all ok,230882,232.154884,1.34,RP,24174,206708,206708,0.9389757520146087,3.4018622777939775e-4,900,2,0.5,0,8.408949969069673e-5
Fate1,0,B,Smp,Butyrylcarnitine,220142,3.62295008203902e-4,200612_Smp_GBTFate1MT0-pos_B,Butyrylcarnitine_13C-1 15N-0,1.37,15497,0,8554,CyanoAq,0,1,200612,GBTFate1MT0,pos,ok,ok,ok,ok,all ok,15497,233.158238,1.34,RP,2063,13434,13434,0.061024247985391245,2.2108780424504273e-5,900,2,0.5,0,5.4649957371984635e-6
Fate1,0,C,Smp,Butyrylcarnitine,278500,4.039519795279026e-4,200612_Smp_GBTFate1MT0-pos_C,Butyrylcarnitine_13C-0 15N-0,1.38,288319,0,67010,CyanoAq,0,0,200612,GBTFate1MT0,pos,ok,ok,ok,ok,all ok,288319,232.154884,1.34,RP,24174,264145,264145,0.9484560143626571,3.8313068449694017e-4,900,1.95,0.5,0,9.713312492155588e-5
Fate1,0,C,Smp,Butyrylcarnitine,278500,4.039519795279026e-4,200612_Smp_GBTFate1MT0-pos_C,Butyrylcarnitine_13C-1 15N-0,1.36,16418,0,8906,CyanoAq,0,1,200612,GBTFate1MT0,pos,ok,ok,ok,ok,all ok,16418,233.158238,1.34,RP,2063,14355,14355,0.05154398563734291,2.0821295030962445e-5,900,1.95,0.5,0,5.278714373730089e-6
Fate1,12,A,Smp,Butyrylcarnitine,178087,2.8521877627347427e-4,200612_Smp_GBTFate1MT12-pos_A,Butyrylcarnitine_13C-0 15N-0,1.37,189521,0,57546,CyanoAq,0,0,200612,GBTFate1MT12,pos,ok,ok,ok,ok,all ok,189521,232.154884,1.34,RP,24174,165347,165347,0.9284619315278487,2.6481477592687927e-4,1930,2,12.5,3.5,6.545868174544553e-5
Fate1,12,A,Smp,Butyrylcarnitine,178087,2.8521877627347427e-4,200612_Smp_GBTFate1MT12-pos_A,Butyrylcarnitine_13C-1 15N-0,1.37,14803,0,10046,CyanoAq,0,1,200612,GBTFate1MT12,pos,ok,ok,ok,ok,all ok,14803,233.158238,1.34,RP,2063,12740,12740,0.07153806847215124,2.040400034659499e-5,1930,2,12.5,3.5,5.043596832340327e-6
Fate1,12,B,Smp,Butyrylcarnitine,350379,4.979151356822502e-4,200612_Smp_GBTFate1MT12-pos_B,Butyrylcarnitine_13C-0 15N-0,1.36,347409,0,104514,CyanoAq,0,0,200612,GBTFate1MT12,pos,ok,ok,ok,ok,all ok,347409,232.154884,1.34,RP,24174,323235,323235,0.9225296036577535,4.593414527761428e-4,1930,2,12.5,3.5,1.1354308257355881e-4
Fate1,12,B,Smp,Butyrylcarnitine,350379,4.979151356822502e-4,200612_Smp_GBTFate1MT12-pos_B,Butyrylcarnitine_13C-1 15N-0,1.37,29207,0,11282,CyanoAq,0,1,200612,GBTFate1MT12,pos,ok,ok,ok,ok,all ok,29207,233.158238,1.34,RP,2063,27144,27144,0.07747039634224653,3.857368290610738e-5,1930,2,12.5,3.5,9.534900098617663e-6
Fate1,12,C,Smp,Butyrylcarnitine,128422,1.7218130276083917e-4,200612_Smp_GBTFate1MT12-pos_C,Butyrylcarnitine_13C-0 15N-0,1.37,146788,0,36416,CyanoAq,0,0,200612,GBTFate1MT12,pos,ok,ok,ok,ok,all ok,146788,232.154884,1.34,RP,24174,122614,122614,0.9547741041254614,1.6439424909063505e-4,1930,2,12.5,3.5,4.063606645188377e-5
Fate1,12,C,Smp,Butyrylcarnitine,128422,1.7218130276083917e-4,200612_Smp_GBTFate1MT12-pos_C,Butyrylcarnitine_13C-1 15N-0,1.37,7871,0,4456,CyanoAq,0,1,200612,GBTFate1MT12,pos,ok,ok,ok,ok,all ok,7871,233.158238,1.34,RP,2063,5808,5808,0.04522589587453863,7.787053670204123e-6,1930,2,12.5,3.5,1.92485583989219e-6
Fate1,36,A,Smp,Butyrylcarnitine,403215,5.449912485022481e-4,200612_Smp_GBTFate1MT36-pos_A,Butyrylcarnitine_13C-0 15N-0,1.37,402066,0,124000,CyanoAq,0,0,200612,GBTFate1MT36,pos,ok,ok,ok,ok,all ok,402066,232.154884,1.34,RP,24174,377892,377892,0.9371972768870206,5.107643140235645e-4,1900,2,36,23.5,1.262541282357715e-4
Fate1,36,A,Smp,Butyrylcarnitine,403215,5.449912485022481e-4,200612_Smp_GBTFate1MT36-pos_A,Butyrylcarnitine_13C-1 15N-0,1.37,27386,0,10320,CyanoAq,0,1,200612,GBTFate1MT36,pos,ok,ok,ok,ok,all ok,27386,233.158238,1.34,RP,2063,25323,25323,0.06280272311297942,3.4226934478683644e-5,1900,2,36,23.5,8.460441844004215e-6
Fate1,36,B,Smp,Butyrylcarnitine,216956,2.6967938906566406e-4,200612_Smp_GBTFate1MT36-pos_B,Butyrylcarnitine_13C-0 15N-0,1.37,232815,0,58023,CyanoAq,0,0,200612,GBTFate1MT36,pos,ok,ok,ok,ok,all ok,232815,232.154884,1.34,RP,24174,208641,208641,0.9616742565312782,2.593437259815318e-4,1900,2,36,23.5,6.410631114628824e-5
Fate1,36,B,Smp,Butyrylcarnitine,216956,2.6967938906566406e-4,200612_Smp_GBTFate1MT36-pos_B,Butyrylcarnitine_13C-1 15N-0,1.38,10378,0,6052,CyanoAq,0,1,200612,GBTFate1MT36,pos,ok,ok,ok,ok,all ok,10378,233.158238,1.34,RP,2063,8315,8315,0.038325743468721765,1.0335663084132251e-5,1900,2,36,23.5,2.5548381055563708e-6
Fate1,36,C,Smp,Butyrylcarnitine,328708,4.585508432836249e-4,200612_Smp_GBTFate1MT36-pos_C,Butyrylcarnitine_13C-0 15N-0,1.36,335343,0,87906,CyanoAq,0,0,200612,GBTFate1MT36,pos,ok,ok,ok,ok,all ok,335343,232.154884,1.34,RP,24174,311169,311169,0.9466426128965526,4.3408376843192826e-4,1900,2,36,23.5,1.0729971977279359e-4
Fate1,36,C,Smp,Butyrylcarnitine,328708,4.585508432836249e-4,200612_Smp_GBTFate1MT36-pos_C,Butyrylcarnitine_13C-1 15N-0,1.36,19602,0,6435,CyanoAq,0,1,200612,GBTFate1MT36,pos,ok,ok,ok,ok,all ok,19602,233.158238,1.34,RP,2063,17539,17539,0.05335738710344744,2.4467074851696633e-5,1900,2,36,23.5,6.047934675674718e-6
Fate1,4,A,Smp,Butyrylcarnitine,202899,3.3307631605327065e-4,200612_Smp_GBTFate1MT4-pos_A,Butyrylcarnitine_13C-0 15N-0,1.37,214094,8100,61530,CyanoAq,0,0,200612,GBTFate1MT4,pos,ok,ok,ok,ok,all ok,214094,232.154884,1.34,RP,24174,189920,189920,0.9360322130715282,3.117701612370547e-4,1200,2,4.5,4.25,7.706542692231676e-5
Fate1,4,A,Smp,Butyrylcarnitine,202899,3.3307631605327065e-4,200612_Smp_GBTFate1MT4-pos_A,Butyrylcarnitine_13C-1 15N-0,1.36,15042,0,7319,CyanoAq,0,1,200612,GBTFate1MT4,pos,ok,ok,ok,ok,all ok,15042,233.158238,1.34,RP,2063,12979,12979,0.0639677869284718,2.1306154816215947e-5,1200,2,4.5,4.25,5.266597388504366e-6
Fate1,4,B,Smp,Butyrylcarnitine,245416,3.4759240158258416e-4,200612_Smp_GBTFate1MT4-pos_B,Butyrylcarnitine_13C-0 15N-0,1.37,253220,0,62140,CyanoAq,0,0,200612,GBTFate1MT4,pos,ok,ok,ok,ok,all ok,253220,232.154884,1.34,RP,24174,229046,229046,0.9332969325553346,3.2440692217656787e-4,1200,2,4.5,4.25,8.018906573641856e-5
Fate1,4,B,Smp,Butyrylcarnitine,245416,3.4759240158258416e-4,200612_Smp_GBTFate1MT4-pos_B,Butyrylcarnitine_13C-1 15N-0,1.38,18433,0,8421,CyanoAq,0,1,200612,GBTFate1MT4,pos,ok,ok,ok,ok,all ok,18433,233.158238,1.34,RP,2063,16370,16370,0.06670306744466538,2.3185479406016325e-5,1200,2,4.5,4.25,5.731141369441822e-6
Fate1,4,C,Smp,Butyrylcarnitine,169952,0.00028969418388117483,200612_Smp_GBTFate1MT4-pos_C,Butyrylcarnitine_13C-0 15N-0,1.37,194126,0,49441,CyanoAq,0,0,200612,GBTFate1MT4,pos,ok,ok,ok,ok,all ok,194126,232.154884,1.34,RP,24174,169952,169952,1,0.00028969418388117483,1200,2,4.5,4.25,7.1608539666308e-5
