Experiment,Timepoint,replicate,type,Protein Name,all.area,Conc.All.uM.in.vial,Replicate Name,Precursor Ion Name,Retention Time,Area,Background,Height,Fraction1,N.lab,C.lab,runDate,SampID,ionization,Blk.flag,ppm.flag,size.flag,RT.check,all.flags,rawArea,iso.mz,RT..min.,Column,Blk.Max.Area,Area.less.blk,Area.filled.w.background,MID,Conc.uM.in.vial,Time of day,Vol Filtered (L),Incubation time (hr),Time since last sample (hr),nM.in.sample
Fate1,0,A,Smp,"(R)-2,3-Dihydroxypropane-1-sulfonate",90480544,1.2508089668041442,200605_Smp_GBTFate1MT0-IS_A,"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0",8.95,90480544,0,1827252,HILICNeg,0,0,200605,GBTFate1MT0,IS,ok,ok,ok,ok,all ok,90480544,155.001422,10.67,HILIC,0,90480544,90480544,1,1.2508089668041442,900,2,0.5,0,0.3091832991410937
Fate1,0,A,Smp,"(R)-2,3-Dihydroxypropane-1-sulfonate",90480544,1.2508089668041442,200605_Smp_GBTFate1MT0-IS_A,"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-1",NA,NA,NA,NA,HILICNeg,0,1,200605,GBTFate1MT0,IS,NA,NA,NA,bad RT,something is wrong,NA,156.004776,10.67,HILIC,0,NA,0,0,0,900,2,0.5,0,0
Fate1,0,A,Smp,"(R)-2,3-Dihydroxypropane-1-sulfonate",54677493,1.2648580712363657,200605_Smp_GBTFate1MT0-neg_A,"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0",8.95,54070176,0,1331663,HILICNeg,0,0,200605,GBTFate1MT0,neg,ok,ok,ok,ok,all ok,54070176,155.001422,10.67,HILIC,0,54070176,54070176,0.988892742394023,1.2508089668041442,900,2,0.5,0,0.3091832991410937
Fate1,0,A,Smp,"(R)-2,3-Dihydroxypropane-1-sulfonate",54677493,1.2648580712363657,200605_Smp_GBTFate1MT0-neg_A,"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-1",8.87,607317,0,47806,HILICNeg,0,1,200605,GBTFate1MT0,neg,ok,ok,ok,ok,all ok,607317,156.004776,10.67,HILIC,0,607317,607317,0.011107257605976924,0.014049104432221425,900,2,0.5,0,0.0034727512942527065
Fate1,0,B,Smp,"(R)-2,3-Dihydroxypropane-1-sulfonate",76511056,1.2340864395837101,200605_Smp_GBTFate1MT0-IS_B,"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0",9.15,76511056,0,1795183,HILICNeg,0,0,200605,GBTFate1MT0,IS,ok,ok,ok,ok,all ok,76511056,155.001422,10.67,HILIC,0,76511056,76511056,1,1.2340864395837101,900,2,0.5,0,0.30504971337923203
Fate1,0,B,Smp,"(R)-2,3-Dihydroxypropane-1-sulfonate",76511056,1.2340864395837101,200605_Smp_GBTFate1MT0-IS_B,"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-1",NA,NA,NA,NA,HILICNeg,0,1,200605,GBTFate1MT0,IS,NA,NA,NA,bad RT,something is wrong,NA,156.004776,10.67,HILIC,0,NA,0,0,0,900,2,0.5,0,0
Fate1,0,B,Smp,"(R)-2,3-Dihydroxypropane-1-sulfonate",49693250,1.2466295372650917,200605_Smp_GBTFate1MT0-neg_B,"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0",9.19,49193256,0,1512024,HILICNeg,0,0,200605,GBTFate1MT0,neg,ok,ok,ok,ok,all ok,49193256,155.001422,10.67,HILIC,0,49193256,49193256,0.9899383920351356,1.2340864395837101,900,2,0.5,0,0.30504971337923203
Fate1,0,B,Smp,"(R)-2,3-Dihydroxypropane-1-sulfonate",49693250,1.2466295372650917,200605_Smp_GBTFate1MT0-neg_B,"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-1",8.9,499994,0,38646,HILICNeg,0,1,200605,GBTFate1MT0,neg,ok,ok,ok,ok,all ok,499994,156.004776,10.67,HILIC,0,499994,499994,0.010061607964864444,0.012543097681381723,900,2,0.5,0,0.003100486505535144
Fate1,0,C,Smp,"(R)-2,3-Dihydroxypropane-1-sulfonate",119143153,2.0102841460293193,200605_Smp_GBTFate1MT0-IS_C,"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0",8.92,119084992,0,2060897,HILICNeg,0,0,200605,GBTFate1MT0,IS,ok,ok,ok,ok,all ok,119084992,155.001422,10.67,HILIC,0,119084992,119084992,0.9995118393417035,2.0093028043972305,900,1.95,0.5,0,0.5094080641466019
Fate1,0,C,Smp,"(R)-2,3-Dihydroxypropane-1-sulfonate",119143153,2.0102841460293193,200605_Smp_GBTFate1MT0-IS_C,"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-1",9.14,58161,0,58862,HILICNeg,0,1,200605,GBTFate1MT0,IS,ok,ok,ok,ok,all ok,58161,156.004776,10.67,HILIC,0,58161,58161,4.881606582964948e-4,9.813416320886793e-4,900,1.95,0.5,0,2.487944275868995e-4
