Experiment,Timepoint,replicate,type,Protein Name,all.area,Conc.All.uM.in.vial,Replicate Name,Precursor Ion Name,Retention Time,Area,Background,Height,Fraction1,N.lab,C.lab,runDate,SampID,ionization,Blk.flag,ppm.flag,size.flag,RT.check,all.flags,rawArea,iso.mz,RT..min.,Column,Blk.Max.Area,Area.less.blk,Area.filled.w.background,MID,Conc.uM.in.vial,Time of day,Vol Filtered (L),Incubation time (hr),Time since last sample (hr),nM.in.sample,total.GBT.nM.in.sample,total.GBT.nM.in.sample.sd,GBT.nM.sd
Fate1,0,A,Smp,Butyrylcarnitine,177010,3.2692023106434834e-4,200612_Smp_GBTFate1MT0-pos_A,Butyrylcarnitine_13C-0 15N-0,1.37,191349,0,53071,CyanoAq,0,0,200612,GBTFate1MT0,pos,ok,ok,ok,ok,all ok,191349,232.154884,1.34,RP,24174,167175,167175,0.9444381673351788,3.087559438912063e-4,900,2,0.5,0,7.632035258398766e-5,NA,NA,NA
Fate1,0,A,Smp,Butyrylcarnitine,177010,3.2692023106434834e-4,200612_Smp_GBTFate1MT0-pos_A,Butyrylcarnitine_13C-1 15N-0,1.37,11898,0,9314,CyanoAq,0,1,200612,GBTFate1MT0,pos,ok,ok,ok,ok,all ok,11898,233.158238,1.34,RP,2063,9835,9835,0.0555618326648212,1.8164287173142004e-5,900,2,0.5,0,4.489969598705062e-6,NA,NA,NA
Fate1,0,B,Smp,Butyrylcarnitine,220142,3.62295008203902e-4,200612_Smp_GBTFate1MT0-pos_B,Butyrylcarnitine_13C-0 15N-0,1.37,230882,0,73715,CyanoAq,0,0,200612,GBTFate1MT0,pos,ok,ok,ok,ok,all ok,230882,232.154884,1.34,RP,24174,206708,206708,0.9389757520146087,3.4018622777939775e-4,900,2,0.5,0,8.408949969069673e-5,NA,NA,NA
Fate1,0,B,Smp,Butyrylcarnitine,220142,3.62295008203902e-4,200612_Smp_GBTFate1MT0-pos_B,Butyrylcarnitine_13C-1 15N-0,1.37,15497,0,8554,CyanoAq,0,1,200612,GBTFate1MT0,pos,ok,ok,ok,ok,all ok,15497,233.158238,1.34,RP,2063,13434,13434,0.061024247985391245,2.2108780424504273e-5,900,2,0.5,0,5.4649957371984635e-6,NA,NA,NA
Fate1,0,C,Smp,Butyrylcarnitine,278500,4.039519795279026e-4,200612_Smp_GBTFate1MT0-pos_C,Butyrylcarnitine_13C-0 15N-0,1.38,288319,0,67010,CyanoAq,0,0,200612,GBTFate1MT0,pos,ok,ok,ok,ok,all ok,288319,232.154884,1.34,RP,24174,264145,264145,0.9484560143626571,3.8313068449694017e-4,900,1.95,0.5,0,9.713312492155588e-5,NA,NA,NA
Fate1,0,C,Smp,Butyrylcarnitine,278500,4.039519795279026e-4,200612_Smp_GBTFate1MT0-pos_C,Butyrylcarnitine_13C-1 15N-0,1.36,16418,0,8906,CyanoAq,0,1,200612,GBTFate1MT0,pos,ok,ok,ok,ok,all ok,16418,233.158238,1.34,RP,2063,14355,14355,0.05154398563734291,2.0821295030962445e-5,900,1.95,0.5,0,5.278714373730089e-6,NA,NA,NA
Fate1,12,A,Smp,Butyrylcarnitine,178087,2.8521877627347427e-4,200612_Smp_GBTFate1MT12-pos_A,Butyrylcarnitine_13C-0 15N-0,1.37,189521,0,57546,CyanoAq,0,0,200612,GBTFate1MT12,pos,ok,ok,ok,ok,all ok,189521,232.154884,1.34,RP,24174,165347,165347,0.9284619315278487,2.6481477592687927e-4,1930,2,12.5,3.5,6.545868174544553e-5,NA,NA,NA
Fate1,12,A,Smp,Butyrylcarnitine,178087,2.8521877627347427e-4,200612_Smp_GBTFate1MT12-pos_A,Butyrylcarnitine_13C-1 15N-0,1.37,14803,0,10046,CyanoAq,0,1,200612,GBTFate1MT12,pos,ok,ok,ok,ok,all ok,14803,233.158238,1.34,RP,2063,12740,12740,0.07153806847215124,2.040400034659499e-5,1930,2,12.5,3.5,5.043596832340327e-6,NA,NA,NA
Fate1,12,B,Smp,Butyrylcarnitine,350379,4.979151356822502e-4,200612_Smp_GBTFate1MT12-pos_B,Butyrylcarnitine_13C-0 15N-0,1.36,347409,0,104514,CyanoAq,0,0,200612,GBTFate1MT12,pos,ok,ok,ok,ok,all ok,347409,232.154884,1.34,RP,24174,323235,323235,0.9225296036577535,4.593414527761428e-4,1930,2,12.5,3.5,1.1354308257355881e-4,NA,NA,NA
Fate1,12,B,Smp,Butyrylcarnitine,350379,4.979151356822502e-4,200612_Smp_GBTFate1MT12-pos_B,Butyrylcarnitine_13C-1 15N-0,1.37,29207,0,11282,CyanoAq,0,1,200612,GBTFate1MT12,pos,ok,ok,ok,ok,all ok,29207,233.158238,1.34,RP,2063,27144,27144,0.07747039634224653,3.857368290610738e-5,1930,2,12.5,3.5,9.534900098617663e-6,NA,NA,NA
