Time incubated,Experiment,Treatment,replicate,Vol Filtered (L),dilution.factor
0,K1,0,A,2,10
45,K1,2,A,2,10
42,K1,5,A,2,10
40,K1,10,A,1.85,10
36,K1,50,A,1.85,10
37,K1,200,A,2,10
40,K1,2000,A,2,10
0,K1,0,B,2,10
47,K1,2,B,2,10
47,K1,2,B4,2,10
47,K1,2,B1,2,10
47,K1,2,B7,2,10
47,K1,2,B11,2,10
45,K1,5,B,2,10
45,K1,10,B,2,10
40,K1,50,B,2,10
42,K1,200,B,2,10
39,K1,2000,B,2,10
0,K1,0,C,2,10
43,K1,2,C,2,10
50,K1,5,C,2,10
41,K1,10,C,2,10
47,K1,50,C,2,10
42,K1,200,C,2,10
48,K1,2000,C,2,10
0,MBlk,0,0,2,10
43,MBlk,2,2,2,10
50,MBlk,5,5,2,10
41,MBlk,10,10,2,10
47,MBlk,50,50,2,10
42,MBlk,200,200,2,10
48,MBlk,2000,2000,2,10
0,K2,0,A,2,10
42,K2,2,A,2,10
50,K2,5,A,2,10
40,K2,10,A,1.65,10
47,K2,50,A,2,10
41,K2,200,A,2,10
41,K2,2000,A,2,10
0,K2,0,B,2,10
48,K2,2,B,2,10
43,K2,5,B,2,10
41,K2,10,B,2,10
41,K2,50,B,2,10
43,K2,200,B,2,10
43,K2,2000,B,2,10
0,K2,0,C,2,10
44,K2,2,C,2,10
48,K2,5,C,2,10
42,K2,10,C,2,10
50,K2,50,C,2,10
40,K2,200,C,2,10
52,K2,2000,C,2,10
52,K2,2000,C1,2,10
52,K2,2000,C11,2,10
52,K2,2000,C4,2,10
52,K2,2000,C7,2,10
