time,lat,lon,depth,CTD_Chloropigment
2019-04-10T06:56:11.000Z,21.342,-158.273,11.6,0.8492
2019-04-10T06:56:17.000Z,21.342,-158.273,12,0.8491
2019-04-10T06:56:22.000Z,21.342,-158.273,11.3,0.8491
2019-04-10T06:56:26.000Z,21.342,-158.273,11.9,0.8494
2019-04-10T06:56:29.000Z,21.342,-158.273,11.5,0.8491
2019-04-10T06:56:33.000Z,21.342,-158.273,11.5,0.8492
2019-04-10T06:56:38.000Z,21.342,-158.273,12,0.8492
2019-04-10T06:56:41.000Z,21.342,-158.273,11.3,0.8490000000000001
2019-04-10T06:56:45.000Z,21.342,-158.273,11.6,0.8492
2019-04-10T06:56:49.000Z,21.342,-158.273,11.7,0.8493
2019-04-10T06:56:53.000Z,21.342,-158.273,11.6,0.8492
2019-04-10T06:56:57.000Z,21.342,-158.273,11.6,0.8492
2019-04-10T06:57:00.000Z,21.342,-158.273,11.2,0.8490000000000001
2019-04-10T06:57:04.000Z,21.342,-158.273,12.1,0.8488
2019-04-10T06:57:08.000Z,21.342,-158.273,11.3,0.8491
2019-04-10T06:57:12.000Z,21.342,-158.273,11.7,0.8493
2019-04-10T06:57:17.000Z,21.342,-158.273,11.5,0.8491
2019-04-10T06:57:21.000Z,21.342,-158.273,11.9,0.8494
2019-04-10T06:57:25.000Z,21.342,-158.273,11.3,0.8490000000000001
2019-04-10T06:57:29.000Z,21.342,-158.273,11.8,0.8493
2019-04-10T06:57:48.000Z,21.342,-158.273,12,0.8492
2019-04-10T06:57:53.000Z,21.342,-158.273,11.2,0.8490000000000001
2019-04-10T06:57:58.000Z,21.342,-158.273,11.9,0.8494
2019-04-10T06:58:12.000Z,21.342,-158.273,11.2,0.8490000000000001
2019-04-13T05:24:06.000Z,31.090999999999998,-158.001,14.8,0.218
2019-04-13T05:24:20.000Z,31.090999999999998,-158.001,17.7,0.2168
2019-04-13T05:24:36.000Z,31.090999999999998,-158.001,19.3,0.2173
2019-04-13T05:25:38.000Z,31.090999999999998,-158.001,9.2,0.21600000000000003
2019-04-13T07:17:50.000Z,31.090999999999998,-158.001,17.6,0.2164
2019-04-13T07:18:40.000Z,31.090999999999998,-158.001,6.4,0.2159
2019-04-15T00:09:52.000Z,36.91,-158.001,14.1,0.3738
2019-04-15T00:09:55.000Z,36.91,-158.001,14.9,0.3773
