value.name,coeff,Model,Value
sigma,model.summary,model_1,546.5887129947147
adj.r.sqrd,model.summary,model_1,0.8823704551815195
total.cor,model.summary,model_1,0.9419509999015996
Estimate,(Intercept),model_1,112.61193448299181
Estimate,x,model_1,2.294453206119485
Std. Error,(Intercept),model_1,118.7753541250376
Std. Error,x,model_1,0.17053105579410502
t value,(Intercept),model_1,0.9481085980551369
t value,x,model_1,13.454752833347557
Pr(>|t|),(Intercept),model_1,0.3529303277167827
Pr(>|t|),x,model_1,2.1803503055941e-12
sigma,model.summary,model_2,267.4829898959881
adj.r.sqrd,model.summary,model_2,0.9582188663870744
total.cor,model.summary,model_2,0.979775355351562
Estimate,(Intercept),model_2,143.16420371086988
Estimate,x,model_2,1.9596612867315137
Std. Error,(Intercept),model_2,58.12484980389093
Std. Error,x,model_2,0.08345243066584845
t value,(Intercept),model_2,2.4630464284018907
t value,x,model_2,23.482375181834854
Pr(>|t|),(Intercept),model_2,0.02168696877172966
Pr(>|t|),x,model_2,1.4230561298849287e-17
sigma,model.summary,model_3,377.7289941877954
adj.r.sqrd,model.summary,model_3,0.9348814154915173
total.cor,model.summary,model_3,0.9682947329434554
Estimate,(Intercept),model_3,207.61570484623545
Estimate,x,model_3,2.19070479240519
Std. Error,(Intercept),model_3,82.081634657508
Std. Error,x,model_3,0.11784825162226313
t value,(Intercept),model_3,2.5293807282533796
t value,x,model_3,18.58920062239885
Pr(>|t|),(Intercept),model_3,0.018736770038158282
Pr(>|t|),x,model_3,2.3672707498952114e-15
sigma,model.summary,model_4,581.489106001305
adj.r.sqrd,model.summary,model_4,0.9321318710848245
total.cor,model.summary,model_4,0.9669331464944323
Estimate,(Intercept),model_4,118.09845417025517
Estimate,x,model_4,3.298781385656942
Std. Error,(Intercept),model_4,126.35931339808764
Std. Error,x,model_4,0.18141968324935323
t value,(Intercept),model_4,0.9346240573355514
t value,x,model_4,18.183150397870083
Pr(>|t|),(Intercept),model_4,0.3596916661992646
Pr(>|t|),x,model_4,3.813801665365135e-15
sigma,model.summary,model_5,420.6193003311886
adj.r.sqrd,model.summary,model_5,0.9514904557446993
total.cor,model.summary,model_5,0.9764792300685852
Estimate,(Intercept),model_5,158.59054990198018
Estimate,x,model_5,2.8502768928041853
Std. Error,(Intercept),model_5,91.40182583526118
Std. Error,x,model_5,0.13122966440316694
t value,(Intercept),model_5,1.7350917058026516
t value,x,model_5,21.71976058741944
Pr(>|t|),(Intercept),model_5,0.09610698933000897
Pr(>|t|),x,model_5,7.948851241780254e-17
sigma,model.summary,model_6,240.11137176695186
adj.r.sqrd,model.summary,model_6,0.9687289379662297
total.cor,model.summary,model_6,0.984901974251399
Estimate,(Intercept),model_6,178.7180417188225
Estimate,x,model_6,2.044009282689654
Std. Error,(Intercept),model_6,52.17691571934093
Std. Error,x,model_6,0.07491271729935099
t value,(Intercept),model_6,3.425232006432594
t value,x,model_6,27.28521079434082
Pr(>|t|),(Intercept),model_6,0.002312595013244739
Pr(>|t|),x,model_6,5.058362387020791e-19
sigma,model.summary,model_7,413.6466001440458
adj.r.sqrd,model.summary,model_7,0.9302646958791027
total.cor,model.summary,model_7,0.9660074189936674
Estimate,(Intercept),model_7,171.47948634535413
Estimate,x,model_7,2.3127677020444457
Std. Error,(Intercept),model_7,89.88663733201155
Std. Error,x,model_7,0.12905424091493856
t value,(Intercept),model_7,1.9077305752574274
t value,x,model_7,17.920896559833498
Pr(>|t|),(Intercept),model_7,0.06898833136662134
