value.name,coeff,Model,Value
sigma,model.summary,model_1,0.1763339545999735
resid.sum.sqrs,model.summary,model_1,0.7151542615319069
total.cor,model.summary,model_1,0.777674428417766
Iterations,model.summary,model_1,9
Estimate,a,model_1,18.03823698138448
Estimate,b,model_1,0.5709922049971424
Std. Error,a,model_1,10.184571287348453
Std. Error,b,model_1,0.05997382829232739
t value,a,model_1,1.7711336562386342
t value,b,model_1,9.520689628382302
Pr(>|t|),a,model_1,0.08979109115000444
Pr(>|t|),b,model_1,1.915387757654113e-9
sigma,model.summary,model_2,0.14886043048297645
resid.sum.sqrs,model.summary,model_2,0.5096668385622725
total.cor,model.summary,model_2,0.7757299730176824
Iterations,model.summary,model_2,4
Estimate,a,model_2,7.6443920273057095
Estimate,b,model_2,0.47737741223878843
Std. Error,a,model_2,3.945599460874683
Std. Error,b,model_2,0.046229471520120906
t value,a,model_2,1.9374475547021333
t value,b,model_2,10.326257180573972
Pr(>|t|),a,model_2,0.0650657261647408
Pr(>|t|),b,model_2,4.157086519655308e-10
sigma,model.summary,model_3,0.19622591388821253
resid.sum.sqrs,model.summary,model_3,0.8856060134690766
total.cor,model.summary,model_3,0.7038483343879637
Iterations,model.summary,model_3,5
Estimate,a,model_3,3.849208490129849
Estimate,b,model_3,0.5541593340293011
Std. Error,a,model_3,2.2977206241493047
Std. Error,b,model_3,0.05782934047825809
t value,a,model_3,1.675229116052766
t value,b,model_3,9.582667369994416
Pr(>|t|),a,model_3,0.1074337337258532
Pr(>|t|),b,model_3,1.6981631180650956e-9
sigma,model.summary,model_4,0.1806097683879862
resid.sum.sqrs,model.summary,model_4,0.7502574340547264
total.cor,model.summary,model_4,0.7847649973847545
Iterations,model.summary,model_4,4
Estimate,a,model_4,17.31115641525699
Estimate,b,model_4,0.5910157518851317
Std. Error,a,model_4,9.613860096656717
Std. Error,b,model_4,0.06111160064447848
t value,a,model_4,1.8006457594777208
t value,b,model_4,9.67108937832298
Pr(>|t|),a,model_4,0.08488789305332302
Pr(>|t|),b,model_4,1.4313896062210178e-9
sigma,model.summary,model_5,0.1189651940822147
resid.sum.sqrs,model.summary,model_5,0.32551250026943723
total.cor,model.summary,model_5,0.8972021615334422
Iterations,model.summary,model_5,4
Estimate,a,model_5,12.949780189929688
