value.name,coeff,Model,Value
sigma,model.summary,model_1,0.16580248456107574
resid.sum.sqrs,model.summary,model_1,0.6047902055057667
total.cor,model.summary,model_1,0.7888495088475181
Iterations,model.summary,model_1,3
Estimate,a,model_1,9.946432961489005
Estimate,b,model_1,0.5073214882223318
Estimate,c,model_1,-0.5242052576336924
Std. Error,a,model_1,5.9317688355484774
Std. Error,b,model_1,0.05286405292044062
Std. Error,c,model_1,1.3781547789446575
t value,a,model_1,1.6768072454005727
t value,b,model_1,9.596719513462974
t value,c,model_1,-0.3803674780528718
Pr(>|t|),a,model_1,0.10773391580548856
Pr(>|t|),b,model_1,2.539292388267409e-9
Pr(>|t|),c,model_1,0.7073203700550872
sigma,model.summary,model_2,0.1555489524427521
resid.sum.sqrs,model.summary,model_2,0.5323004853328263
total.cor,model.summary,model_2,0.8291792227905709
Iterations,model.summary,model_2,4
Estimate,a,model_2,7.772243785659597
Estimate,b,model_2,0.5912465016224727
Estimate,c,model_2,0.0029870525017071255
Std. Error,a,model_2,3.844523350308529
Std. Error,b,model_2,0.04866383419434465
Std. Error,c,model_2,1.081043836752468
t value,a,model_2,2.021640416109285
t value,b,model_2,12.149607843501633
t value,c,model_2,0.002763118756294326
Pr(>|t|),a,model_2,0.05554307383476749
Pr(>|t|),b,model_2,3.132582076746021e-11
Pr(>|t|),c,model_2,0.9978202556264626
sigma,model.summary,model_3,0.226087680405631
resid.sum.sqrs,model.summary,model_3,1.1245440630863721
total.cor,model.summary,model_3,0.6868888567518815
Iterations,model.summary,model_3,7
Estimate,a,model_3,2.498696161237294
Estimate,b,model_3,0.5967677129315822
Estimate,c,model_3,-0.048804755685504624
Std. Error,a,model_3,1.7389058983393528
Std. Error,b,model_3,0.06473350101700473
Std. Error,c,model_3,0.5121005600437923
t value,a,model_3,1.4369358132740462
t value,b,model_3,9.21883883238168
t value,c,model_3,-0.09530307032144444
Pr(>|t|),a,model_3,0.16480676981977754
Pr(>|t|),b,model_3,5.190615815319098e-9
Pr(>|t|),c,model_3,0.9249368655702679
sigma,model.summary,model_4,0.18073527948913998
resid.sum.sqrs,model.summary,model_4,0.718635307544386
total.cor,model.summary,model_4,0.8118014203771701
Iterations,model.summary,model_4,12
Estimate,a,model_4,12.321459635073252
Estimate,b,model_4,0.6095583080578868
Estimate,c,model_4,-0.1871455357676449
Std. Error,a,model_4,7.263456830852632
Std. Error,b,model_4,0.059259795017164475
Std. Error,c,model_4,1.7093657510795084
t value,a,model_4,1.69636302961642
t value,b,model_4,10.286203451789355
t value,c,model_4,-0.10948244145494179
Pr(>|t|),a,model_4,0.10392332221999047
Pr(>|t|),b,model_4,7.206279399475466e-10
Pr(>|t|),c,model_4,0.9138123717875704
sigma,model.summary,model_5,0.14460898867491895
resid.sum.sqrs,model.summary,model_5,0.4600587113228224
total.cor,model.summary,model_5,0.8351197723402121
Iterations,model.summary,model_5,10
Estimate,a,model_5,38.941484193897594
Estimate,b,model_5,0.581417058743754
Estimate,c,model_5,5.2812899347474636
Std. Error,a,model_5,25.446159927215753
Std. Error,b,model_5,0.056556753693773595
Std. Error,c,model_5,6.8656831908641855
t value,a,model_5,1.5303481666893093
t value,b,model_5,10.280241010504868
t value,c,model_5,0.7692300661025266
Pr(>|t|),a,model_5,0.1401838396419771
Pr(>|t|),b,model_5,7.28343228259012e-10
Pr(>|t|),c,model_5,0.449937070469285
sigma,model.summary,model_6,0.18749048110008412
resid.sum.sqrs,model.summary,model_6,0.773358971069102
total.cor,model.summary,model_6,0.7430436071243196
Iterations,model.summary,model_6,4
Estimate,a,model_6,6.388662291326877
Estimate,b,model_6,0.5354248616700885
Estimate,c,model_6,-0.10397705142144459
Std. Error,a,model_6,4.029316146452454
Std. Error,b,model_6,0.05755221844844155
Std. Error,c,model_6,1.1423505342962583
t value,a,model_6,1.5855450550713601
t value,b,model_6,9.303287972291661
t value,c,model_6,-0.09102026768473422
Pr(>|t|),a,model_6,0.1271127405113325
Pr(>|t|),b,model_6,4.417254048689628e-9
Pr(>|t|),c,model_6,0.9283001561527607
sigma,model.summary,model_7,0.21486440697790662
resid.sum.sqrs,model.summary,model_7,1.0156676944912848
total.cor,model.summary,model_7,0.701140127359728
Iterations,model.summary,model_7,39
Estimate,a,model_7,101.94117213581892
Estimate,b,model_7,0.6700784627071821
Estimate,c,model_7,32.908309797407846
Std. Error,a,model_7,109.09630124616639
Std. Error,b,model_7,0.10336287755453856
Std. Error,c,model_7,42.10049196891437
t value,a,model_7,0.9344145582515897
t value,b,model_7,6.482776781766943
t value,c,model_7,0.7816609321740532
Pr(>|t|),a,model_7,0.36023371323577735
Pr(>|t|),b,model_7,1.6027725143257112e-6
Pr(>|t|),c,model_7,0.4427453954795928
sigma,model.summary,model_8,0.11716881158672782
resid.sum.sqrs,model.summary,model_8,0.3020276689902147
total.cor,model.summary,model_8,0.8273586603035528
Iterations,model.summary,model_8,7
Estimate,a,model_8,7.0415737464776305
Estimate,b,model_8,0.47516395251293564
Estimate,c,model_8,0.5054884780815135
Std. Error,a,model_8,3.5022891819684867
Std. Error,b,model_8,0.036554982635420216
Std. Error,c,model_8,1.1873702822357146
t value,a,model_8,2.010563200415068
t value,b,model_8,12.998609717640026
t value,c,model_8,0.4257210119236965
Pr(>|t|),a,model_8,0.05678673974397035
Pr(>|t|),b,model_8,8.437868537654372e-12
Pr(>|t|),c,model_8,0.6744470274383643
sigma,model.summary,model_9,0.12616359780225206
resid.sum.sqrs,model.summary,model_9,0.3501795750289852
total.cor,model.summary,model_9,0.9001900445028379
Iterations,model.summary,model_9,9
Estimate,a,model_9,17.1185487167848
Estimate,b,model_9,0.6544032409323991
Estimate,c,model_9,0.7930841476717054
Std. Error,a,model_9,7.473271621170229
Std. Error,b,model_9,0.04346612698395164
Std. Error,c,model_9,1.8712069333353136
t value,a,model_9,2.2906364955733047
t value,b,model_9,15.055476214248735
t value,c,model_9,0.423835618361076
Pr(>|t|),a,model_9,0.031934158927327656
Pr(>|t|),b,model_9,4.560500017342588e-13
