value.name,coeff,Model,Value
sigma,model.summary,model_1,358.87170899183104
adj.r.sqrd,model.summary,model_1,0.932715851460248
total.cor,model.summary,model_1,0.9672224964553939
Estimate,(Intercept),model_1,18.97679851706198
Estimate,x,model_1,1.4897210251358857
Std. Error,(Intercept),model_1,86.50234235419775
Std. Error,x,model_1,0.08155100503694256
t value,(Intercept),model_1,0.21937901333767848
t value,x,model_1,18.26735335096168
Pr(>|t|),(Intercept),model_1,0.8282900657216463
Pr(>|t|),x,model_1,3.452059840906073e-15
sigma,model.summary,model_2,313.3352389198274
adj.r.sqrd,model.summary,model_2,0.9380538163337063
total.cor,model.summary,model_2,0.9698633446624334
Estimate,(Intercept),model_2,32.54408588726237
Estimate,x,model_2,1.3592777988906344
Std. Error,(Intercept),model_2,75.52624358387143
Std. Error,x,model_2,0.07120317095818801
t value,(Intercept),model_2,0.43089771638281416
t value,x,model_2,19.090130124806247
Pr(>|t|),(Intercept),model_2,0.67055418973201
Pr(>|t|),x,model_2,1.3309587382306304e-15
sigma,model.summary,model_3,532.0931332658976
adj.r.sqrd,model.summary,model_3,0.903515452841044
total.cor,model.summary,model_3,0.95264665133826
Estimate,(Intercept),model_3,40.37428569514814
Estimate,x,model_3,1.8167130412083599
Std. Error,(Intercept),model_3,128.2555889049815
Std. Error,x,model_3,0.12091432315183559
t value,(Intercept),model_3,0.31479552696186625
t value,x,model_3,15.02479601963335
Pr(>|t|),(Intercept),model_3,0.7557549826948229
Pr(>|t|),x,model_3,2.2099198774314083e-13
sigma,model.summary,model_4,662.0354770240473
adj.r.sqrd,model.summary,model_4,0.8736821866556315
total.cor,model.summary,model_4,0.9375208951689096
Estimate,(Intercept),model_4,15.315150724126033
Estimate,x,model_4,1.9441314908810832
Std. Error,(Intercept),model_4,159.57685727035766
Std. Error,x,model_4,0.15044278266764047
t value,(Intercept),model_4,0.09597350760065954
t value,x,model_4,12.922730199534236
Pr(>|t|),(Intercept),model_4,0.9243729510197876
Pr(>|t|),x,model_4,4.9693157352459236e-12
sigma,model.summary,model_5,420.4563657854197
adj.r.sqrd,model.summary,model_5,0.9475871019577824
total.cor,model.summary,model_5,0.974561938877946
Estimate,(Intercept),model_5,23.520395428238043
Estimate,x,model_5,1.9925398102450396
Std. Error,(Intercept),model_5,101.3466918313142
Std. Error,x,model_5,0.09554567369020953
t value,(Intercept),model_5,0.23207857112283845
t value,x,model_5,20.854317451416048
Pr(>|t|),(Intercept),model_5,0.8185295225404542
Pr(>|t|),x,model_5,1.9391575454711562e-16
sigma,model.summary,model_6,470.55812425002995
adj.r.sqrd,model.summary,model_6,0.9111145608781657
total.cor,model.summary,model_6,0.9564612490015344
Estimate,(Intercept),model_6,32.67276437944329
Estimate,x,model_6,1.6805872321602409
Std. Error,(Intercept),model_6,113.42320651514984
Std. Error,x,model_6,0.1069309365976295
t value,(Intercept),model_6,0.28806066574285405
t value,x,model_6,15.716567025725434
Pr(>|t|),(Intercept),model_6,0.7758801640557242
Pr(>|t|),x,model_6,8.571929960815238e-14
sigma,model.summary,model_7,306.1272043263586
adj.r.sqrd,model.summary,model_7,0.9524172224011491
total.cor,model.summary,model_7,0.9769338965019254
Estimate,(Intercept),model_7,53.85544539490438
Estimate,x,model_7,1.526293042594287
Std. Error,(Intercept),model_7,73.7888208211333
Std. Error,x,model_7,0.06956519713436728
t value,(Intercept),model_7,0.7298591412031353
t value,x,model_7,21.94046887621415
Pr(>|t|),(Intercept),model_7,0.4728449515893022
Pr(>|t|),x,model_7,6.364713454922282e-17
sigma,model.summary,model_8,490.95960335399235
adj.r.sqrd,model.summary,model_8,0.9128324166135544
total.cor,model.summary,model_8,0.9573214712178226
Estimate,(Intercept),model_8,25.778507749926575
Estimate,x,model_8,1.7722368872793235
Std. Error,(Intercept),model_8,118.3407736728974
Std. Error,x,model_8,0.11156702543796267
t value,(Intercept),model_8,0.2178328478836911
t value,x,model_8,15.884952389133863
Pr(>|t|),(Intercept),model_8,0.8294803748852335
Pr(>|t|),x,model_8,6.843088490053825e-14
sigma,model.summary,model_9,601.9345308096174
adj.r.sqrd,model.summary,model_9,0.8466616278889332
total.cor,model.summary,model_9,0.9236074527237716
Estimate,(Intercept),model_9,36.97528020953159
Estimate,x,model_9,1.5805454107221575
Std. Error,(Intercept),model_9,145.0901410010343
Std. Error,x,model_9,0.13678527653201594
t value,(Intercept),model_9,0.2548435059365474
t value,x,model_9,11.55493815412374
Pr(>|t|),(Intercept),model_9,0.8011088509357602
Pr(>|t|),x,model_9,4.6811045703793015e-11
sigma,model.summary,model_10,336.62454740371885
adj.r.sqrd,model.summary,model_10,0.9540472625340279
total.cor,model.summary,model_10,0.9777330719211881
Estimate,(Intercept),model_10,25.369490199965732
Estimate,x,model_10,1.7092520508573168
Std. Error,(Intercept),model_10,81.1398923758746
Std. Error,x,model_10,0.07649549817677066
t value,(Intercept),model_10,0.3126635919412295
t value,x,model_10,22.34447897714802
Pr(>|t|),(Intercept),model_10,0.7573535840595002
Pr(>|t|),x,model_10,4.259529186115205e-17
sigma,model.summary,model_11,757.6720638657565
adj.r.sqrd,model.summary,model_11,0.7935267670700543
total.cor,model.summary,model_11,0.8956170043283767
Estimate,(Intercept),model_11,23.291002062493135
Estimate,x,model_11,1.6625221567054616
Std. Error,(Intercept),model_11,182.6290750108116
Std. Error,x,model_11,0.17217550659049993
t value,(Intercept),model_11,0.12753173097500667
t value,x,model_11,9.655973660989908
Pr(>|t|),(Intercept),model_11,0.8996280366993068
Pr(>|t|),x,model_11,1.4737235208437167e-9
sigma,model.summary,model_12,616.19075901954
adj.r.sqrd,model.summary,model_12,0.869610178345985
total.cor,model.summary,model_12,0.9354373776910827
Estimate,(Intercept),model_12,12.298671827771795
Estimate,x,model_12,1.7770668692193898
Std. Error,(Intercept),model_12,148.52645849944813
Std. Error,x,model_12,0.1400249014715836
t value,(Intercept),model_12,0.08280458547267855
t value,x,model_12,12.691077447963957
Pr(>|t|),(Intercept),model_12,0.9347233650090353
Pr(>|t|),x,model_12,7.171936307972357e-12
sigma,model.summary,model_13,741.7205648357458
adj.r.sqrd,model.summary,model_13,0.8549912973684821
total.cor,model.summary,model_13,0.9279188146841271
Estimate,(Intercept),model_13,29.666952633730215
Estimate,x,model_13,2.0120973227167402
Std. Error,(Intercept),model_13,178.78412987977018
Std. Error,x,model_13,0.1685506435958725
t value,(Intercept),model_13,0.16593728231740046
t value,x,model_13,11.937642478192311
Pr(>|t|),(Intercept),model_13,0.8696563342219644
Pr(>|t|),x,model_13,2.452201148262025e-11
sigma,model.summary,model_14,345.5387548639255
adj.r.sqrd,model.summary,model_14,0.941522385867519
total.cor,model.summary,model_14,0.971575500474893
Estimate,(Intercept),model_14,43.30264073559592
Estimate,x,model_14,1.545518514243253
Std. Error,(Intercept),model_14,83.28857059769756
Std. Error,x,model_14,0.0785211874670463
t value,(Intercept),model_14,0.5199109604696829
t value,x,model_14,19.682821466395612
Pr(>|t|),(Intercept),model_14,0.6080939267674743
Pr(>|t|),x,model_14,6.849776944158401e-16
sigma,model.summary,model_15,392.44298787627525
adj.r.sqrd,model.summary,model_15,0.9500779496573234
total.cor,model.summary,model_15,0.9757858551384458
Estimate,(Intercept),model_15,15.19894560090106
Estimate,x,model_15,1.9080097983193147
Std. Error,(Intercept),model_15,94.59435458745114
Std. Error,x,model_15,0.08917983579959327
t value,(Intercept),model_15,0.16067497544845397
t value,x,model_15,21.395080863425594
Pr(>|t|),(Intercept),model_15,0.8737523088267134
Pr(>|t|),x,model_15,1.1064638121712896e-16
sigma,model.summary,model_16,455.48712838292914
adj.r.sqrd,model.summary,model_16,0.9341552303603068
total.cor,model.summary,model_16,0.9679353090101774
Estimate,(Intercept),model_16,23.080490067226854
Estimate,x,model_16,1.9127469395414693
Std. Error,(Intercept),model_16,109.79049763492901
Std. Error,x,model_16,0.10350616159008592
t value,(Intercept),model_16,0.21022302079341312
t value,x,model_16,18.479546629470192
Pr(>|t|),(Intercept),model_16,0.8353448004316801
Pr(>|t|),x,model_16,2.6901926218675453e-15
sigma,model.summary,model_17,644.7451204090879
adj.r.sqrd,model.summary,model_17,0.8796920421055712
total.cor,model.summary,model_17,0.9405875151651256
Estimate,(Intercept),model_17,26.062807385727318
Estimate,x,model_17,1.946416654305112
Std. Error,(Intercept),model_17,155.4091942591521
Std. Error,x,model_17,0.14651367395255593
t value,(Intercept),model_17,0.16770441099042294
t value,x,model_17,13.284880528867228
Pr(>|t|),(Intercept),model_17,0.8682817001373252
Pr(>|t|),x,model_17,2.8284347055488445e-12
sigma,model.summary,model_18,551.7963241998614
adj.r.sqrd,model.summary,model_18,0.9106569449697717
total.cor,model.summary,model_18,0.9562319657189348
Estimate,(Intercept),model_18,24.342259673276022
Estimate,x,model_18,1.965202812080396
Std. Error,(Intercept),model_18,133.00484086587838
Std. Error,x,model_18,0.12539173104674464
t value,(Intercept),model_18,0.1830178474317538
t value,x,model_18,15.672507235327904
Pr(>|t|),(Intercept),model_18,0.856387751484847
Pr(>|t|),x,model_18,9.095379183370212e-14
sigma,model.summary,model_19,542.9105247698413
adj.r.sqrd,model.summary,model_19,0.8751423559115445
total.cor,model.summary,model_19,0.9382668904680392
Estimate,(Intercept),model_19,13.601493558399852
Estimate,x,model_19,1.6048808678402635
Std. Error,(Intercept),model_19,130.86301010818042
Std. Error,x,model_19,0.12337249727624053
