coeff,value.name,Mean.Params,sd,n,SE.params
a,Estimate,12.435963646642753,7.437441630852953,902,NA
a,Std. Error,7.907445735099473,5.460866186343424,902,3.0885059407905087
b,Estimate,0.5655692230574363,0.053737753657455214,902,NA
b,Std. Error,0.0550239795472853,0.008997164619559411,902,0.014987972566599863
c,Estimate,0.7310917889764724,1.2854000213988592,902,NA
c,Std. Error,2.211158678607121,1.625554086811854,902,0.9299410464490327
model.summary,Iterations,6.929046563192904,3.882780074885408,902,NA
model.summary,resid.sum.sqrs,0.6420996472759354,0.211253434638763,902,NA
model.summary,sigma,0.1685465919107493,0.027915190864217225,902,NA
model.summary,total.cor,0.7878697047311221,0.060411478951588854,902,NA
