feature,mzmed,rtmed,rounded.rt,compound_name,keep
FT1019,271.1077453,63.33891,63,NA,n - 13C of FT1004
FT1028,272.1048116,63.33891,63,NA,n - N15X1C13 of FT1004
FT1038,273.1081624,63.36772,63,NA,n - N15X2C13 of FT1004
FT0991,268.1039582,63.37244,63,Adenosine,y
FT1004,270.1044681,63.37244,63,NA,y
FT1029,272.1110631,63.37299,63,NA,n - 13C2 of FT1004
FT1039,273.1144916,63.44,63,NA,n - 13C3 of FT1004
FT1020,271.1140146,63.48249,63,NA,y
FT0115,136.0618051,72.17108,72,Adenine,y
FT0878,252.1091636,72.209365,72,Deoxyadenosine,y
FT0878,252.1091636,72.209365,72,Muramic acid,y
FT0878,252.1091636,72.209365,72,Deoxyadenosine,y
FT0878,252.1091636,72.209365,72,Muramic acid,y
FT0154,143.1066658,78.69792,79,NA,y
FT1202,298.1859765,79.386775,79,NA,y
FT0091,127.050351,82.75014,83,Thymine,y
FT0971,265.0795972,82.996325,83,NA,y
FT1256,308.2067693,268.68231,269,NA,y
FT0963,263.1489112,269.17267,269,NA,y
FT0337,171.1491512,294.928375,295,NA,y
FT0476,193.1311543,295.25713,295,NA,n - looks like an isotope of something else
FT0505,196.5495837,464.63419,465,NA,y
FT1607,386.9984166,464.905415,465,NA,y
FT1885,489.1467983,465.77579,466,NA,n - adduct of FT1784
FT1784,447.1432606,465.877425,466,NA,y
FT1787,447.6449725,465.877425,466,NA,y
FT1999,552.1509247,465.877425,466,NA,y
FT1645,398.9452096,483.70509,484,NA,y
FT1683,412.9608301,483.74182,484,NA,n - adduct of FT1645
FT1642,396.9474701,483.76877,484,NA,1.9977395
FT1834,466.9692053,483.78465,484,NA,n - adduct of FT1645
FT1949,526.8525447,505.213775,505,NA,y
FT1945,524.8546087,505.288845,505,NA,y
FT0819,242.2114596,548.36197,548,NA,y
FT1343,327.2166306,548.46711,548,NA,y
