feature,mzmed,rtmed,rounded.rt,compound_name,keep
FT0834,261.1445221,62.97758,63,NA,n - isotope of something else
FT1442,368.1928659,62.95222,63,NA,n - isotope of something else
FT0868,268.1039477,63.57973,64,Adenosine,y
FT0882,270.10435,63.53982,64,NA,n - 1N15X1C13 of FT0868
FT1073,295.2308425,64.15286,64,NA,n - isotope of something else
FT0991,284.098981,67.131055,67,Guanosine,y
FT1002,285.1024821,67.18097,67,NA,n - 1C13 of FT0991
FT0094,136.0617912,71.81082,72,Adenine,y
FT0241,162.0773879,71.81969,72,NA,n - some kind of adduct of adenine
FT0779,252.1091216,72.32185,72,Deoxyadenosine,y
FT0069,127.0503608,82.95692,83,Thymine,y
FT0209,157.1336076,82.95692,83,NA, n - lots of missing data
FT1595,424.1849189,88.44436,88,NA,n - isotope of something else
FT1605,429.140448,88.41182,88,NA,n - isotope of something else
FT0350,181.1416132,91.49809,91,NA,n - isotope of something else
FT0786,253.1182938,90.7994,91,NA,y
FT0414,193.0131935,101.4952,101,NA,n - isotope of something else
FT0547,211.1190222,101.498845,101,NA,n - isotope of something else
FT0284,171.1127706,105.59634,106,NA,n - isotope of something else
FT1092,299.1238304,105.80951,106,NA,n - isotope of something else
FT0389,188.0705698,117.07474,117,NA,y
FT0938,276.1740781,117.35396,117,NA,n - too noisey
FT1463,372.2228633,219.00046,219,NA,y
FT1566,415.2537071,218.96524,219,NA,y
FT1218,320.7233347,252.1608,252,NA,n - too noisey
FT1318,340.1966506,251.87006,252,NA,y
FT1395,356.1315153,280.57004,281,NA,n - too noisey
FT1639,447.2458219,280.8176,281,NA,n - too noisey
FT0448,197.1172368,283.83945,284,NA,y
FT0720,242.1750597,283.83945,284,NA,n - isotope of something else
FT1128,304.6961932,300.76448,301,NA,n - too noisey
FT1581,419.2273092,301.38174,301,NA,n - too noisey
FT0589,220.1696178,303.2146,303,NA,n - too noisey
FT0808,257.1032751,303.20499,303,NA,n - isotope of something else
FT1796,549.2366692,480.678925,481,NA,n - isotope of something else
FT1815,566.2631106,480.67078,481,NA,n - isotope of something else
FT1205,318.214479,490.19838,490,NA,n - isotope of something else
FT1301,335.2216062,490.15836,490,NA,y
FT1165,311.2216477,505.213925,505,NA,n - too noisey
FT1288,333.2035322,505.04507,505,NA,y
FT1192,315.1955077,535.43866,535,NA,n - too noisey
FT1237,325.2373444,535.48169,535,NA,y
FT1098,299.2005821,543.25079,543,NA,n - too noisey
FT1104,300.2039085,543.18222,543,NA,n - too noisey
FT1083,297.2060412,549.72302,550,NA,y
FT1339,342.2639191,549.72281,550,NA,y
FT1223,321.2424902,559.83557,560,NA,y
FT1422,361.2348643,559.83801,560,NA,y
FT1057,293.2110426,586.01221,586,NA,y
FT1289,333.2035608,586.01651,586,NA,y
