feature,rtmed.x,mzmed.x,keep,compound_name,keep_final,reason
FT731,113.82451,287.1487574,NA,NA,n,"tiny peak, change due to noise"
FT489,118.854155,214.0896048,NA,NA,y,ok peak in both M and C13
FT481,120.47883,211.1692933,NA,NA,n,unrealistic MIDs
FT498,123.175925,217.1070698,NA,NA,n,isotope peak with sig change is just noise
FT879,124.47918,416.2489755,NA,NA,n,change due to noise
FT505,126.969235,220.1331824,NA,NA,n,change due to noise
FT551,133.38882,234.1488029,NA,NA,n,peak doesn't match isotope that changes (look for an MZ with 236.14)
FT396,137.19411,185.1729371,NA,NA,n,isotope peak with sig change is just noise
FT064,158.58536,114.0915961,NA,NA,y,noisy but real change at latter timepoints
FT101,194.377945,123.0554803,NA,NA,n,isotope peak with sig change is just noise
FT289,219.5132,166.0611291,NA,NA,n,isotope peak with sig change is just noise
FT020,227.17422,87.05581226,NA,NA,n,isotope peak with sig change is just noise
FT177,235.073505,139.0502123,NA,NA,n,isotope peak with sig change is just noise
FT230,244.61961,152.0566796,NA,NA,n,only change in M
FT083,246.73726,120.0558364,NA,NA,n,only change in M
FT105,251.74264,124.0394682,NA,NA,y,messy but ok peaks
FT632,264.266435,252.1090461,y,Deoxyadenosine,y,messy but ok peaks
FT160,264.45952,136.0617959,y,Adenine,y,messy but ok peaks
FT934,320.274535,518.0848136,NA,NA,n,"only change in M, seems like maybe an adduct of something else?"
FT674,321.038575,268.1039315,NA,NA,y,legit
FT683,321.74127,270.1042973,y,NA,n,"N15X1C13 isotope of FT674, but clearly there are more 2N15 to look for"
FT159,330.66911,136.0617865,y,NA,y,legit
FT861,331.04861,386.0423169,y,NA,n,only change in M
FT321,350.51558,174.0219753,NA,NA,y,noisy but maybe ok
FT440,366.462385,196.0829037,NA,NA,y,noisy but maybe ok
FT174,374.713335,138.0548416,NA,NA,y,noisy but maybe ok
FT450,402.42831,198.0985819,NA,NA,n,isotope peak with sig change is just noise
FT163,403.84549,137.0458379,NA,NA,y,noisy but maybe ok
FT507,409.42883,221.084213,NA,NA,y,integration might be an issue? Noisy but looks ok
FT224,437.91237,150.0774725,NA,NA,n,noisy
FT196,444.162,144.1019328,NA,NA,y,integration might be an issue? Noisy but looks ok. Should check on X3C13
FT058,446.689575,112.0508243,NA,NA,y,looks good: cytosine?
FT118,448.00133,128.0761482,NA,NA,n,bad MID
FT135,451.459765,132.1019781,NA,NA,y,looks ok but I'm not sure it really changes. C13 is in the noise
