isotope,mass_diff
C13_area,1.003355
X2C13_area,2.00671
X3C13_area,3.010065
X4C13_area,4.01342
X5C13_area,5.016775
X6C13_area,6.02013
X7C13_area,7.023485
N15_area,0.997035
N15X1C13_area,2.00039
N15X2C13_area,3.003745
N15X3C13_area,4.0071
N15X4C13_area,5.010455
N15X5C13_area,6.01381
N15X6C13_area,7.017165
N15X7C13_area,8.02052
X2N15_area,1.99407
X2N15X1C13_area,2.997425
X2N15X2C13_area,4.00078
X2N15X3C13_area,5.004135
X2N15X4C13_area,6.00749
X2N15X5C13_area,7.010845
X2N15X6C13_area,8.0142
X2N15X7C13_area,9.017555
